월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,37,31,40,58,78,67,62,66,80,74,88,58,54,49,32,18,8,3,0,,22
2021-07,휴일,24,21,21,27,43,49,53,47,39,28,24,22,22,15,15,8,6,1,0,,9
2021-08,평일,38,34,42,53,74,71,63,66,84,72,88,55,53,45,26,15,7,3,0,,22
2021-08,휴일,25,22,23,25,40,42,51,47,40,30,23,22,19,15,13,9,6,1,0,,9
2021-09,평일,36,31,40,55,76,74,71,71,89,75,91,58,53,48,27,17,11,3,1,,22
2021-09,휴일,27,24,21,34,52,61,68,64,47,31,29,28,27,19,15,8,7,2,0,,8
2021-10,평일,36,34,41,60,80,77,75,81,93,78,100,64,56,48,31,19,11,4,1,,21
2021-10,휴일,28,24,21,30,55,62,75,65,47,39,36,30,24,17,14,8,6,2,0,,10
2021-11,평일,37,34,39,62,84,79,78,82,96,83,110,67,61,50,29,18,13,4,1,,22
2021-11,휴일,26,25,23,31,57,62,76,70,54,45,36,29,26,18,10,8,8,4,1,,8
2021-12,평일,36,36,33,54,73,73,74,80,101,82,109,66,59,46,26,17,12,3,1,,23
2021-12,휴일,23,21,17,20,43,52,62,60,53,39,31,31,20,15,11,7,7,1,0,,8
2022-01,평일,39,35,34,56,70,77,68,77,99,80,103,61,58,47,28,17,13,3,0,0,21
2022-01,휴일,24,21,18,23,48,52,67,59,51,45,32,27,24,14,13,8,7,2,1,0,10
2022-02,평일,34,32,31,56,69,70,71,73,92,77,98,63,58,48,26,15,12,3,0,0,20
2022-02,휴일,25,20,16,29,49,54,73,58,54,34,35,27,27,16,13,8,8,2,0,0,8
2022-03,평일,38,33,36,54,75,67,72,79,89,71,107,59,56,45,26,14,10,4,1,0,23
2022-03,휴일,22,18,17,22,48,51,60,56,45,34,32,25,26,17,12,9,7,2,0,0,8
2022-04,평일,42,36,46,65,87,88,86,93,107,89,119,66,66,53,32,16,19,5,1,0,21
2022-04,휴일,29,22,22,38,58,66,75,72,64,42,41,34,28,20,15,10,8,3,1,0,9
2022-05,평일,47,36,46,68,93,93,91,97,110,86,120,75,68,58,35,19,17,6,1,0,22
2022-05,휴일,32,25,24,41,66,69,71,70,57,47,46,36,28,19,19,10,10,3,1,0,9
2022-06,평일,42,37,50,67,96,84,87,91,104,82,114,66,66,58,34,21,18,7,1,0,22
2022-06,휴일,28,26,29,38,71,72,74,72,57,49,46,39,31,24,18,8,11,4,0,0,8
2022-07,평일,43,39,50,69,96,82,88,93,106,86,116,69,72,64,35,20,20,7,1,0,21
2022-07,휴일,31,28,22,39,63,62,68,71,56,49,48,43,28,19,16,12,12,3,1,0,10
2022-08,평일,41,33,45,71,83,74,80,81,102,83,105,58,65,57,32,17,17,5,1,0,23
2022-08,휴일,29,25,20,40,56,58,69,67,51,41,41,31,23,18,17,14,10,2,1,0,8
2022-09,평일,42,33,48,77,89,86,87,87,108,91,114,70,73,55,38,19,17,5,2,0,22
2022-09,휴일,28,22,23,36,59,63,74,69,48,42,50,36,31,18,18,9,9,3,0,0,8
2022-10,평일,40,30,46,77,92,89,93,97,112,96,124,76,67,57,35,18,16,5,1,0,21
2022-10,휴일,29,24,25,40,64,70,72,80,75,49,50,40,28,19,18,11,10,4,1,0,10
2022-11,평일,42,29,48,81,96,90,90,99,119,94,126,78,75,61,36,17,17,5,1,0,22
2022-11,휴일,30,21,23,37,58,74,72,73,61,55,44,42,24,17,17,11,12,4,0,0,8
2022-12,평일,38,28,42,67,88,89,87,97,112,98,119,73,73,52,34,21,18,7,1,0,22
2022-12,휴일,24,19,18,29,56,65,75,74,57,51,50,44,28,15,18,10,12,4,1,1,9
2023-01,평일,35,31,40,58,86,83,79,89,117,89,110,66,61,50,33,17,16,5,1,0,22
2023-01,휴일,20,22,17,28,53,51,57,64,53,48,41,34,25,13,15,9,9,2,1,0,9
2023-02,평일,36,36,43,66,100,91,93,102,132,97,131,79,70,62,42,17,16,6,1,1,20
2023-02,휴일,24,24,22,34,66,70,73,79,72,56,44,44,29,16,16,9,8,3,0,0,8
2023-03,평일,42,39,47,70,106,93,96,106,120,98,134,80,71,58,39,21,18,5,1,1,23
2023-03,휴일,29,28,23,42,72,74,88,83,75,58,49,44,29,18,17,9,10,3,0,1,8
2023-04,평일,45,41,48,72,100,93,101,105,116,90,131,80,69,61,41,21,21,6,1,2,20
2023-04,휴일,30,31,26,43,71,71,76,81,73,59,46,41,33,22,20,12,10,3,1,1,10
2023-05,평일,45,33,47,74,102,95,102,108,110,90,126,81,66,58,40,27,17,7,1,0,23
2023-05,휴일,32,21,24,46,69,66,74,76,61,59,49,38,33,16,17,12,10,6,1,0,8
2023-06,평일,49,33,50,79,105,89,106,112,107,91,120,80,70,63,41,26,18,7,1,0,22
2023-06,휴일,32,24,30,46,75,64,74,80,65,60,47,47,33,20,23,16,10,5,1,0,8
