월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,124,80,121,139,192,232,250,223,231,292,363,323,351,239,144,106,76,54,6,,22
2021-07,휴일,94,58,67,76,104,127,141,147,148,130,137,144,141,116,91,87,68,28,4,,9
2021-08,평일,121,71,114,134,181,221,247,232,233,294,356,322,333,239,136,103,73,46,3,,22
2021-08,휴일,94,51,62,65,97,121,139,144,145,144,139,129,138,118,83,74,56,25,2,,9
2021-09,평일,117,66,112,132,171,224,248,240,250,316,378,334,334,227,158,122,90,56,4,,22
2021-09,휴일,99,53,70,78,118,146,160,178,161,174,180,158,154,137,116,117,74,45,4,,8
2021-10,평일,129,66,116,145,195,253,287,271,278,374,450,402,379,253,178,150,110,64,5,,21
2021-10,휴일,92,50,70,81,123,160,181,208,204,207,211,200,179,149,142,138,95,49,6,,10
2021-11,평일,133,64,127,149,203,251,290,289,306,431,500,418,394,258,193,178,124,74,13,,22
2021-11,휴일,99,48,67,85,124,162,180,219,232,229,251,241,224,175,180,156,105,60,9,,8
2021-12,평일,127,72,112,131,188,232,281,270,286,379,444,375,364,228,171,144,108,56,6,,23
2021-12,휴일,91,49,59,65,104,127,143,203,189,170,206,181,175,150,133,108,69,30,6,,8
2022-01,평일,122,66,105,137,182,229,270,264,265,358,438,363,346,234,170,145,113,35,2,0,21
2022-01,휴일,87,50,56,73,103,129,144,174,183,171,176,164,178,156,117,107,82,20,2,0,10
2022-02,평일,123,66,107,131,170,211,261,258,264,329,400,340,326,228,154,126,100,38,4,0,20
2022-02,휴일,96,51,56,76,115,149,177,202,207,176,186,186,179,156,131,111,74,35,4,0,8
2022-03,평일,127,69,116,133,185,246,258,247,269,329,380,345,342,225,160,118,92,53,8,0,23
2022-03,휴일,100,49,64,74,100,155,159,176,195,150,158,153,166,143,113,94,70,41,8,0,8
2022-04,평일,143,76,123,153,215,273,286,289,311,406,456,408,388,263,192,162,132,73,11,0,21
2022-04,휴일,105,53,64,95,136,169,190,212,242,201,238,229,204,168,160,157,114,64,10,0,9
2022-05,평일,145,77,128,163,232,294,313,297,335,472,505,445,422,283,212,214,165,90,14,0,22
2022-05,휴일,108,53,72,100,160,177,190,223,264,261,258,249,203,170,191,168,123,69,14,0,9
2022-06,평일,135,81,125,154,218,272,297,293,314,461,495,437,404,270,222,222,162,87,14,0,22
2022-06,휴일,108,60,75,96,154,176,194,213,285,282,282,239,196,198,207,191,132,74,16,0,8
2022-07,평일,135,82,124,146,215,263,298,292,307,440,486,423,400,263,205,194,155,83,14,0,21
2022-07,휴일,101,59,69,84,130,158,182,190,241,210,214,204,196,171,156,137,105,64,12,0,10
2022-08,평일,132,69,113,136,202,249,277,265,284,374,425,402,367,250,187,151,123,71,15,1,23
2022-08,휴일,106,53,65,82,121,156,169,204,208,211,201,188,179,147,147,135,91,59,9,0,8
2022-09,평일,129,69,118,143,215,268,301,298,315,451,484,435,405,269,212,194,139,85,14,1,22
2022-09,휴일,96,49,67,79,124,154,168,208,243,222,232,243,197,181,171,148,106,54,14,0,8
2022-10,평일,128,65,116,150,223,284,314,296,329,467,526,470,400,293,221,212,150,84,19,1,21
2022-10,휴일,105,51,78,98,141,186,194,252,300,290,307,289,241,217,213,197,137,69,16,0,10
2022-11,평일,127,67,119,153,225,285,315,309,342,496,528,488,417,287,229,202,155,86,18,2,22
2022-11,휴일,102,48,68,88,139,172,186,232,292,279,295,279,225,223,238,193,122,66,13,0,8
2022-12,평일,120,74,110,137,202,278,317,307,335,532,553,482,408,271,236,264,193,101,22,2,22
2022-12,휴일,88,48,62,78,121,159,189,226,268,270,297,271,206,187,204,172,117,67,12,1,9
2023-01,평일,110,61,93,131,182,238,280,272,302,436,472,410,352,246,197,188,125,72,18,1,22
2023-01,휴일,82,40,51,71,109,128,146,197,207,213,216,193,143,146,130,116,68,44,6,0,9
2023-02,평일,119,87,107,156,221,274,326,321,357,517,591,492,415,292,225,218,162,88,17,2,20
2023-02,휴일,90,65,64,81,138,170,197,253,293,295,298,265,213,198,211,168,102,56,8,0,8
2023-03,평일,128,124,108,154,229,289,325,319,364,533,570,502,428,291,230,250,166,87,18,3,23
2023-03,휴일,101,91,67,89,142,187,194,257,289,290,293,269,208,214,212,170,112,66,13,1,8
2023-04,평일,132,122,111,161,233,292,327,319,356,521,592,495,426,294,244,247,162,86,21,4,20
2023-04,휴일,105,94,78,102,146,189,187,244,274,280,301,266,209,241,250,190,144,73,14,1,10
2023-05,평일,135,76,118,158,234,284,312,329,341,487,525,479,402,276,225,228,162,87,19,1,23
2023-05,휴일,102,55,82,90,137,173,176,238,294,270,280,257,215,212,248,198,140,64,11,0,8
2023-06,평일,136,71,113,164,227,282,316,306,331,500,545,490,412,288,235,234,172,89,21,1,22
2023-06,휴일,105,56,76,96,151,189,194,248,270,282,294,282,223,207,230,200,125,57,13,0,8
2023-07,평일,129,71,111,149,217,268,315,309,310,453,514,442,383,269,197,193,152,79,18,2,21
2023-07,휴일,96,52,64,81,136,158,160,184,230,225,242,204,182,190,166,126,98,53,10,0,10
2023-08,평일,125,72,110,139,204,243,268,281,288,402,460,405,356,255,199,165,135,76,16,2,23
2023-08,휴일,96,53,66,81,131,153,169,196,219,225,223,218,190,181,181,134,92,50,10,0,8
2023-09,평일,120,71,113,148,224,258,301,299,328,500,512,446,388,253,228,215,156,83,21,2,21
2023-09,휴일,99,56,69,90,142,169,186,215,237,261,264,260,214,196,208,179,123,58,10,0,9
2023-10,평일,119,67,117,156,232,274,306,309,333,492,528,476,420,288,246,226,158,86,19,2,22
2023-10,휴일,102,51,72,99,150,187,186,254,276,278,290,291,234,221,245,225,136,80,16,0,9
2023-11,평일,122,69,125,158,241,266,310,320,358,527,579,499,442,269,242,248,185,94,21,2,22
2023-11,휴일,98,49,67,93,148,172,193,245,293,294,283,296,234,232,235,201,137,56,12,0,8
2023-12,평일,122,72,115,142,219,272,324,310,365,592,614,514,431,271,263,301,234,111,25,2,21
2023-12,휴일,89,55,62,83,136,171,191,238,287,303,331,267,212,198,207,191,124,72,14,2,10
