월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,27,19,18,32,34,32,32,31,36,39,69,64,53,38,28,17,11,8,2,,22
2021-07,휴일,26,15,16,30,22,33,36,40,31,28,33,33,31,22,17,18,12,7,1,,9
2021-08,평일,30,20,16,29,31,39,32,30,29,37,70,61,48,31,24,15,9,5,2,,22
2021-08,휴일,27,14,16,24,22,28,32,32,26,30,32,37,29,22,16,16,11,9,1,,9
2021-09,평일,31,17,18,28,34,40,37,34,39,44,76,66,59,35,28,19,14,7,2,,22
2021-09,휴일,26,12,17,29,29,40,37,37,38,38,43,49,42,30,24,20,17,8,2,,8
2021-10,평일,29,16,17,31,40,46,44,41,44,51,92,73,63,39,26,15,15,9,2,,21
2021-10,휴일,28,13,14,33,28,46,45,63,45,49,58,55,50,31,21,18,16,8,1,,10
2021-11,평일,32,17,19,34,40,42,44,44,46,50,95,78,64,35,22,15,16,9,1,,22
2021-11,휴일,29,12,18,41,29,58,51,76,52,64,56,64,48,29,21,14,13,4,1,,8
2021-12,평일,31,16,18,28,32,39,40,46,47,53,80,65,62,31,19,14,15,7,1,,23
2021-12,휴일,26,13,10,29,24,40,35,60,35,53,44,44,32,22,14,11,11,4,0,,8
2022-01,평일,29,15,15,27,32,36,37,39,39,47,79,61,55,29,18,15,10,8,0,0,21
2022-01,휴일,23,12,12,26,26,37,32,61,40,50,41,40,26,16,15,13,8,6,0,0,10
2022-02,평일,27,14,16,26,30,33,35,37,40,46,76,58,55,30,17,12,10,6,0,0,20
2022-02,휴일,26,12,12,27,22,35,30,60,37,52,40,39,31,21,10,11,8,7,0,0,8
2022-03,평일,29,15,17,28,32,37,36,36,41,55,81,72,53,34,21,15,11,8,1,0,23
2022-03,휴일,24,12,12,27,24,34,36,48,40,53,37,52,33,20,19,14,11,7,1,0,8
2022-04,평일,29,17,21,31,37,46,50,71,80,105,151,140,101,65,39,35,23,12,2,0,21
2022-04,휴일,26,15,18,32,34,53,69,107,118,158,175,157,129,80,52,44,35,18,2,0,9
2022-05,평일,31,18,23,35,40,48,46,71,59,69,99,108,80,51,35,36,22,15,2,0,22
2022-05,휴일,25,14,17,36,30,58,48,78,54,82,81,86,64,52,38,38,30,14,2,0,9
2022-06,평일,29,18,20,33,40,47,44,48,54,64,97,97,73,48,35,36,23,13,3,0,22
2022-06,휴일,22,17,17,38,32,50,52,83,62,81,77,86,68,49,44,51,43,22,4,0,8
2022-07,평일,29,17,21,32,40,44,42,44,45,55,91,93,73,50,36,40,22,16,3,0,21
2022-07,휴일,25,16,19,35,30,41,48,80,48,63,61,62,56,38,34,44,31,18,3,0,10
2022-08,평일,30,15,19,30,38,42,40,44,48,58,94,82,63,45,31,31,21,13,2,0,23
2022-08,휴일,25,14,16,32,33,44,44,70,47,58,64,61,50,36,36,43,28,11,3,0,8
2022-09,평일,30,16,20,33,43,48,45,45,50,65,96,92,70,54,43,33,26,14,2,0,22
2022-09,휴일,22,16,15,34,28,48,52,77,49,74,65,70,57,53,48,39,30,15,7,0,8
2022-10,평일,29,17,20,35,42,53,53,47,62,70,112,104,71,51,31,33,24,13,2,0,21
2022-10,휴일,27,15,17,35,37,50,52,81,62,77,86,80,64,50,54,35,24,22,4,0,10
2022-11,평일,31,17,21,36,42,49,47,48,57,71,107,96,65,42,28,29,20,10,1,0,22
2022-11,휴일,24,16,12,35,35,48,50,86,62,80,69,68,50,32,26,23,21,10,1,0,8
2022-12,평일,31,16,19,32,35,43,50,45,49,64,92,80,60,40,30,25,26,14,2,0,22
2022-12,휴일,24,15,11,23,26,40,43,91,48,65,58,61,42,25,20,22,20,11,1,1,9
2023-01,평일,31,14,18,30,35,40,44,42,43,56,80,73,56,38,23,24,14,10,1,0,22
2023-01,휴일,26,12,11,26,23,38,38,71,39,54,45,46,32,22,16,15,9,9,1,0,9
2023-02,평일,31,48,22,35,43,46,52,51,55,72,90,90,59,43,29,28,17,10,1,0,20
2023-02,휴일,30,38,11,30,30,47,50,88,52,72,70,76,39,34,24,22,12,9,1,0,8
2023-03,평일,33,109,24,39,44,54,59,63,78,98,136,128,85,57,40,35,23,12,2,1,23
2023-03,휴일,27,79,13,35,34,48,51,95,63,82,88,88,55,38,29,29,17,10,2,0,8
2023-04,평일,35,105,25,40,46,58,56,62,70,95,134,124,86,62,37,37,25,14,3,0,20
2023-04,휴일,30,85,14,36,40,70,72,145,134,165,168,161,118,81,58,42,22,19,4,0,10
2023-05,평일,34,18,24,38,48,53,53,54,64,78,104,98,82,53,34,40,25,19,5,0,23
2023-05,휴일,30,17,16,30,31,62,55,87,64,86,71,72,71,40,41,33,18,14,5,0,8
2023-06,평일,33,20,25,39,47,54,51,51,57,78,102,100,90,55,38,37,27,16,4,0,22
2023-06,휴일,34,18,20,33,37,61,48,96,62,88,83,91,85,49,47,54,40,23,6,0,8
2023-07,평일,37,18,24,34,44,46,50,42,51,60,85,100,71,49,36,33,23,18,4,0,21
2023-07,휴일,29,16,17,34,31,43,40,84,52,66,63,68,52,42,26,29,21,15,4,0,10
2023-08,평일,35,19,21,35,41,43,46,38,49,56,88,98,71,50,32,33,25,17,4,0,23
2023-08,휴일,28,19,15,36,30,49,38,75,48,58,62,71,71,58,49,41,22,16,6,0,8
2023-09,평일,34,18,24,35,46,52,53,44,53,70,90,98,68,49,35,38,22,19,5,0,21
2023-09,휴일,29,20,16,32,35,47,52,74,61,99,71,89,69,51,46,43,27,19,6,0,9
2023-10,평일,34,19,25,37,52,54,56,54,67,101,115,113,77,52,36,38,23,20,4,0,22
2023-10,휴일,31,17,18,38,34,58,57,82,65,100,93,96,78,51,38,41,41,22,8,0,9
2023-11,평일,33,18,24,37,47,51,56,48,56,78,103,101,66,44,30,29,21,15,3,0,22
2023-11,휴일,27,15,15,30,32,53,45,82,63,92,80,91,63,37,29,36,16,11,4,0,8
2023-12,평일,34,18,23,35,40,50,50,46,56,72,93,100,63,39,39,28,30,17,2,0,21
2023-12,휴일,26,16,12,23,28,46,36,77,54,81,68,76,44,31,22,21,22,11,1,2,10
