월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,66,86,91,94,87,67,57,53,52,51,50,51,45,28,21,15,6,5,1,,22
2021-07,휴일,29,51,35,42,42,50,41,48,45,36,31,34,27,19,17,11,6,4,0,,9
2021-08,평일,63,75,87,92,85,69,63,56,52,49,49,49,38,25,22,13,6,5,1,,22
2021-08,휴일,27,45,33,47,45,53,45,47,42,35,40,32,27,19,16,10,6,4,1,,9
2021-09,평일,60,76,82,87,85,69,63,62,61,56,54,52,41,26,20,14,7,6,1,,22
2021-09,휴일,30,52,39,52,63,60,56,58,45,49,43,43,37,24,15,13,6,4,0,,8
2021-10,평일,62,80,94,95,98,77,72,76,67,62,59,56,48,29,18,15,8,6,1,,21
2021-10,휴일,30,50,36,53,62,64,59,67,52,44,41,40,36,25,16,10,7,6,1,,10
2021-11,평일,69,83,102,98,96,76,70,68,72,63,60,57,42,27,18,16,8,4,1,,22
2021-11,휴일,31,54,42,54,68,73,62,72,55,53,50,42,37,26,14,12,7,3,1,,8
2021-12,평일,64,80,91,93,85,68,70,68,70,62,56,54,42,25,16,16,8,6,2,,23
2021-12,휴일,24,46,30,40,52,53,45,60,45,41,38,31,27,21,11,8,5,4,1,,8
2022-01,평일,64,73,90,90,87,73,66,68,69,61,57,52,41,25,17,15,7,4,1,0,21
2022-01,휴일,25,42,31,40,56,65,51,66,54,48,42,38,30,19,13,10,5,2,0,0,10
2022-02,평일,60,68,90,89,85,64,59,61,66,54,54,48,40,30,18,15,8,5,1,0,20
2022-02,휴일,27,41,34,43,55,61,51,62,50,41,36,37,31,20,15,9,7,3,1,0,8
2022-03,평일,68,69,90,90,86,70,63,60,63,59,51,52,40,30,17,16,7,4,1,0,23
2022-03,휴일,26,44,35,42,58,55,49,57,50,41,36,37,29,23,15,11,7,3,0,0,8
