월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,26,36,34,43,52,68,72,62,61,69,75,70,61,46,36,26,16,11,2,,44
2021-07,휴일,16,23,17,25,30,40,43,39,37,34,36,33,30,27,18,18,12,9,1,,18
2021-08,평일,26,34,34,37,53,68,74,65,61,67,72,68,58,47,32,23,14,9,1,,44
2021-08,휴일,15,22,17,23,30,35,40,41,35,38,36,36,32,29,18,17,12,8,1,,18
2021-09,평일,27,34,32,35,50,66,72,64,66,71,79,71,62,45,34,24,16,10,1,,44
2021-09,휴일,20,23,17,27,36,45,52,50,45,45,42,39,36,29,22,21,14,8,1,,16
2021-10,평일,28,38,31,41,56,72,77,73,75,83,88,78,65,51,39,30,17,13,1,,42
2021-10,휴일,17,24,16,28,35,48,49,57,54,54,53,49,45,33,23,22,16,11,1,,20
2021-11,평일,27,36,36,38,57,74,80,74,73,86,96,82,73,52,40,30,20,13,3,,44
2021-11,휴일,15,24,18,28,37,54,53,59,58,59,55,48,43,35,29,22,15,10,3,,16
2021-12,평일,24,36,31,35,53,67,73,73,73,85,91,76,63,47,35,26,21,11,2,,46
2021-12,휴일,12,21,13,21,28,37,41,49,47,46,49,42,36,28,21,19,15,6,2,,16
2022-01,평일,23,32,32,36,51,67,70,70,71,82,90,79,65,48,38,26,19,9,2,0,42
2022-01,휴일,14,20,13,22,29,39,46,49,45,49,43,43,36,29,21,17,15,6,1,0,20
2022-02,평일,24,33,30,36,50,60,68,64,69,77,83,71,64,44,35,24,17,10,1,0,40
2022-02,휴일,15,23,14,22,32,44,47,52,47,48,47,41,39,27,23,16,14,8,1,0,16
2022-03,평일,25,35,31,35,54,65,69,70,71,78,82,74,60,46,34,23,17,14,3,0,46
2022-03,휴일,15,24,14,23,29,42,47,48,48,46,41,41,35,28,20,16,12,8,3,0,16
2022-04,평일,29,41,37,40,64,75,82,75,80,85,90,85,74,56,41,28,20,16,4,0,42
2022-04,휴일,18,26,18,30,44,54,57,62,65,60,56,50,49,38,29,23,17,12,2,0,18
2022-05,평일,32,43,39,44,67,79,85,81,81,91,94,89,82,57,45,35,23,17,4,0,44
2022-05,휴일,22,30,22,34,44,59,61,61,64,67,61,52,49,39,33,31,16,11,3,0,18
2022-06,평일,29,41,39,40,63,77,85,77,82,90,91,89,78,56,43,35,25,17,4,1,44
2022-06,휴일,21,28,21,32,46,56,61,63,70,72,62,58,46,41,34,31,22,12,4,0,16
2022-07,평일,30,42,41,45,62,76,84,79,82,87,97,90,84,56,43,36,22,15,4,1,42
2022-07,휴일,21,25,20,30,39,52,53,55,58,56,55,48,47,34,30,27,16,11,3,0,20
2022-08,평일,27,40,37,42,59,73,80,74,80,82,89,84,78,53,42,32,20,14,4,1,46
2022-08,휴일,18,26,21,27,38,51,54,54,58,58,51,49,46,37,30,27,17,9,3,0,16
2022-09,평일,29,43,39,43,61,76,84,78,83,88,100,91,81,54,44,32,22,16,4,1,44
2022-09,휴일,21,24,20,28,33,48,50,54,59,58,59,50,42,37,33,27,15,12,3,0,16
2022-10,평일,29,48,39,47,64,80,88,80,83,93,105,96,81,58,47,33,23,15,4,1,42
2022-10,휴일,23,28,24,32,42,59,57,61,71,71,71,59,53,42,37,33,22,12,4,0,20
2022-11,평일,27,51,38,48,60,80,84,76,85,94,100,95,84,59,42,32,24,16,4,1,44
2022-11,휴일,19,31,18,31,39,53,59,62,72,78,66,61,53,44,36,29,25,14,4,0,16
2022-12,평일,27,46,34,43,58,72,84,80,83,101,103,99,77,58,46,35,36,18,6,1,44
2022-12,휴일,18,26,15,25,34,48,57,63,66,75,73,69,51,47,40,39,31,16,5,1,18
2023-01,평일,27,42,32,41,54,64,73,72,79,87,93,86,71,54,40,31,24,15,4,1,44
2023-01,휴일,17,20,12,20,28,40,45,48,54,56,54,45,39,33,26,27,19,10,3,0,18
2023-02,평일,30,74,34,47,64,72,89,84,92,100,111,107,82,61,48,36,26,19,5,4,40
2023-02,휴일,19,48,16,27,37,53,61,67,74,78,74,60,47,45,36,34,26,13,3,1,16
2023-03,평일,30,124,34,50,64,80,88,89,92,98,101,103,82,61,52,38,29,19,5,8,46
2023-03,휴일,19,84,17,31,38,57,62,62,67,75,68,68,54,45,42,34,26,14,3,4,16
2023-04,평일,31,122,38,49,66,78,89,99,97,95,104,100,83,64,53,42,28,20,5,10,40
2023-04,휴일,22,88,19,31,43,60,60,65,78,70,66,58,50,46,39,31,26,15,3,4,20
2023-05,평일,30,49,36,49,65,78,87,93,103,93,98,96,77,63,47,37,25,18,4,1,46
2023-05,휴일,23,25,20,31,43,53,55,55,69,71,62,56,47,38,33,31,20,14,2,0,16
2023-06,평일,30,51,37,48,66,77,86,91,93,91,98,95,78,64,47,39,25,20,5,1,44
2023-06,휴일,25,28,23,36,41,60,63,58,74,72,69,59,49,46,39,36,25,16,2,0,16
2023-07,평일,29,51,36,48,61,75,85,85,90,88,98,94,85,65,45,39,26,18,4,1,42
2023-07,휴일,20,25,18,31,34,50,53,56,59,60,59,52,44,41,31,31,21,12,3,0,20
2023-08,평일,26,48,35,46,58,68,81,78,80,88,89,91,82,61,46,34,24,19,4,1,46
2023-08,휴일,21,24,20,30,39,52,49,54,61,61,57,57,47,42,35,28,22,12,2,0,16
2023-09,평일,29,47,37,49,59,70,86,83,81,92,96,96,85,61,47,35,25,20,4,1,42
2023-09,휴일,21,25,20,30,36,54,56,57,62,65,64,58,48,42,35,27,21,14,3,0,18
2023-10,평일,30,49,33,48,58,73,90,86,85,98,106,105,84,64,51,37,27,20,4,1,44
2023-10,휴일,23,28,19,33,43,57,57,61,72,70,70,61,51,47,40,33,24,16,4,0,18
2023-11,평일,31,50,32,47,67,75,87,88,94,99,105,107,87,65,48,35,28,22,5,0,44
2023-11,휴일,20,26,18,28,43,52,59,62,70,74,69,63,58,51,42,38,27,16,4,0,16
2023-12,평일,28,45,32,46,58,67,86,89,91,103,110,105,84,62,51,45,43,26,6,1,42
2023-12,휴일,18,23,17,24,38,52,54,64,77,77,78,72,58,45,43,46,40,22,6,1,20
