월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,76,57,62,83,81,72,55,50,50,46,51,38,28,25,23,10,5,3,2,,22
2021-07,휴일,37,37,33,46,54,49,45,38,35,25,28,28,19,19,13,9,3,3,1,,9
2021-08,평일,72,52,57,82,77,71,60,51,51,47,53,36,26,22,23,9,4,2,2,,22
2021-08,휴일,36,33,33,45,48,49,47,34,38,34,31,32,21,15,13,6,6,2,2,,9
2021-09,평일,73,53,59,83,75,74,60,55,58,49,54,39,30,22,23,11,6,3,2,,22
2021-09,휴일,40,37,40,50,59,60,55,50,43,40,40,35,29,22,15,8,4,3,2,,8
2021-10,평일,78,57,67,96,86,78,68,67,65,56,57,43,36,25,26,10,4,3,2,,21
2021-10,휴일,40,35,35,54,63,74,62,55,52,43,41,38,30,17,12,7,5,4,1,,10
2021-11,평일,80,57,69,90,85,76,66,70,69,54,65,39,37,25,25,12,6,4,2,,22
2021-11,휴일,42,33,35,56,62,70,58,55,54,46,44,37,31,19,13,7,6,4,2,,8
2021-12,평일,75,54,62,83,76,75,61,63,66,55,62,38,33,27,22,9,6,3,2,,23
2021-12,휴일,34,32,29,42,50,49,50,50,49,38,42,28,20,14,10,5,6,3,1,,8
2022-01,평일,73,52,58,80,79,75,60,58,64,55,57,42,33,25,20,9,5,2,1,0,21
2022-01,휴일,36,30,26,39,54,58,54,53,55,41,35,31,22,17,11,6,6,2,1,0,10
2022-02,평일,71,52,52,80,71,68,55,56,60,50,54,39,30,24,20,8,4,3,1,0,20
2022-02,휴일,37,30,29,45,57,60,51,48,49,49,36,33,28,20,9,5,5,3,1,0,8
2022-03,평일,72,49,56,89,85,70,59,64,63,52,54,40,30,23,21,9,5,2,1,0,23
2022-03,휴일,34,28,27,46,56,54,51,49,48,37,34,30,26,19,12,5,4,3,2,0,8
2022-04,평일,78,57,65,101,95,83,67,70,73,55,59,45,36,26,24,11,6,3,1,0,21
2022-04,휴일,40,35,38,64,67,67,64,61,58,45,45,39,28,21,14,7,6,3,1,0,9
2022-05,평일,79,63,71,100,93,81,70,71,71,55,61,46,40,28,24,12,7,3,1,0,22
2022-05,휴일,45,40,43,72,78,81,65,62,59,43,49,43,31,23,13,9,6,3,2,0,9
2022-06,평일,78,63,74,94,88,86,73,67,74,55,59,45,40,27,23,11,9,4,1,0,22
2022-06,휴일,49,40,44,60,81,81,65,56,52,40,45,43,32,20,16,10,8,5,1,0,8
2022-07,평일,77,67,70,98,98,83,70,64,72,55,59,46,40,32,24,13,8,4,2,0,21
2022-07,휴일,44,40,41,62,71,76,57,53,55,42,39,40,30,23,14,12,7,4,1,0,10
2022-08,평일,72,59,65,89,91,75,68,62,68,55,62,44,38,26,20,12,7,3,2,0,23
2022-08,휴일,43,39,41,61,75,73,61,56,54,47,39,42,31,25,16,14,9,3,1,0,8
2022-09,평일,79,63,66,100,90,80,73,70,77,64,64,52,40,31,23,13,7,4,1,0,22
2022-09,휴일,42,38,38,64,73,70,65,52,54,46,47,46,29,23,14,11,8,2,1,0,8
2022-10,평일,82,66,68,112,94,86,76,71,75,65,64,46,42,28,24,14,7,3,2,1,21
2022-10,휴일,52,43,42,69,82,86,70,60,61,52,54,47,36,21,15,12,10,4,1,0,10
2022-11,평일,80,65,74,106,93,82,75,70,79,60,64,49,45,29,21,13,6,4,1,0,22
2022-11,휴일,45,37,34,65,77,77,68,59,60,53,54,44,31,19,11,9,8,4,1,0,8
2022-12,평일,74,62,70,94,87,86,75,70,72,61,67,52,40,24,23,13,8,2,2,0,22
2022-12,휴일,41,37,29,55,69,76,70,57,59,48,53,41,33,19,13,10,8,3,1,0,9
2023-01,평일,64,62,60,93,81,75,71,66,75,62,59,45,36,26,20,12,6,3,2,0,22
2023-01,휴일,34,33,27,52,57,63,54,48,54,43,44,34,27,18,12,10,5,4,1,0,9
2023-02,평일,78,76,73,107,92,88,80,74,75,62,64,56,46,31,26,13,7,3,2,0,20
2023-02,휴일,40,49,35,67,71,80,75,66,69,57,54,48,32,28,18,11,6,3,1,0,8
2023-03,평일,86,93,76,109,101,90,77,74,76,82,68,53,44,32,25,14,8,3,1,0,23
2023-03,휴일,51,60,37,68,84,88,74,62,65,60,56,47,33,27,24,10,10,3,1,0,8
2023-04,평일,88,96,80,110,102,92,84,75,78,70,65,53,40,29,26,13,9,3,1,0,20
2023-04,휴일,53,66,45,75,87,86,66,67,61,54,49,45,33,21,16,12,7,4,1,0,10
2023-10,평일,79,59,76,102,100,87,82,80,82,68,70,59,49,31,27,11,9,4,2,0,22
2023-10,휴일,48,37,44,70,84,88,70,58,75,64,61,55,39,28,22,11,7,2,1,0,9
2023-11,평일,77,61,80,102,96,86,74,76,78,65,65,56,43,28,28,13,7,4,1,0,22
2023-11,휴일,45,33,33,65,77,76,66,58,57,50,44,40,28,19,16,9,8,4,1,0,8
2023-12,평일,72,56,72,96,89,83,80,75,77,65,64,56,44,29,25,13,8,4,1,0,21
2023-12,휴일,42,29,29,58,71,84,74,57,65,51,55,48,32,22,18,9,8,3,1,0,10
