월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,95,73,122,160,194,212,204,178,157,152,176,144,124,94,57,42,19,10,2,,22
2021-07,휴일,54,49,54,77,115,130,123,114,98,85,80,67,64,51,33,21,14,9,2,,9
2021-08,평일,88,67,115,161,186,212,209,188,164,164,182,144,120,88,60,36,18,8,1,,22
2021-08,휴일,50,47,49,78,106,125,118,104,107,100,84,75,63,52,37,20,15,8,1,,9
2021-09,평일,87,62,114,159,191,221,216,195,176,173,187,150,113,86,60,35,20,10,2,,22
2021-09,휴일,52,51,60,92,138,172,152,133,122,122,107,95,74,52,38,19,14,9,2,,8
2021-10,평일,95,63,128,181,216,248,243,215,203,192,197,167,126,87,59,38,21,10,2,,21
2021-10,휴일,57,48,62,100,149,176,157,151,131,126,110,90,64,54,34,20,16,10,2,,10
2021-11,평일,96,66,141,181,218,237,237,230,210,199,214,176,129,90,60,38,21,9,3,,22
2021-11,휴일,56,51,68,107,152,176,160,156,141,129,110,95,72,52,32,19,16,7,2,,8
2021-12,평일,91,62,125,160,195,215,221,213,197,189,207,167,121,82,53,37,19,8,2,,23
2021-12,휴일,42,44,46,73,107,133,117,128,120,108,95,75,56,41,25,20,15,6,2,,8
2022-01,평일,86,58,122,146,181,211,210,216,204,197,209,163,120,82,59,34,23,9,2,0,21
2022-01,휴일,43,38,46,71,115,154,128,150,135,127,104,92,69,50,27,17,15,6,1,0,10
2022-02,평일,82,58,118,150,168,196,195,188,186,173,192,143,111,82,51,35,19,8,2,0,20
2022-02,휴일,41,40,51,81,117,151,128,139,136,111,96,84,61,44,30,18,13,6,0,0,8
2022-03,평일,87,62,122,162,178,206,202,195,192,165,196,158,114,82,60,34,17,7,2,0,23
2022-03,휴일,48,38,53,81,117,138,126,129,124,120,92,80,63,39,29,18,12,6,2,0,8
2022-04,평일,95,68,142,190,229,255,243,227,215,188,220,176,132,96,69,40,23,9,2,0,21
2022-04,휴일,56,49,67,107,163,195,175,162,148,131,112,99,71,57,39,27,15,8,3,0,9
2022-05,평일,106,78,153,216,257,277,250,236,218,203,233,189,146,105,78,46,24,11,3,0,22
2022-05,휴일,69,59,73,129,184,202,175,168,150,130,110,102,79,59,46,25,18,10,2,0,9
2022-06,평일,109,77,147,204,250,270,251,231,216,196,226,176,141,102,73,47,27,10,2,0,22
2022-06,휴일,68,58,74,133,181,210,184,181,155,132,129,102,83,66,44,27,19,9,1,0,8
2022-07,평일,112,75,153,203,256,277,259,242,215,194,231,185,153,110,74,47,27,12,2,1,21
2022-07,휴일,62,54,61,123,170,190,174,160,130,113,117,91,87,61,39,27,15,9,1,0,10
2022-08,평일,102,70,135,197,229,250,247,233,204,189,219,172,145,101,69,39,24,10,2,0,23
2022-08,휴일,63,52,62,122,158,188,171,172,137,128,120,106,81,60,45,25,16,8,3,0,8
2022-09,평일,101,72,143,205,252,273,265,242,220,207,242,188,150,107,79,39,27,13,3,0,22
2022-09,휴일,60,50,67,115,162,185,162,156,138,129,119,104,80,55,38,26,15,7,2,0,8
2022-10,평일,110,75,155,224,256,284,278,270,235,211,241,197,160,109,71,40,29,11,3,0,21
2022-10,휴일,69,58,74,141,184,219,198,187,162,154,134,114,83,65,38,25,18,6,2,0,10
2022-11,평일,112,74,160,214,262,271,276,271,235,219,247,213,158,100,68,40,24,11,3,0,22
2022-11,휴일,67,50,60,126,171,197,195,188,156,144,127,113,79,51,35,23,15,8,2,0,8
2022-12,평일,104,70,137,188,235,272,275,274,234,229,259,211,165,90,62,40,25,11,4,0,22
2022-12,휴일,58,47,52,104,148,194,194,179,161,150,146,126,83,45,37,26,17,8,3,2,9
2023-01,평일,94,64,127,167,216,239,249,248,231,221,233,192,147,93,64,38,22,10,3,0,22
2023-01,휴일,57,44,45,83,125,154,142,152,141,119,116,101,76,47,33,24,14,8,2,0,9
2023-02,평일,104,101,148,203,258,288,294,273,254,253,254,224,174,114,70,44,23,11,4,0,20
2023-02,휴일,61,70,58,114,176,210,207,198,164,155,146,111,91,62,42,25,16,10,2,0,8
2023-03,평일,112,158,160,222,280,299,298,280,243,234,251,219,168,110,77,45,26,13,4,1,23
2023-03,휴일,67,106,69,135,196,233,216,201,176,160,133,124,85,66,41,26,17,7,4,0,8
2023-04,평일,126,161,169,248,286,304,285,274,238,223,240,207,159,114,82,50,30,13,4,0,20
2023-04,휴일,82,115,76,138,205,228,208,186,175,141,129,120,97,62,41,26,18,9,2,0,10
2023-05,평일,118,88,159,234,279,298,303,304,241,217,258,251,174,118,81,50,31,14,4,1,23
