월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,12,5,13,24,50,87,110,116,137,160,184,200,242,234,127,57,28,16,3,,44
2021-07,휴일,8,5,10,16,24,46,62,67,75,89,94,87,72,56,34,20,12,7,1,,18
2021-08,평일,12,4,13,24,47,86,116,133,144,172,187,204,234,212,114,50,26,16,2,,44
2021-08,휴일,9,4,9,12,22,39,60,63,76,86,91,88,73,60,32,20,12,6,1,,18
2021-09,평일,12,4,12,23,45,83,114,129,147,177,205,205,222,209,110,49,29,16,3,,44
2021-09,휴일,8,4,12,15,29,51,72,83,98,119,124,109,85,61,41,19,13,6,1,,16
2021-10,평일,13,5,12,25,50,84,119,131,153,197,220,228,250,222,113,56,32,19,3,,42
2021-10,휴일,8,5,9,14,23,40,62,77,91,104,117,106,89,61,33,22,15,7,1,,20
2021-11,평일,13,4,13,24,50,81,116,133,157,199,227,233,265,222,121,61,38,20,5,,44
2021-11,휴일,8,4,9,14,23,41,63,74,94,118,124,114,94,59,38,22,14,8,2,,16
2021-12,평일,10,5,12,22,48,74,113,131,159,199,228,233,264,211,112,56,37,18,4,,46
2021-12,휴일,7,4,8,13,20,29,50,61,76,97,101,89,71,46,31,17,13,5,2,,16
2022-01,평일,9,5,12,23,46,76,113,132,160,204,229,229,259,215,113,55,37,16,3,0,42
2022-01,휴일,8,4,8,14,20,34,57,72,88,106,116,101,78,49,30,17,14,5,1,0,20
2022-02,평일,9,5,10,20,41,65,95,105,126,163,182,196,227,203,110,50,33,16,3,0,40
2022-02,휴일,7,4,8,12,20,36,48,62,80,95,106,93,76,58,32,19,12,6,1,0,16
2022-03,평일,10,5,12,22,47,70,107,118,145,169,194,203,231,211,113,51,33,18,4,0,46
2022-03,휴일,7,4,8,14,20,32,52,61,77,96,97,84,79,54,33,17,11,7,1,0,16
2022-04,평일,10,5,13,27,50,84,119,128,162,189,207,220,259,231,127,64,37,23,5,0,42
2022-04,휴일,8,5,10,17,27,45,60,78,99,117,120,109,91,63,48,28,16,10,3,0,18
