월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,16,15,17,28,58,94,135,157,196,272,327,267,213,145,107,76,48,32,2,,22
2021-07,휴일,14,16,12,15,24,35,65,85,101,119,134,121,98,85,72,60,24,26,2,,9
2021-08,평일,18,16,16,28,54,90,133,160,196,269,323,259,208,146,100,74,41,24,2,,22
2021-08,휴일,14,15,11,13,25,35,53,88,92,126,140,136,111,91,59,58,21,21,2,,9
2021-09,평일,16,16,17,27,48,92,135,154,206,281,342,265,205,150,102,74,49,32,1,,22
2021-09,휴일,14,14,14,15,24,42,65,101,119,131,167,146,126,100,77,65,24,23,2,,8
2021-10,평일,18,15,16,27,53,99,141,170,232,325,402,312,229,160,110,89,54,36,1,,21
2021-10,휴일,14,16,16,14,24,41,60,99,125,181,193,181,138,110,84,67,28,28,4,,10
2021-11,평일,18,16,19,30,54,103,144,178,237,344,428,331,242,162,123,101,66,46,6,,22
2021-11,휴일,15,14,13,17,25,42,63,88,121,179,223,188,153,122,92,81,33,31,3,,8
2021-12,평일,19,15,14,28,49,99,141,165,223,316,406,306,234,169,133,105,75,37,5,,23
2021-12,휴일,16,13,10,14,23,40,53,84,120,152,191,168,142,128,86,82,38,28,2,,8
2022-01,평일,19,16,15,25,45,94,130,163,216,307,393,297,218,152,110,90,73,23,1,0,21
2022-01,휴일,16,14,12,12,22,42,51,88,112,145,180,159,133,101,84,66,32,19,1,0,10
2022-02,평일,19,17,16,25,42,86,122,153,188,272,346,249,198,143,97,81,65,27,2,0,20
2022-02,휴일,16,16,10,12,25,40,57,93,110,144,171,155,116,89,69,63,28,24,2,0,8
2022-03,평일,20,18,18,24,48,90,120,158,202,289,360,258,202,148,104,90,76,39,5,0,23
2022-03,휴일,16,15,13,14,19,36,53,90,104,146,162,152,118,100,74,64,27,26,3,0,8
2022-04,평일,23,18,19,26,53,104,139,182,227,340,414,299,235,158,122,103,68,46,7,0,21
2022-04,휴일,17,17,15,17,25,44,64,107,140,182,207,197,162,129,108,85,32,38,4,0,9
2022-05,평일,22,19,22,28,58,112,147,188,244,344,444,327,257,175,136,134,84,55,11,0,22
2022-05,휴일,15,16,18,17,27,45,83,110,157,229,237,217,172,115,114,102,42,33,6,0,9
2022-06,평일,22,19,21,30,56,107,150,179,246,353,440,326,260,174,137,129,86,52,11,2,22
2022-06,휴일,18,16,17,18,27,49,86,115,157,220,246,214,162,129,107,102,51,37,8,0,8
2022-07,평일,24,21,21,29,63,107,156,185,249,348,436,331,272,174,132,113,90,59,11,3,21
2022-07,휴일,18,19,17,18,26,45,81,111,148,190,222,193,168,121,108,91,43,34,7,0,10
2022-08,평일,23,19,22,28,54,101,145,178,225,340,419,317,254,179,125,99,74,53,9,3,23
2022-08,휴일,19,18,17,19,28,41,87,112,150,184,210,188,154,124,120,91,43,34,7,0,8
2022-09,평일,23,21,21,28,57,102,154,178,242,366,428,340,265,186,141,112,85,55,12,3,22
