월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,181,151,240,260,272,243,214,200,193,171,161,142,120,90,74,45,28,16,3,,22
2021-07,휴일,100,100,115,130,168,166,154,153,138,118,103,93,83,63,46,36,26,14,2,,9
2021-08,평일,174,145,225,249,246,240,222,204,206,173,161,150,114,87,67,39,24,14,2,,22
2021-08,휴일,93,95,106,126,157,161,153,157,145,137,113,101,89,66,50,33,23,12,1,,9
2021-09,평일,167,142,225,249,254,248,227,215,227,198,181,153,122,87,67,41,25,15,3,,22
2021-09,휴일,104,106,122,152,203,217,199,178,184,163,133,125,99,70,55,38,24,13,2,,8
2021-10,평일,180,148,236,276,283,282,248,246,249,221,190,170,131,93,67,39,27,15,2,,21
2021-10,휴일,105,100,115,150,212,221,219,200,205,170,150,132,102,67,47,33,22,13,2,,10
2021-11,평일,187,150,240,281,269,267,255,239,252,215,191,178,130,86,66,37,25,13,5,,22
2021-11,휴일,103,103,118,144,213,225,214,209,211,170,154,129,103,71,48,31,24,13,5,,8
2021-12,평일,163,138,218,236,242,254,242,230,236,218,195,168,125,79,65,41,24,12,4,,23
2021-12,휴일,80,86,90,106,170,168,174,171,180,147,124,109,79,54,38,26,19,7,2,,8
2022-01,평일,150,131,207,231,236,247,235,228,242,210,199,162,119,79,59,42,25,10,3,0,21
2022-01,휴일,71,84,92,113,175,192,194,178,198,164,135,129,88,62,43,32,27,8,2,0,10
2022-02,평일,140,121,203,240,231,228,208,217,231,202,186,153,110,82,60,39,24,12,2,0,20
2022-02,휴일,79,82,102,127,186,192,190,182,203,152,129,114,92,102,70,41,23,9,2,0,8
2022-03,평일,157,133,215,256,241,248,229,226,232,205,182,159,113,88,63,40,24,16,4,0,23
2022-03,휴일,84,87,96,132,178,178,178,172,189,143,135,134,89,56,42,33,22,12,3,0,8
2022-04,평일,186,151,248,293,280,289,268,257,262,237,214,189,137,101,83,49,28,19,5,0,21
2022-04,휴일,107,107,129,167,238,247,233,231,225,191,169,152,118,95,96,70,34,15,5,0,9
2022-05,평일,199,156,256,321,312,298,270,283,260,231,210,186,148,102,84,56,36,23,5,0,22
2022-05,휴일,110,108,123,196,261,262,247,225,225,180,175,140,111,80,64,47,29,16,5,0,9
2022-06,평일,197,148,249,318,303,283,263,271,249,210,192,172,139,99,77,56,34,23,6,0,22
2022-06,휴일,115,109,139,196,268,268,246,226,207,183,166,141,119,80,59,48,34,16,6,0,8
2022-07,평일,206,157,260,332,307,277,245,261,241,201,183,165,135,100,83,54,38,23,7,1,21
2022-07,휴일,114,109,134,179,232,231,225,205,196,156,146,121,104,76,62,49,30,20,7,0,10
2022-08,평일,191,153,230,308,272,260,243,242,236,205,177,158,127,98,77,50,33,20,7,1,23
2022-08,휴일,106,109,135,172,230,229,223,196,194,160,142,128,109,77,59,40,29,18,5,0,8
2022-09,평일,199,163,242,319,302,278,254,266,259,217,200,165,141,104,80,51,32,23,6,1,22
2022-09,휴일,100,102,121,176,225,230,216,190,197,165,160,127,98,76,58,48,30,18,5,0,8
2022-10,평일,197,156,252,325,307,295,283,292,269,246,216,187,154,108,77,51,38,23,8,1,21
2022-10,휴일,119,109,145,202,261,287,266,252,241,206,175,149,134,90,65,59,26,18,6,0,10
2022-11,평일,199,163,249,325,305,290,277,296,264,235,215,180,156,98,74,48,34,20,8,0,22
2022-11,휴일,107,109,128,181,254,260,249,237,224,197,176,148,123,73,56,38,28,17,4,0,8
2022-12,평일,181,148,221,286,280,282,282,291,263,242,230,197,157,91,68,46,35,20,8,1,22
2022-12,휴일,96,89,114,150,211,247,248,230,222,205,178,149,114,74,57,43,30,18,6,2,9
2023-01,평일,164,133,208,266,260,265,257,258,262,234,218,182,151,94,67,49,31,21,7,1,22
2023-01,휴일,83,81,87,132,185,212,203,194,209,175,150,128,89,61,44,36,28,15,5,0,9
2023-02,평일,188,183,234,336,294,308,302,307,280,256,236,206,158,116,82,53,33,25,8,1,20
2023-02,휴일,100,117,115,168,245,284,272,255,258,209,201,164,123,82,65,48,29,18,5,0,8
2023-03,평일,208,265,251,350,320,325,299,319,291,255,237,207,171,119,88,56,38,27,9,2,23
2023-03,휴일,113,171,132,193,267,304,262,253,238,212,206,175,125,93,67,49,29,21,7,0,8
2023-04,평일,224,276,265,364,333,317,285,296,280,243,233,208,175,123,93,61,39,28,9,1,20
2023-04,휴일,121,191,147,211,276,288,266,241,268,224,201,190,148,110,96,69,36,19,6,1,10
2023-05,평일,218,169,251,353,344,321,289,292,275,247,228,203,167,119,92,61,40,29,9,1,23
2023-05,휴일,114,113,141,202,264,268,248,211,225,195,173,141,121,84,65,53,35,22,7,0,8
2023-06,평일,225,177,255,363,340,306,287,282,271,235,220,197,164,121,89,63,45,26,10,2,22
2023-06,휴일,131,117,150,232,295,291,279,233,236,187,181,150,120,85,75,61,38,25,8,0,8
2023-07,평일,228,174,249,350,319,295,289,276,254,215,206,184,152,115,90,61,47,24,11,2,21
