월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,37,24,42,51,85,89,96,93,88,90,105,102,88,56,34,23,14,8,2,,22
2021-07,휴일,27,18,25,35,46,53,54,58,49,40,47,41,30,29,22,15,9,4,1,,9
2021-08,평일,35,23,40,50,81,90,91,98,86,82,107,98,91,61,33,20,13,8,1,,22
2021-08,휴일,28,16,24,31,43,56,45,62,46,40,47,48,32,26,20,11,9,5,1,,9
2021-09,평일,36,24,40,53,82,89,99,119,117,93,114,102,106,60,31,20,16,8,1,,22
2021-09,휴일,32,20,29,45,48,72,65,78,64,50,58,47,37,30,24,15,9,7,1,,8
2021-10,평일,37,27,42,59,85,97,113,147,128,106,131,120,117,64,32,22,16,12,1,,21
2021-10,휴일,29,17,28,40,55,71,68,84,67,55,63,50,39,32,21,11,10,7,1,,10
2021-11,평일,39,26,42,59,88,95,110,143,136,113,154,126,124,62,36,23,19,11,1,,22
2021-11,휴일,29,20,28,42,58,70,70,98,78,62,72,62,43,32,26,15,11,7,2,,8
2021-12,평일,31,25,35,52,87,86,96,125,108,103,124,117,93,52,33,23,14,9,1,,23
2021-12,휴일,23,18,25,34,39,54,55,94,55,55,60,44,30,24,18,14,9,6,2,,8
2022-01,평일,33,25,36,48,85,91,97,105,105,101,128,109,93,52,34,21,19,8,1,0,21
2022-01,휴일,20,18,23,34,50,68,65,82,58,54,61,49,31,26,21,11,9,5,1,0,10
2022-02,평일,31,23,37,48,74,79,95,99,94,89,110,100,87,50,37,21,19,8,1,0,20
2022-02,휴일,23,18,27,38,48,60,58,80,61,54,68,51,33,25,17,14,11,6,1,0,8
2022-03,평일,36,25,36,48,79,83,92,100,95,87,115,96,91,57,34,23,18,11,1,0,23
2022-03,휴일,27,18,25,36,40,65,64,88,61,50,55,39,32,23,21,14,8,6,1,0,8
2022-04,평일,39,28,39,56,94,94,103,108,106,99,126,103,109,63,41,27,19,13,2,0,21
2022-04,휴일,32,23,27,45,55,72,73,87,74,59,69,49,42,29,26,20,9,8,2,0,9
2022-05,평일,40,31,43,62,98,102,113,159,122,108,141,123,131,74,41,34,21,15,3,0,22
2022-05,휴일,28,25,32,49,58,86,79,97,80,64,75,53,44,31,26,22,12,7,2,0,9
2022-06,평일,43,29,42,62,97,96,106,168,117,107,134,121,130,75,43,31,19,14,3,0,22
2022-06,휴일,35,27,30,48,58,84,80,99,86,60,80,53,51,34,28,23,14,7,3,0,8
2022-07,평일,44,30,44,62,95,102,111,170,118,108,139,113,126,74,44,31,20,13,3,0,21
2022-07,휴일,35,26,32,44,61,82,76,93,67,57,70,55,39,30,29,18,11,7,2,0,10
2022-08,평일,44,26,42,56,89,99,98,151,115,104,131,111,109,63,44,26,16,11,3,0,23
2022-08,휴일,36,24,32,48,52,75,72,91,65,66,73,55,42,32,23,18,8,6,2,0,8
2022-09,평일,43,26,44,62,93,98,111,173,124,117,134,123,129,72,43,27,18,15,3,1,22
2022-09,휴일,36,22,32,40,57,71,74,91,67,63,74,60,39,30,24,17,12,7,3,0,8
2022-10,평일,41,28,43,63,93,106,114,179,131,127,142,128,128,75,45,30,19,14,3,1,21
2022-10,휴일,32,24,36,45,67,88,84,107,80,71,86,64,48,36,25,20,10,8,2,0,10
2022-11,평일,40,28,45,58,98,103,109,187,136,123,150,131,131,73,44,31,22,16,2,1,22
2022-11,휴일,32,22,31,43,62,80,78,100,87,73,85,60,42,34,26,21,11,8,2,0,8
2022-12,평일,40,27,41,53,83,99,99,177,133,119,148,118,128,66,42,27,21,11,2,1,22
2022-12,휴일,29,19,23,35,53,79,82,93,81,82,87,52,46,32,26,18,12,7,2,1,9
2023-01,평일,40,29,40,53,81,93,98,152,113,113,133,110,100,59,39,27,20,12,2,0,22
2023-01,휴일,29,21,21,31,44,71,68,78,64,63,71,46,34,22,23,12,8,4,1,0,9
2023-02,평일,40,114,46,62,94,107,116,198,136,130,160,134,125,72,46,31,22,12,2,1,20
2023-02,휴일,29,87,26,44,64,84,84,106,87,71,98,72,46,37,28,19,11,7,2,0,8
2023-03,평일,40,270,48,67,101,112,109,187,144,120,148,129,133,81,50,33,27,13,3,1,23
2023-03,휴일,31,200,28,51,66,86,94,98,82,89,88,72,43,38,29,21,13,9,2,1,8
2023-04,평일,48,259,52,70,103,106,111,186,140,125,154,133,130,81,54,36,29,14,3,2,20
2023-04,휴일,31,208,31,52,65,87,85,97,91,70,87,61,42,34,32,20,13,8,1,1,10
2023-05,평일,45,36,47,67,100,101,109,165,129,118,147,128,124,80,48,34,26,16,3,0,23
2023-05,휴일,29,27,30,47,59,77,76,85,85,71,78,63,40,30,29,22,14,8,1,0,8
2023-06,평일,43,36,47,63,102,103,109,170,126,112,140,120,112,83,46,39,28,16,4,1,22
2023-06,휴일,33,30,32,45,70,81,91,89,78,67,82,63,40,38,28,22,13,12,2,0,8
2023-07,평일,44,34,49,63,101,104,111,167,121,110,140,119,113,77,46,32,26,14,4,0,21
2023-07,휴일,30,30,30,45,56,78,80,84,75,65,75,54,40,33,26,20,11,8,2,0,10
2023-08,평일,41,32,47,58,95,101,120,155,105,102,129,106,93,70,44,30,23,14,4,1,23
2023-08,휴일,32,26,30,49,65,80,85,85,68,70,74,60,41,34,31,19,15,10,2,0,8
2023-09,평일,40,33,49,65,102,105,100,160,135,116,143,111,110,77,48,32,26,13,3,1,21
2023-09,휴일,32,29,30,46,66,85,83,97,76,69,76,65,46,36,28,18,12,8,3,0,9
2023-10,평일,41,31,52,69,103,102,106,161,131,117,146,110,106,80,46,33,26,15,4,0,22
2023-10,휴일,31,25,33,52,68,89,89,105,88,76,90,60,46,38,26,20,13,9,4,0,9
2023-11,평일,41,31,53,70,103,109,113,170,132,123,158,123,114,73,49,35,27,16,4,0,22
2023-11,휴일,30,24,32,43,60,84,86,92,96,80,89,59,49,41,30,24,16,7,2,0,8
