월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,76,50,84,119,156,209,221,201,223,254,321,295,229,161,99,76,52,28,5,,44
2021-07,휴일,47,35,43,62,83,112,138,127,142,160,184,184,155,125,91,71,46,20,4,,18
2021-08,평일,75,49,77,116,154,201,228,201,214,261,313,293,223,149,96,69,48,24,4,,44
2021-08,휴일,48,32,40,59,83,104,122,128,135,148,172,187,149,119,87,68,36,19,2,,18
2021-09,평일,74,45,73,107,154,206,233,208,225,269,315,279,216,152,97,73,51,28,5,,44
2021-09,휴일,53,34,48,71,102,132,152,155,164,183,205,202,158,136,100,81,47,22,4,,16
2021-10,평일,80,47,83,122,178,234,267,235,260,316,380,332,250,184,120,89,61,36,6,,42
2021-10,휴일,54,34,48,68,105,149,183,177,193,231,256,249,201,171,160,118,62,32,5,,20
2021-11,평일,84,52,81,125,181,234,276,243,268,330,405,353,264,176,113,91,64,40,8,,44
2021-11,휴일,58,36,48,74,110,161,182,180,206,245,277,267,203,173,156,117,65,34,6,,16
2021-12,평일,81,49,74,116,164,215,250,228,257,309,360,315,236,153,94,76,58,38,7,,46
2021-12,휴일,47,33,35,54,82,123,147,152,177,200,227,212,188,129,101,69,45,24,4,,16
2022-01,평일,75,47,69,110,153,212,247,229,247,301,375,312,239,153,94,78,58,26,6,0,42
2022-01,휴일,46,33,32,56,86,118,144,149,173,200,221,214,164,127,102,71,51,20,3,0,20
2022-02,평일,72,46,67,105,147,197,217,200,233,270,325,271,212,142,89,70,50,32,5,0,40
2022-02,휴일,47,32,35,57,94,122,150,153,170,194,215,194,162,120,92,74,43,25,3,0,16
2022-03,평일,77,44,72,109,157,201,222,207,231,270,324,265,210,147,99,69,48,37,7,0,46
2022-03,휴일,44,30,38,58,91,119,145,142,166,189,204,196,150,122,100,74,50,28,5,0,16
2022-04,평일,84,48,84,126,187,243,275,262,297,365,450,390,289,201,138,108,87,45,8,0,42
2022-04,휴일,56,36,50,79,122,164,192,202,238,311,329,343,263,213,177,131,83,44,8,0,18
2022-05,평일,93,54,92,134,203,273,295,259,289,361,431,372,310,207,150,113,84,49,9,0,44
2022-05,휴일,62,39,59,94,136,179,199,196,226,284,299,300,245,223,191,138,88,48,8,0,18
2022-06,평일,91,55,92,131,195,264,297,256,296,361,437,385,308,216,147,113,86,64,11,1,44
2022-06,휴일,68,43,63,94,151,191,209,207,239,280,317,341,268,233,204,155,92,50,10,0,16
2022-07,평일,92,59,98,136,202,258,285,269,307,365,458,403,322,216,142,115,82,62,10,1,42
2022-07,휴일,62,43,59,84,130,165,188,195,217,277,303,297,253,205,162,128,83,43,9,0,20
2022-08,평일,81,56,84,127,186,241,265,250,287,331,418,362,292,195,138,105,73,50,11,2,46
2022-08,휴일,62,40,54,81,127,167,190,188,216,251,290,288,247,197,159,126,80,40,8,0,16
2022-09,평일,83,55,90,133,205,258,286,266,301,352,435,370,303,200,144,112,81,67,11,1,44
2022-09,휴일,54,36,55,84,126,165,189,185,206,250,272,286,243,204,175,122,72,42,8,0,16
2022-10,평일,91,58,98,141,215,274,307,280,325,386,482,406,328,252,193,128,78,55,12,2,42
2022-10,휴일,72,45,68,96,151,199,222,224,254,332,350,361,300,277,296,212,116,62,9,0,20
2022-11,평일,92,59,102,143,218,281,303,277,322,379,480,396,304,204,150,120,72,53,12,2,44
2022-11,휴일,64,45,63,90,146,193,219,225,259,309,348,319,262,240,204,144,88,38,7,0,16
2022-12,평일,84,52,95,128,195,268,317,282,330,421,531,449,329,208,151,127,95,67,16,2,44
2022-12,휴일,55,37,47,70,120,181,232,222,253,322,384,363,276,216,172,122,87,42,11,1,18
2023-01,평일,75,51,85,116,187,241,277,259,301,362,457,395,287,192,137,102,66,51,12,2,44
2023-01,휴일,48,32,41,59,108,139,164,179,202,250,269,267,204,162,125,89,63,34,8,0,18
2023-02,평일,84,81,101,138,219,281,329,293,338,424,539,444,339,217,151,111,85,51,13,2,40
2023-02,휴일,58,59,52,80,147,193,231,218,257,319,376,360,281,208,167,126,75,42,8,0,16
2023-03,평일,96,124,104,146,224,290,338,309,357,443,573,475,357,233,170,135,93,62,14,2,46
2023-03,휴일,63,91,58,100,155,204,252,246,266,340,390,372,284,243,185,138,86,53,10,0,16
2023-04,평일,106,119,109,155,225,293,324,296,339,423,545,452,351,251,184,134,89,58,14,3,40
2023-04,휴일,73,97,74,107,157,208,240,250,295,385,428,414,341,296,259,194,116,56,10,0,20
2023-05,평일,103,61,104,150,224,288,312,286,327,404,495,423,343,240,174,132,96,70,13,2,46
2023-05,휴일,77,41,69,102,154,190,212,205,251,305,333,349,294,266,221,171,100,50,9,0,16
2023-06,평일,103,64,104,154,222,287,322,288,327,410,509,439,342,232,163,132,98,60,12,2,44
2023-06,휴일,74,47,68,116,165,204,231,225,252,322,361,373,308,261,220,173,104,78,8,0,16
2023-07,평일,103,62,104,155,211,270,303,287,321,394,501,451,345,228,151,124,104,61,13,2,42
2023-07,휴일,65,40,60,98,134,171,205,210,235,282,347,337,281,214,161,137,80,45,8,0,20
2023-08,평일,94,64,100,147,202,248,291,272,302,377,486,438,346,232,164,127,89,56,13,1,46
2023-08,휴일,64,42,63,95,140,175,208,206,237,304,346,348,289,246,191,150,86,45,9,0,16
2023-09,평일,95,63,102,146,210,274,308,283,313,388,485,417,323,217,153,124,94,62,13,1,42
2023-09,휴일,68,46,65,106,142,192,221,219,263,324,349,357,278,248,206,148,91,49,9,0,18
2023-10,평일,100,62,108,155,227,283,314,289,337,416,514,445,342,266,200,146,89,65,13,1,44
2023-10,휴일,77,44,77,110,161,201,230,216,273,346,364,395,320,312,287,216,118,61,11,0,18
2023-11,평일,106,62,113,152,223,285,320,297,336,423,539,452,332,229,164,135,96,66,15,2,44
2023-11,휴일,77,43,67,97,150,190,232,231,279,363,404,388,301,267,245,176,97,57,7,0,16
2023-12,평일,97,56,107,144,209,289,340,313,354,454,606,516,368,229,173,150,115,81,17,3,42
2023-12,휴일,59,36,53,83,137,188,253,243,278,372,433,417,314,248,204,160,99,59,11,3,20
