월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,59,37,80,125,185,217,192,166,153,190,192,198,114,65,50,44,19,11,2,,22
2021-07,휴일,37,30,33,52,80,87,69,83,79,73,57,51,39,28,21,23,15,5,1,,9
2021-08,평일,55,38,75,118,179,210,200,169,154,190,191,196,108,67,46,39,19,8,2,,22
2021-08,휴일,37,28,29,50,78,84,78,84,71,74,60,59,44,26,24,21,12,6,1,,9
2021-09,평일,55,37,71,118,190,219,211,176,164,199,194,212,120,70,48,41,22,9,2,,22
2021-09,휴일,37,27,36,59,99,111,94,101,93,92,80,64,52,33,25,20,16,6,1,,8
2021-10,평일,57,37,79,128,207,249,239,193,188,223,235,244,136,79,55,46,25,13,3,,21
2021-10,휴일,36,26,34,61,106,114,110,103,97,91,87,72,56,34,28,23,15,8,1,,10
2021-11,평일,58,35,83,141,207,256,256,202,196,236,231,257,140,81,59,47,22,13,3,,22
2021-11,휴일,40,27,38,68,113,127,123,110,103,106,94,85,61,34,25,23,15,7,2,,8
2021-12,평일,52,33,69,115,184,224,231,187,184,218,228,233,115,71,52,39,22,10,3,,23
2021-12,휴일,30,20,27,46,84,94,86,92,84,89,82,64,42,24,22,16,13,4,2,,8
2022-01,평일,49,28,70,120,174,219,230,186,184,215,220,225,121,73,50,39,23,9,3,0,21
2022-01,휴일,30,23,26,47,86,98,93,92,91,96,80,66,48,26,24,18,12,4,1,0,10
2022-02,평일,49,29,64,108,168,204,198,170,167,202,201,203,116,72,47,35,15,8,3,0,20
2022-02,휴일,31,22,25,51,87,91,90,100,99,89,81,60,50,29,25,19,12,6,1,0,8
2022-03,평일,54,29,67,119,177,209,212,179,171,198,202,206,123,73,50,34,18,9,4,0,23
2022-03,휴일,34,22,27,51,77,86,89,99,81,79,73,61,50,27,25,17,9,4,2,0,8
2022-04,평일,63,31,81,143,223,252,246,209,200,235,240,250,145,91,63,48,26,11,5,0,21
2022-04,휴일,44,25,37,72,114,122,111,121,106,108,91,84,60,37,30,34,16,8,2,0,9
2022-05,평일,73,34,89,149,231,275,275,230,210,240,252,265,166,100,70,54,31,17,6,0,22
2022-05,휴일,49,28,46,84,128,133,127,116,107,107,89,76,68,39,37,34,16,12,3,0,9
2022-06,평일,72,35,89,150,228,267,275,219,205,236,240,256,159,94,67,55,28,16,6,0,22
2022-06,휴일,56,31,50,80,134,142,136,128,116,102,93,97,62,40,37,31,21,9,4,0,8
2022-07,평일,78,34,87,152,218,267,263,223,205,224,230,253,156,99,66,52,32,13,5,0,21
2022-07,휴일,50,30,44,76,120,127,120,116,96,94,78,79,60,42,37,26,17,8,2,0,10
2022-08,평일,67,34,83,134,206,241,249,206,203,212,229,245,149,95,63,46,27,14,5,1,23
2022-08,휴일,47,31,45,74,118,125,114,113,103,94,88,75,60,41,32,28,18,10,2,0,8
2022-09,평일,71,39,90,149,227,269,266,229,208,236,246,251,164,99,65,49,27,13,6,0,22
2022-09,휴일,46,31,42,67,114,128,115,112,97,98,93,77,65,39,33,25,16,8,2,0,8
2022-10,평일,72,38,97,158,248,291,281,241,221,245,255,271,172,98,69,53,30,14,6,0,21
2022-10,휴일,48,38,50,84,135,153,142,128,115,124,102,86,70,42,35,34,20,10,3,0,10
2022-11,평일,73,38,96,160,246,305,284,237,233,261,269,280,174,97,67,52,28,15,6,1,22
2022-11,휴일,49,32,43,82,129,150,143,139,118,111,104,91,73,40,36,32,14,11,3,0,8
2022-12,평일,70,31,83,143,212,279,282,245,225,256,265,285,178,92,61,47,27,14,6,0,22
2022-12,휴일,42,21,35,64,104,131,141,133,119,120,110,102,63,40,32,32,14,10,3,0,9
2023-01,평일,65,28,75,126,195,251,250,221,216,240,250,253,162,89,62,44,26,13,6,0,22
2023-01,휴일,39,21,33,58,87,112,104,108,101,100,79,70,51,31,25,22,10,6,3,0,9
2023-02,평일,72,34,90,144,236,292,308,262,236,268,274,291,183,101,73,53,34,16,6,0,20
2023-02,휴일,45,27,43,67,122,150,146,144,113,119,107,94,66,49,39,26,20,9,2,0,8
2023-03,평일,81,43,98,150,254,298,308,270,240,273,277,294,190,106,76,56,32,15,5,0,23
2023-03,휴일,48,36,42,85,136,160,157,137,128,122,116,108,76,52,51,38,23,10,2,0,8
2023-04,평일,83,45,104,165,258,305,308,267,249,273,284,306,195,110,86,61,32,17,5,0,20
2023-04,휴일,56,38,52,93,140,162,147,139,119,119,108,102,73,52,50,33,20,11,2,0,10
2023-05,평일,82,32,100,164,252,298,295,253,234,261,268,280,185,109,84,59,34,17,5,0,23
2023-05,휴일,57,27,43,90,141,145,125,125,111,108,101,93,72,49,42,31,19,9,2,0,8
2023-06,평일,89,34,95,170,250,295,298,255,230,256,265,284,194,113,80,62,35,17,4,0,22
2023-06,휴일,54,30,49,97,146,164,148,131,112,118,108,98,76,56,45,44,24,11,2,0,8
2023-07,평일,88,38,97,164,241,285,286,245,227,246,256,273,185,108,79,57,33,17,5,0,21
2023-07,휴일,55,27,43,84,121,141,128,119,106,112,100,88,69,50,49,31,19,10,3,0,10
2023-08,평일,83,34,90,158,227,260,265,235,204,236,238,260,162,100,74,52,28,14,4,0,23
2023-08,휴일,53,26,45,80,118,145,121,128,96,106,98,84,70,46,42,30,17,9,2,0,8
2023-09,평일,82,36,90,170,254,291,284,229,227,246,252,276,180,105,80,57,30,15,3,1,21
2023-09,휴일,61,26,48,94,137,149,138,131,123,113,95,95,75,50,42,36,20,9,1,0,9
2023-10,평일,83,35,94,168,258,309,301,242,241,264,269,284,183,109,78,52,33,16,4,0,22
2023-10,휴일,65,28,46,95,139,163,157,138,126,119,108,90,82,51,42,35,19,9,1,0,9
2023-11,평일,80,35,95,168,253,312,314,244,248,275,294,313,190,115,75,61,30,18,4,0,22
2023-11,휴일,57,24,41,92,134,163,146,133,130,129,120,109,82,43,36,28,17,10,2,0,8
2023-12,평일,77,33,85,152,235,299,322,264,238,288,295,316,198,101,74,56,33,15,5,0,21
2023-12,휴일,44,21,35,71,123,151,152,146,117,138,113,119,80,44,36,33,20,9,2,0,10
