월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,35,11,32,51,70,67,56,49,56,62,66,46,51,43,33,23,20,5,1,,22
2021-07,휴일,29,13,16,27,39,37,39,32,34,28,26,22,21,15,10,7,7,3,0,,9
2021-08,평일,33,10,27,52,66,66,54,53,56,60,69,45,53,39,32,19,17,5,1,,22
2021-08,휴일,29,9,15,23,37,39,37,33,36,32,31,29,20,17,10,8,6,3,0,,9
2021-09,평일,37,9,28,52,70,68,60,58,63,69,75,48,52,40,30,18,18,6,1,,22
2021-09,휴일,33,9,16,32,46,45,45,40,48,38,35,30,22,20,10,9,7,6,0,,8
2021-10,평일,40,11,28,59,78,86,72,64,70,78,81,58,65,47,33,20,19,7,1,,21
2021-10,휴일,37,11,16,28,43,54,53,47,49,40,35,30,26,18,12,7,7,6,0,,10
2021-11,평일,42,10,34,58,82,84,78,67,78,83,83,67,70,44,35,21,18,7,3,,22
2021-11,휴일,34,9,19,33,48,52,57,52,47,42,37,36,32,18,9,8,8,5,0,,8
2021-12,평일,38,11,29,51,72,72,66,60,80,79,79,63,66,44,32,19,16,4,2,,23
2021-12,휴일,32,11,12,27,39,35,38,46,44,37,30,28,24,11,8,6,7,2,0,,8
2022-01,평일,37,12,27,47,68,73,65,65,68,68,71,59,67,42,30,19,17,3,1,0,21
2022-01,휴일,31,8,12,22,41,45,42,44,49,39,31,30,25,12,6,6,7,2,0,0,10
2022-02,평일,36,12,24,46,67,61,59,56,67,63,65,56,56,41,28,18,15,3,1,0,20
2022-02,휴일,31,9,14,25,39,41,38,45,47,36,30,30,25,15,8,5,7,2,0,0,8
2022-03,평일,36,13,27,50,69,66,61,60,67,68,71,56,59,42,29,17,16,5,1,0,23
2022-03,휴일,31,10,12,25,37,38,46,42,44,40,30,26,23,15,12,7,6,3,0,0,8
2022-04,평일,37,16,32,57,79,82,74,74,75,75,84,66,67,53,37,22,18,6,2,0,21
2022-04,휴일,34,13,15,36,53,57,54,54,51,42,37,35,34,19,12,11,6,5,0,0,9
2022-05,평일,41,17,35,61,95,94,85,80,80,79,89,77,74,54,38,25,20,7,2,0,22
2022-05,휴일,34,16,23,36,62,55,61,50,56,46,42,36,35,22,11,13,9,5,1,0,9
2022-06,평일,39,15,33,55,92,86,85,75,75,76,84,72,72,46,36,23,22,8,2,0,22
2022-06,휴일,34,12,23,35,58,60,60,52,51,43,41,42,30,20,12,11,11,5,1,0,8
2022-07,평일,40,12,34,55,82,82,83,70,76,77,84,73,74,45,35,25,18,7,2,0,21
2022-07,휴일,34,10,23,33,54,55,53,44,45,37,32,34,28,18,14,10,9,4,1,0,10
2022-08,평일,39,12,33,49,80,71,76,69,72,69,76,65,71,40,34,24,16,5,2,0,23
2022-08,휴일,33,10,23,30,52,51,47,42,47,40,32,31,25,18,15,13,10,5,0,0,8
2022-09,평일,39,14,35,57,90,81,84,75,77,82,79,77,69,47,38,23,17,6,2,0,22
2022-09,휴일,34,12,25,31,55,49,46,40,50,44,36,35,27,19,10,9,8,2,1,0,8
2022-10,평일,41,14,34,59,91,87,86,83,79,81,83,83,75,49,33,24,17,6,1,0,21
2022-10,휴일,34,13,24,38,60,61,64,52,52,50,41,41,32,19,13,10,9,4,1,0,10
2022-11,평일,39,14,34,59,93,87,89,82,82,86,88,81,79,48,37,24,17,7,2,0,22
2022-11,휴일,32,12,24,35,56,61,65,56,47,51,42,35,32,18,12,10,12,5,0,0,8
2022-12,평일,37,14,32,51,84,76,94,79,77,88,91,82,80,44,32,23,19,6,2,0,22
2022-12,휴일,31,12,18,28,48,56,59,53,48,44,38,39,32,20,10,10,10,6,0,0,9
2023-01,평일,38,12,25,48,75,76,77,69,71,72,77,69,70,39,29,21,15,6,2,0,22
2023-01,휴일,31,11,17,24,39,43,48,43,40,37,31,34,26,13,9,9,9,4,0,0,9
2023-02,평일,39,104,30,54,92,85,93,84,77,76,83,78,87,43,32,24,18,7,1,0,20
2023-02,휴일,34,84,23,32,57,57,64,54,51,42,38,35,36,18,12,10,12,4,0,0,8
2023-03,평일,42,275,31,60,99,87,93,78,81,86,93,82,85,45,33,24,17,7,1,0,23
2023-03,휴일,35,200,23,34,57,58,63,50,52,47,42,46,32,18,12,12,11,4,0,0,8
2023-04,평일,47,258,36,62,98,91,91,82,81,84,95,83,87,48,37,24,17,6,2,0,20
2023-04,휴일,39,200,27,37,63,64,66,50,50,44,42,40,36,19,16,15,11,4,0,0,10
2023-05,평일,43,14,35,62,94,91,89,78,83,81,87,73,76,45,35,25,17,7,1,0,23
2023-05,휴일,38,12,24,31,61,53,55,43,50,44,37,39,31,22,15,12,11,4,1,0,8
2023-06,평일,42,15,40,61,96,87,91,77,83,79,92,78,83,52,35,24,17,9,2,0,22
2023-06,휴일,38,13,27,41,61,60,60,49,59,48,40,42,29,19,14,12,10,7,1,0,8
2023-07,평일,44,15,36,58,92,82,82,79,76,75,91,80,76,45,32,21,17,8,2,0,21
2023-07,휴일,34,12,24,32,57,55,49,46,47,43,38,36,33,16,10,10,10,5,1,0,10
2023-08,평일,43,15,36,58,85,77,81,73,69,65,87,72,73,40,30,20,14,9,2,0,23
2023-08,휴일,40,12,24,34,56,52,58,43,48,38,38,38,31,21,13,12,6,5,0,0,8
2023-09,평일,43,13,37,62,92,86,92,81,77,80,87,75,86,47,33,21,15,7,2,0,21
2023-09,휴일,40,12,26,34,60,65,63,51,56,46,38,39,34,21,13,13,8,5,1,0,9
2023-10,평일,43,15,41,60,101,96,96,81,78,82,92,81,78,50,33,21,15,8,2,0,22
2023-10,휴일,42,13,25,38,67,68,74,57,54,49,44,45,34,20,12,11,9,6,1,0,9
2023-11,평일,43,15,37,65,97,91,102,82,83,84,103,87,87,49,35,22,15,8,2,0,22
2023-11,휴일,42,13,26,32,66,68,65,55,57,48,46,40,34,17,10,10,9,6,1,0,8
2023-12,평일,43,12,34,60,83,93,106,79,80,88,101,95,86,44,32,24,17,8,2,0,21
2023-12,휴일,36,11,20,30,61,60,71,55,56,52,44,45,35,18,12,11,8,5,0,0,10
