월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,123,105,131,181,192,190,159,156,120,117,123,101,89,63,38,24,20,7,2,,22
2021-07,휴일,77,71,75,111,126,116,97,89,72,64,57,59,43,34,29,20,13,7,1,,9
2021-08,평일,124,104,125,171,178,195,159,145,128,117,119,97,74,55,33,20,17,8,2,,22
2021-08,휴일,74,67,72,100,127,115,101,91,81,74,64,56,43,38,29,17,12,6,1,,9
2021-09,평일,119,98,127,175,188,178,176,183,145,131,136,105,98,58,37,20,18,10,2,,22
2021-09,휴일,82,69,86,128,156,148,129,116,101,80,74,67,52,39,31,14,13,6,1,,8
2021-10,평일,132,100,141,197,209,208,200,196,158,143,151,126,108,66,38,24,22,10,3,,21
2021-10,휴일,81,69,79,125,168,164,145,130,107,91,78,80,57,40,30,19,12,9,2,,10
2021-11,평일,135,98,135,200,206,200,194,183,160,146,146,130,113,60,36,24,24,10,4,,22
2021-11,휴일,81,69,76,122,166,164,145,125,107,92,80,82,65,33,25,16,13,8,2,,8
2021-12,평일,123,94,126,168,187,179,196,163,150,143,146,134,89,53,31,22,21,7,3,,23
2021-12,휴일,66,58,57,93,119,136,108,107,97,81,67,63,46,28,20,13,12,7,2,,8
2022-01,평일,126,89,117,162,171,172,163,174,147,137,134,112,87,54,32,24,20,6,3,0,21
2022-01,휴일,64,55,56,95,120,134,121,119,103,90,70,64,48,33,18,14,15,6,2,0,10
2022-02,평일,118,89,115,157,161,164,170,155,131,131,131,121,84,51,33,20,20,6,2,0,20
2022-02,휴일,68,63,58,99,131,139,118,117,90,80,64,62,49,38,24,16,13,10,2,0,8
2022-03,평일,122,99,125,167,176,183,169,194,149,135,134,114,113,55,35,23,20,12,2,0,23
