월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,29,9,31,44,49,43,31,28,30,27,42,45,38,21,15,10,6,2,1,,22
2021-07,휴일,15,5,13,22,30,31,29,24,21,18,27,29,22,17,10,7,3,1,1,,9
2021-08,평일,31,9,31,45,51,49,39,38,39,34,46,48,36,20,16,7,4,2,0,,22
2021-08,휴일,16,4,14,21,32,32,30,30,22,27,27,35,22,15,10,10,3,2,0,,9
2021-09,평일,30,9,32,50,53,52,50,41,38,42,53,56,42,21,13,7,4,2,0,,22
2021-09,휴일,16,6,14,28,38,38,42,37,30,36,44,45,28,17,10,11,4,2,1,,8
2021-10,평일,32,10,35,51,60,54,55,46,43,42,54,77,46,22,14,8,5,3,1,,21
2021-10,휴일,16,4,14,24,40,40,47,36,30,36,46,53,30,22,11,7,3,1,0,,10
2021-11,평일,33,12,34,57,65,56,47,46,43,44,51,76,42,17,12,9,5,3,1,,22
2021-11,휴일,16,8,13,27,50,47,47,37,36,36,42,47,30,15,8,7,14,2,1,,8
2021-12,평일,26,15,32,50,62,49,46,49,47,46,50,71,35,13,14,8,5,4,1,,23
2021-12,휴일,12,7,10,20,42,39,36,33,30,30,38,38,20,13,4,10,10,2,0,,8
2022-01,평일,20,12,27,41,61,48,45,46,48,42,46,60,30,12,13,7,5,4,1,0,21
2022-01,휴일,10,5,8,22,46,37,40,36,36,33,34,33,17,9,6,6,8,2,0,0,10
2022-02,평일,21,11,26,47,62,48,43,43,43,39,45,57,28,15,13,7,4,3,0,0,20
2022-02,휴일,12,4,12,23,42,38,41,38,36,35,36,31,21,12,7,6,7,1,0,0,8
2022-03,평일,24,13,29,55,65,55,45,44,47,43,51,63,35,16,14,7,5,2,0,0,23
2022-03,휴일,12,5,12,23,40,34,45,36,35,34,39,37,23,12,8,4,12,1,0,0,8
2022-04,평일,29,18,42,67,83,63,54,53,54,48,58,70,46,25,17,11,6,3,1,0,21
2022-04,휴일,15,9,18,36,63,52,54,43,44,42,47,48,36,25,21,14,13,2,0,0,9
2022-05,평일,32,20,47,79,87,74,59,50,52,47,62,70,50,26,22,14,7,4,1,0,22
2022-05,휴일,20,10,21,42,65,57,60,49,37,35,45,51,38,25,34,12,6,2,0,0,9
2022-06,평일,32,21,43,79,82,68,62,50,51,50,60,61,45,23,18,14,8,4,1,0,22
2022-06,휴일,23,12,22,46,68,61,62,54,38,40,45,52,40,19,40,17,8,2,1,0,8
2022-07,평일,37,19,51,74,84,69,56,54,51,44,56,62,47,25,22,15,8,4,1,0,21
2022-07,휴일,19,12,26,38,66,57,55,42,36,30,37,43,34,25,32,16,10,4,1,0,10
2022-08,평일,32,20,48,70,78,66,57,54,53,41,49,59,41,25,21,12,7,4,1,0,23
2022-08,휴일,20,13,27,37,67,54,51,45,39,32,42,44,32,22,28,18,9,4,1,0,8
2022-09,평일,35,18,53,76,90,75,59,56,59,49,62,65,47,27,18,12,9,4,1,0,22
2022-09,휴일,18,10,27,38,69,57,54,45,39,40,43,40,36,28,26,23,8,3,1,0,8
2022-10,평일,34,18,50,86,94,83,61,59,61,56,67,80,53,30,18,10,10,4,1,0,21
2022-10,휴일,23,11,24,45,79,68,62,62,51,46,52,55,41,22,23,25,9,4,1,0,10
2022-11,평일,35,22,52,83,94,82,66,66,68,60,72,97,53,24,20,11,10,4,1,0,22
2022-11,휴일,21,12,26,36,74,70,61,56,47,43,51,46,30,17,29,16,5,4,1,0,8
2022-12,평일,31,18,49,62,84,73,65,59,67,52,68,80,47,21,16,12,8,5,1,0,22
2022-12,휴일,17,9,22,31,61,70,58,53,44,43,48,51,27,16,22,18,6,3,1,0,9
2023-01,평일,26,15,42,56,75,68,62,65,66,50,64,75,47,23,14,11,7,4,2,0,22
2023-01,휴일,16,8,15,30,50,55,55,46,45,38,45,41,24,14,17,21,9,3,0,0,9
2023-02,평일,31,20,48,76,91,86,75,74,77,58,70,91,51,28,19,16,11,6,2,0,20
2023-02,휴일,19,12,24,39,68,70,73,60,50,47,53,56,30,20,24,25,11,3,1,0,8
2023-03,평일,34,22,51,81,99,90,70,72,71,63,62,81,59,34,21,16,11,7,2,0,23
2023-03,휴일,21,13,26,48,80,80,69,57,51,52,58,62,45,22,24,33,14,4,1,0,8
2023-04,평일,38,23,56,82,98,84,71,72,78,64,75,81,60,36,27,16,12,6,1,0,20
2023-04,휴일,26,16,29,47,76,77,68,57,46,48,57,60,42,31,28,29,11,8,1,0,10
2023-05,평일,42,20,60,86,103,90,78,76,74,64,70,81,53,37,27,17,11,8,1,0,23
2023-05,휴일,24,13,29,52,78,80,64,61,50,47,48,65,34,26,22,30,17,5,0,0,8
2023-06,평일,36,21,62,85,101,91,76,69,70,62,67,89,54,35,26,20,12,8,2,0,22
2023-06,휴일,30,12,34,55,80,81,64,54,57,40,52,64,40,26,34,37,20,4,1,0,8
2023-07,평일,40,21,63,87,97,79,66,60,62,58,63,76,53,34,26,18,13,8,2,0,21
