월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,34,32,41,48,46,47,30,27,28,25,33,24,19,15,9,9,4,3,1,,22
2021-07,휴일,23,22,20,26,35,36,29,24,19,17,19,16,13,10,7,5,4,2,0,,9
2021-08,평일,34,30,41,46,46,41,28,28,28,28,31,22,17,13,11,8,3,3,1,,22
2021-08,휴일,23,21,20,24,36,34,26,25,18,20,17,15,13,10,5,3,3,2,0,,9
2021-09,평일,33,31,36,45,46,41,30,28,32,30,31,24,19,16,9,7,4,2,1,,22
2021-09,휴일,25,25,23,32,41,42,29,32,24,23,21,16,13,8,5,4,4,2,0,,8
2021-10,평일,37,31,40,50,47,47,33,33,33,29,30,22,18,14,10,11,4,2,3,,21
2021-10,휴일,22,21,21,30,40,47,30,35,22,17,21,17,12,10,5,4,3,2,1,,10
2021-11,평일,39,31,42,54,46,45,35,32,36,32,37,27,19,14,9,12,4,3,2,,22
2021-11,휴일,22,20,24,30,39,46,32,35,27,20,20,19,14,8,6,3,3,2,1,,8
2021-12,평일,35,29,37,48,43,44,31,32,36,31,31,25,19,12,9,12,4,3,1,,23
2021-12,휴일,22,17,17,22,30,44,26,33,22,18,17,16,13,7,4,4,3,1,0,,8
2022-01,평일,30,29,37,47,43,42,28,32,36,27,30,24,21,12,10,10,3,2,1,0,21
2022-01,휴일,19,18,17,24,31,39,30,30,28,21,17,17,11,8,5,3,4,1,1,0,10
2022-02,평일,32,28,36,47,42,41,27,29,33,26,28,24,14,10,9,10,3,2,1,0,20
2022-02,휴일,22,20,18,26,33,38,24,30,24,22,16,17,12,8,6,2,2,2,0,0,8
2022-03,평일,33,32,38,47,46,40,30,28,35,28,32,25,16,10,11,11,4,2,3,0,23
2022-03,휴일,21,20,21,25,34,37,26,28,21,19,16,13,13,8,7,3,2,3,1,0,8
2022-04,평일,34,33,44,51,50,46,30,32,38,28,34,26,24,14,13,14,5,2,3,0,21
2022-04,휴일,26,24,25,35,43,43,37,32,27,20,21,17,15,9,8,4,2,2,1,0,9
2022-05,평일,35,36,47,55,51,51,33,32,40,31,33,27,24,14,12,12,4,3,3,0,22
2022-05,휴일,26,22,26,36,49,52,39,32,30,23,18,20,14,9,6,4,3,3,1,0,9
2022-06,평일,34,37,46,53,52,46,35,31,39,31,32,26,22,14,11,11,6,4,3,0,22
2022-06,휴일,27,24,24,38,48,44,32,33,32,22,16,17,14,10,6,5,4,3,1,0,8
2022-07,평일,39,35,47,57,53,49,35,37,39,29,32,28,24,13,10,12,6,3,3,0,21
2022-07,휴일,24,28,25,43,43,42,32,28,29,24,16,19,15,9,8,5,4,2,1,0,10
2022-08,평일,37,36,45,55,50,45,36,36,37,30,32,27,23,15,10,10,5,4,2,0,23
2022-08,휴일,26,25,25,39,39,35,34,34,30,21,17,18,15,10,6,4,2,2,1,0,8
2022-09,평일,39,38,45,58,51,46,36,36,34,30,33,31,25,12,13,10,7,2,2,1,22
2022-09,휴일,24,23,22,34,38,36,30,30,26,22,24,20,18,10,6,4,3,2,1,0,8
2022-10,평일,40,37,47,55,56,47,37,36,38,31,33,32,23,15,11,10,7,3,4,1,21
2022-10,휴일,29,24,28,40,51,44,35,32,33,23,23,20,19,11,7,4,4,2,1,0,10
2022-11,평일,39,36,44,55,51,51,35,34,36,33,36,33,24,14,12,12,6,4,4,1,22
2022-11,휴일,25,25,26,29,49,44,36,33,32,20,25,22,16,9,6,4,4,2,1,0,8
2022-12,평일,35,37,44,50,52,49,42,38,38,31,35,36,23,13,12,11,6,3,4,1,22
2022-12,휴일,24,22,23,26,37,47,37,34,34,24,22,23,17,11,7,6,4,2,1,0,9
2023-01,평일,33,38,37,50,54,47,38,38,37,28,31,27,21,14,13,9,6,2,4,1,22
2023-01,휴일,19,22,17,26,35,41,30,30,31,21,20,16,13,8,5,4,3,1,1,0,9
2023-02,평일,37,54,46,52,59,51,42,43,42,32,36,32,24,14,12,13,8,3,4,1,20
2023-02,휴일,26,34,24,31,46,49,38,34,34,26,23,20,17,9,7,5,3,3,2,0,8
2023-03,평일,36,82,50,57,54,47,39,38,46,32,36,30,22,15,13,13,6,5,5,1,23
2023-03,휴일,29,54,26,34,49,52,38,31,36,21,21,21,18,8,8,4,3,3,2,0,8
2023-04,평일,39,82,55,59,53,49,40,38,47,30,41,30,21,12,16,14,8,3,6,2,20
2023-04,휴일,31,54,29,39,44,50,37,30,36,29,22,19,17,9,7,5,2,3,2,0,10
2023-05,평일,38,43,49,57,52,47,39,39,40,30,37,30,21,14,14,15,6,3,6,1,23
2023-05,휴일,28,26,27,35,44,43,41,36,30,28,23,22,18,11,7,5,3,2,1,0,8
2023-06,평일,34,40,52,58,52,47,37,36,41,33,39,30,22,15,15,12,7,4,6,1,22
2023-06,휴일,26,28,30,39,52,49,34,38,32,27,22,18,18,11,9,7,3,2,1,0,8
2023-07,평일,37,38,50,57,55,44,39,41,41,30,41,30,23,18,16,12,7,5,4,0,21
