월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,81,93,104,121,133,166,185,181,176,190,203,203,178,130,91,62,43,18,4,,44
2021-07,휴일,50,56,54,74,85,108,124,125,136,131,140,129,119,106,80,55,37,18,3,,18
2021-08,평일,83,88,101,114,134,162,189,182,178,191,207,203,176,128,87,58,39,16,3,,44
2021-08,휴일,51,53,53,69,82,106,118,126,130,130,143,134,127,108,83,51,35,15,3,,18
2021-09,평일,78,80,98,112,137,160,190,188,185,205,219,211,172,131,90,59,40,18,3,,44
2021-09,휴일,52,56,59,82,106,133,147,148,161,164,162,160,133,117,86,55,36,18,4,,16
2021-10,평일,84,86,103,126,148,178,209,206,209,230,259,245,204,142,90,65,44,20,3,,42
2021-10,휴일,54,53,53,80,109,136,159,166,181,187,199,185,158,126,97,62,42,20,2,,20
2021-11,평일,90,86,105,128,147,183,210,211,211,237,266,253,209,138,90,58,41,23,6,,44
2021-11,휴일,54,55,60,83,106,140,161,178,189,200,208,215,186,169,94,65,40,21,5,,16
2021-12,평일,84,80,101,118,128,168,200,204,207,234,260,247,199,135,82,57,42,18,3,,46
2021-12,휴일,43,42,45,64,81,104,123,150,157,170,182,188,154,149,85,46,34,15,3,,16
2022-01,평일,80,73,102,110,126,162,188,196,202,232,258,241,204,141,82,59,44,14,3,0,42
2022-01,휴일,42,42,46,63,86,118,132,157,163,177,185,185,164,155,86,51,38,14,2,0,20
2022-02,평일,76,71,100,113,126,146,173,179,183,206,228,227,188,129,80,53,39,17,2,0,40
2022-02,휴일,48,45,50,68,87,116,133,159,158,173,177,181,164,155,83,48,40,16,2,0,16
2022-03,평일,84,76,102,121,127,162,189,194,192,207,236,242,199,139,84,53,39,21,5,0,46
2022-03,휴일,49,46,50,73,85,125,132,156,143,163,168,188,160,164,95,47,33,20,5,0,16
2022-04,평일,95,88,116,134,149,187,215,222,214,233,269,279,233,163,100,67,45,22,6,0,42
2022-04,휴일,59,57,66,91,115,151,164,184,198,196,210,225,207,193,116,74,44,25,6,0,18
2022-05,평일,95,97,121,142,162,200,231,230,233,254,292,294,253,182,121,78,52,30,8,0,44
2022-05,휴일,59,58,66,99,129,166,173,196,215,220,242,237,210,214,128,85,53,27,8,0,18
2022-06,평일,98,92,117,137,161,197,226,225,234,245,279,288,242,177,114,81,55,29,9,1,44
