월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,39,37,39,49,56,60,42,44,43,38,42,50,67,51,25,20,12,3,1,,22
2021-07,휴일,26,22,23,29,37,37,31,31,28,27,24,22,25,18,15,7,5,3,1,,9
2021-08,평일,41,35,36,43,54,58,44,45,41,42,42,49,65,49,27,18,13,4,1,,22
2021-08,휴일,24,24,22,27,37,35,31,29,25,27,27,25,27,17,13,7,6,2,1,,9
2021-09,평일,33,30,39,46,52,62,50,49,49,45,48,51,71,53,26,19,10,5,1,,22
2021-09,휴일,21,24,30,31,41,44,38,38,34,32,32,30,32,18,16,9,8,3,1,,8
2021-10,평일,36,34,40,51,62,66,60,59,61,50,57,57,78,58,28,21,12,5,1,,21
2021-10,휴일,20,20,26,37,49,49,42,45,43,32,35,31,30,26,16,7,5,3,1,,10
2021-11,평일,38,32,38,50,58,70,58,57,60,52,60,60,82,59,28,20,17,4,2,,22
2021-11,휴일,21,19,24,37,47,47,40,45,39,36,31,36,30,24,15,9,5,5,1,,8
2021-12,평일,35,30,37,49,58,66,58,55,63,52,58,56,75,52,28,17,13,4,2,,23
2021-12,휴일,14,15,17,27,40,38,35,43,35,29,29,26,24,19,13,6,7,4,1,,8
