월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,59,38,83,86,94,79,72,68,71,78,82,68,63,46,29,19,12,6,1,,22
2021-07,휴일,24,23,37,44,73,70,63,56,64,69,74,72,64,42,29,15,16,5,0,,9
2021-08,평일,58,35,78,85,98,85,73,61,71,74,79,68,56,49,24,14,11,3,1,,22
2021-08,휴일,23,22,34,38,61,65,65,61,68,77,84,78,65,53,29,15,16,4,1,,9
2021-09,평일,53,37,76,88,97,87,74,67,78,83,88,79,67,55,25,17,12,4,1,,22
2021-09,휴일,25,24,36,47,73,82,84,67,83,87,109,101,87,65,29,17,18,5,1,,8
2021-10,평일,53,43,83,100,102,99,79,74,87,91,97,90,68,51,23,18,12,4,1,,21
2021-10,휴일,25,24,38,50,77,87,83,70,82,103,116,116,87,52,23,16,19,8,1,,10
2021-11,평일,57,42,90,97,109,96,80,72,89,90,100,82,60,43,19,18,11,7,1,,22
2021-11,휴일,25,31,37,46,84,87,81,77,81,107,117,110,75,39,20,18,17,8,1,,8
2021-12,평일,48,41,90,90,99,90,75,72,90,83,90,77,57,36,18,17,12,6,1,,23
2021-12,휴일,23,25,31,34,67,71,66,66,75,77,85,74,53,34,13,14,17,5,0,,8
2022-01,평일,48,43,84,83,93,91,78,75,98,89,94,76,54,40,18,17,13,4,0,0,21
2022-01,휴일,21,28,31,34,69,74,72,71,82,88,97,76,53,39,15,13,17,4,1,0,10
2022-02,평일,43,39,77,81,95,74,67,71,91,84,88,74,53,43,18,15,10,5,0,0,20
2022-02,휴일,22,25,32,39,71,72,68,72,78,90,97,85,67,37,18,14,16,6,0,0,8
2022-03,평일,46,43,84,96,100,88,76,79,92,91,90,77,60,47,20,16,10,6,1,0,23
2022-03,휴일,21,28,37,38,67,68,62,72,76,74,91,80,71,36,22,12,15,7,1,0,8
2022-04,평일,52,42,99,114,117,106,93,89,101,101,100,92,76,54,29,19,11,8,1,0,21
2022-04,휴일,26,29,47,54,89,99,88,85,98,102,126,125,94,63,38,20,17,9,1,0,9
2022-05,평일,58,43,101,120,135,119,98,95,104,104,108,100,78,63,35,24,12,8,2,0,22
2022-05,휴일,31,35,47,68,104,112,90,94,102,103,118,113,89,67,39,27,14,10,2,0,9
2022-06,평일,60,44,98,128,143,122,94,91,97,95,99,86,73,55,32,25,14,8,2,0,22
2022-06,휴일,33,37,48,74,118,119,99,100,102,104,127,108,83,57,39,25,20,10,1,0,8
2022-07,평일,63,47,100,135,142,122,96,92,101,85,97,86,75,59,31,25,14,10,2,0,21
2022-07,휴일,32,34,45,70,105,106,88,92,84,89,97,95,81,55,36,26,18,10,2,0,10
2022-08,평일,59,44,95,118,129,113,93,89,97,84,96,83,70,52,29,22,15,8,2,0,23
2022-08,휴일,28,36,48,69,101,103,92,83,87,83,96,95,82,62,31,27,18,10,1,0,8
2022-09,평일,64,49,102,127,140,128,98,97,109,104,106,91,80,59,32,22,13,10,2,0,22
2022-09,휴일,28,33,43,62,98,104,87,81,90,97,116,99,81,61,29,24,18,10,1,0,8
2022-10,평일,65,52,107,132,154,136,103,100,111,105,124,93,81,59,30,21,14,11,2,0,21
2022-10,휴일,36,40,55,72,114,121,105,98,109,112,123,124,89,53,33,20,18,13,1,0,10
2022-11,평일,61,53,112,126,147,135,104,100,113,107,117,93,75,55,27,15,13,12,2,0,22
2022-11,휴일,32,35,50,68,108,109,97,91,106,109,130,116,85,48,24,18,16,15,2,0,8
2022-12,평일,57,47,110,121,144,140,108,101,109,101,114,85,65,45,25,17,12,12,3,0,22
2022-12,휴일,30,33,45,53,103,117,101,85,97,96,108,88,65,29,20,15,21,15,2,0,9
2023-01,평일,58,44,97,116,132,124,101,101,114,106,108,81,65,46,26,18,12,10,2,0,22
2023-01,휴일,29,28,34,51,86,95,82,79,79,81,86,87,58,30,20,14,14,11,1,0,9
2023-02,평일,67,85,112,147,153,144,119,123,121,114,126,97,73,56,32,20,12,11,2,0,20
2023-02,휴일,33,60,44,74,120,128,107,108,110,111,133,121,85,52,28,19,20,14,2,0,8
2023-03,평일,76,159,116,150,157,146,119,120,133,115,124,108,81,69,32,23,13,11,2,0,23
2023-03,휴일,36,114,50,82,132,135,106,110,114,115,141,137,94,58,36,24,19,13,2,0,8
2023-04,평일,77,157,121,152,159,142,115,113,122,112,125,100,80,64,38,25,13,11,2,0,20
2023-04,휴일,39,120,55,81,123,128,103,108,108,114,129,127,95,69,40,26,20,14,2,0,10
2023-05,평일,77,59,110,144,153,143,116,111,117,110,126,101,86,69,36,27,15,12,3,0,23
2023-05,휴일,39,38,54,82,122,123,95,92,99,103,112,98,76,57,38,32,22,16,2,0,8
2023-06,평일,79,62,116,153,157,144,117,108,118,106,124,99,80,65,40,28,16,12,2,0,22
