월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,14,6,13,12,23,22,22,23,18,23,46,44,42,31,12,7,9,6,0,,22
2021-07,휴일,12,5,11,7,11,10,9,15,11,11,14,24,18,10,7,4,7,5,0,,9
2021-08,평일,14,4,12,11,21,22,21,22,19,24,44,40,37,28,12,7,7,4,0,,22
2021-08,휴일,11,4,8,6,10,11,10,13,9,12,13,21,15,10,7,6,4,4,0,,9
2021-09,평일,14,5,12,12,21,22,22,23,21,26,44,44,37,30,12,7,10,5,0,,22
2021-09,휴일,11,4,9,6,12,11,14,14,13,16,14,22,20,14,6,6,6,3,0,,8
2021-10,평일,13,6,12,11,22,24,25,25,27,33,46,52,47,29,12,8,13,6,0,,21
2021-10,휴일,11,6,6,6,11,13,15,17,15,15,21,30,22,18,10,6,9,5,0,,10
2021-11,평일,13,5,12,12,23,24,25,29,26,33,50,58,48,24,11,8,15,8,1,,22
2021-11,휴일,11,6,10,7,13,11,15,16,16,23,23,30,29,13,8,16,11,11,1,,8
2021-12,평일,14,4,9,9,22,22,25,26,24,33,44,49,42,24,12,6,11,7,1,,23
2021-12,휴일,11,6,6,6,9,10,11,18,11,11,15,24,15,12,5,6,6,5,0,,8
2022-01,평일,13,5,8,9,20,23,22,23,23,35,46,46,41,27,9,8,8,5,1,0,21
2022-01,휴일,12,6,4,5,8,9,12,16,12,15,15,31,20,11,6,6,18,5,1,0,10
2022-02,평일,12,5,9,9,18,20,21,23,22,32,45,47,41,27,8,7,7,5,0,0,20
2022-02,휴일,12,7,6,7,8,10,13,15,14,17,15,24,17,10,4,5,8,4,0,0,8
2022-03,평일,11,6,9,12,21,24,23,22,22,33,46,52,44,28,11,7,10,6,0,0,23
2022-03,휴일,12,8,5,6,10,10,13,14,11,19,18,23,21,12,6,4,10,5,0,0,8
2022-04,평일,12,6,9,12,22,26,24,26,27,38,53,54,50,32,13,9,11,6,1,0,21
2022-04,휴일,12,7,6,12,13,12,14,17,16,21,29,27,24,17,18,8,8,6,1,0,9
2022-05,평일,14,7,10,14,25,30,25,27,25,39,55,52,47,32,15,9,17,12,1,0,22
2022-05,휴일,13,7,7,10,12,16,15,17,17,21,23,35,24,18,15,14,15,6,1,0,9
2022-06,평일,13,7,10,14,25,25,26,28,25,39,51,52,45,30,14,13,15,13,2,0,22
2022-06,휴일,14,6,7,10,12,13,16,17,19,22,26,37,35,25,13,8,15,6,1,0,8
2022-07,평일,14,6,9,15,27,25,29,28,24,34,51,54,46,33,15,9,12,14,1,0,21
2022-07,휴일,15,6,5,9,13,14,13,14,14,17,19,37,22,17,8,13,14,7,1,0,10
2022-08,평일,14,6,8,14,23,27,24,26,23,35,53,53,48,31,16,11,11,9,1,0,23
2022-08,휴일,15,7,6,9,11,13,11,17,19,15,17,45,22,18,10,14,12,6,1,0,8
2022-09,평일,12,6,9,16,25,26,28,26,27,38,53,60,54,30,15,11,15,11,1,0,22
2022-09,휴일,13,6,6,10,10,13,13,19,17,18,23,28,33,16,11,7,11,8,0,0,8
2022-10,평일,13,6,9,15,25,28,27,28,27,39,58,63,56,30,16,12,15,12,1,0,21
2022-10,휴일,12,8,6,9,13,14,17,22,23,25,30,42,36,22,15,11,16,7,1,0,10
2022-11,평일,12,7,10,14,25,30,30,30,30,43,62,68,55,26,16,10,18,10,1,0,22
2022-11,휴일,14,6,6,8,14,15,17,23,21,27,30,37,29,17,9,8,10,8,1,0,8
2022-12,평일,12,6,11,10,24,26,30,28,27,44,55,66,48,25,15,11,14,10,1,0,22
2022-12,휴일,11,6,8,6,11,12,13,17,16,19,20,34,22,12,8,8,9,8,1,0,9
2023-01,평일,12,5,9,10,21,26,25,25,25,38,51,60,46,26,15,10,11,11,1,0,22
2023-01,휴일,11,6,5,5,9,9,12,13,15,13,19,28,20,12,8,6,6,11,0,0,9
2023-02,평일,12,40,12,12,23,30,30,31,32,47,66,72,58,30,18,14,12,14,0,0,20
2023-02,휴일,13,30,8,7,11,14,20,18,18,19,25,40,25,16,11,9,6,13,1,0,8
2023-03,평일,14,98,13,15,25,29,29,34,40,52,74,86,61,33,22,12,11,14,2,1,23
2023-03,휴일,12,74,9,8,18,17,18,22,24,25,30,38,23,18,26,8,14,10,1,0,8
2023-04,평일,13,102,14,14,23,32,30,35,40,51,80,88,65,35,22,14,11,15,2,0,20
2023-04,휴일,15,78,8,9,15,15,20,23,25,38,34,44,38,26,20,12,16,6,1,0,10
2023-05,평일,13,9,12,13,24,31,33,34,40,49,77,81,61,35,23,12,12,16,1,0,23
