월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,178,140,218,256,312,329,289,258,233,224,226,210,171,133,82,54,31,20,4,,22
2021-07,휴일,104,88,108,129,187,217,211,208,173,156,149,129,105,94,62,45,32,14,3,,9
2021-08,평일,173,132,207,247,308,316,295,270,243,234,239,206,172,128,78,52,26,14,4,,22
2021-08,휴일,94,82,98,127,181,207,206,219,177,174,153,133,112,93,65,37,23,11,2,,9
2021-09,평일,169,129,195,245,306,333,314,300,269,273,270,233,177,133,86,47,32,18,4,,22
2021-09,휴일,107,91,113,149,228,266,260,258,220,207,190,172,138,114,74,41,28,11,2,,8
2021-10,평일,172,141,211,269,340,367,343,332,306,314,312,266,193,133,84,54,33,19,5,,21
2021-10,휴일,106,87,106,155,228,278,275,281,250,233,206,178,140,106,69,40,27,17,4,,10
2021-11,평일,185,140,219,263,342,354,341,331,305,317,308,269,204,126,80,53,35,19,6,,22
2021-11,휴일,108,87,112,164,230,284,272,303,270,250,221,190,150,107,66,42,30,15,4,,8
2021-12,평일,170,137,198,245,301,327,308,328,296,303,300,250,178,120,76,44,32,15,4,,23
2021-12,휴일,84,81,83,120,173,215,208,248,215,195,170,146,112,82,49,34,21,10,1,,8
2022-01,평일,165,124,201,236,293,319,302,322,294,301,292,265,181,121,72,51,36,14,3,0,21
2022-01,휴일,80,72,82,122,166,221,232,278,259,216,202,168,138,84,56,40,28,11,3,0,10
2022-02,평일,162,120,183,236,284,296,280,290,277,278,265,239,166,116,72,45,36,18,2,0,20
2022-02,휴일,87,80,92,125,175,227,223,278,239,213,195,160,126,94,62,42,30,14,2,0,8
2022-03,평일,176,125,189,242,289,301,309,315,284,273,272,248,175,122,80,49,31,21,5,0,23
2022-03,휴일,93,72,90,128,181,211,224,260,232,204,179,148,130,86,58,37,27,15,4,0,8
2022-04,평일,201,139,221,282,349,359,341,368,312,302,292,305,207,137,95,63,39,23,6,0,21
2022-04,휴일,115,86,118,181,264,305,270,329,288,246,235,208,144,111,82,58,32,16,5,0,9
2022-05,평일,216,152,244,303,385,388,375,391,343,311,316,311,239,153,105,71,44,25,8,0,22
2022-05,휴일,125,97,122,184,284,321,305,346,287,265,242,213,158,112,91,56,39,21,5,0,9
2022-06,평일,205,153,236,296,371,365,357,379,315,284,285,280,214,144,98,65,44,26,7,0,22
2022-06,휴일,125,103,132,188,287,332,311,330,289,263,229,211,176,117,87,53,46,20,7,0,8
