월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,82,32,94,100,119,155,143,125,117,128,136,133,107,91,52,41,30,21,8,,44
2021-07,휴일,56,19,51,54,77,90,95,85,80,75,81,74,62,52,35,26,20,13,5,,18
2021-08,평일,79,31,92,103,118,161,149,131,124,137,140,133,103,87,50,34,27,17,8,,44
2021-08,휴일,49,18,46,53,72,91,92,88,81,79,86,77,66,50,35,28,20,11,4,,18
2021-09,평일,70,26,85,93,114,159,151,129,130,146,150,135,111,85,50,38,28,18,8,,44
2021-09,휴일,57,18,55,62,87,105,112,104,105,97,102,96,75,54,37,30,20,10,6,,16
2021-10,평일,74,27,86,99,114,156,151,132,138,154,157,150,127,94,52,42,34,22,8,,42
2021-10,휴일,47,14,45,50,69,90,96,97,102,97,102,96,80,58,41,33,24,13,7,,20
2021-11,평일,78,28,89,106,122,162,168,147,151,171,172,169,131,93,54,44,38,22,11,,44
2021-11,휴일,50,15,47,54,73,103,119,115,111,115,119,105,90,58,43,33,24,14,9,,16
2021-12,평일,73,25,77,98,109,147,155,142,143,152,161,152,115,87,47,38,32,18,9,,46
2021-12,휴일,37,11,34,47,55,85,85,91,86,91,93,88,68,49,28,25,20,10,7,,16
2022-01,평일,75,22,77,102,114,165,166,165,164,164,184,157,118,86,51,36,35,17,7,0,42
2022-01,휴일,43,10,40,50,72,99,110,115,118,114,113,96,76,50,34,26,21,10,5,0,20
2022-02,평일,69,20,67,89,93,127,129,129,125,129,148,135,106,78,47,36,31,16,6,0,40
2022-02,휴일,43,11,38,49,61,85,89,95,101,100,96,89,71,52,34,24,21,10,5,0,16
2022-03,평일,78,22,79,98,111,150,150,146,135,138,152,145,113,79,50,38,33,19,8,0,46
2022-03,휴일,46,12,39,46,63,80,89,96,96,97,95,87,70,52,34,28,23,12,6,0,16
2022-04,평일,87,27,90,106,126,166,166,161,147,154,179,168,136,101,59,47,40,23,10,0,42
2022-04,휴일,55,17,51,56,84,105,116,113,113,116,115,109,94,72,48,38,27,14,9,0,18
2022-05,평일,94,29,93,111,131,175,172,164,146,163,186,177,150,108,65,55,47,26,13,0,44
2022-05,휴일,57,16,45,58,76,108,117,118,111,107,119,119,104,72,53,43,33,17,9,0,18
2022-06,평일,93,26,90,107,130,163,173,159,149,162,180,172,144,107,64,55,48,29,11,4,44
2022-06,휴일,65,18,51,63,83,116,124,134,116,120,113,124,103,75,53,47,37,17,11,4,16
2022-07,평일,94,29,90,114,133,169,169,153,141,159,169,164,145,105,64,51,48,28,11,4,42
2022-07,휴일,62,18,52,64,84,106,117,111,105,102,104,103,92,70,48,42,32,18,9,2,20
2022-08,평일,90,27,83,109,129,164,168,155,146,155,168,156,133,99,63,47,40,26,9,4,46
2022-08,휴일,60,15,51,56,88,115,120,111,102,102,104,108,94,70,49,41,28,18,9,1,16
2022-09,평일,92,28,87,111,141,184,188,175,160,180,196,173,153,111,66,51,44,27,9,4,44
2022-09,휴일,50,15,45,55,84,108,117,115,111,105,118,113,98,70,44,37,28,15,7,2,16
2022-10,평일,90,26,85,113,135,175,192,184,164,187,203,185,159,114,68,53,45,27,10,4,42
2022-10,휴일,59,18,50,62,82,120,141,141,120,121,140,141,112,79,57,50,32,17,9,2,20
2022-11,평일,88,27,87,113,139,181,193,182,171,189,208,190,156,113,65,54,46,28,10,4,44
2022-11,휴일,55,16,49,60,89,119,139,139,127,136,140,134,108,75,51,44,29,16,9,2,16
2022-12,평일,81,23,78,99,121,164,196,197,172,197,209,196,164,105,65,59,52,31,13,4,44
2022-12,휴일,49,15,41,51,74,107,152,159,137,135,141,133,109,70,48,45,30,18,11,3,18
2023-01,평일,77,22,78,94,124,175,198,185,180,198,201,182,141,100,62,46,43,25,11,4,44
2023-01,휴일,42,12,37,43,67,93,116,121,107,114,115,108,80,56,40,29,21,11,7,1,18
2023-02,평일,84,34,89,102,130,167,196,192,173,191,213,199,162,122,68,52,48,31,12,4,40
2023-02,휴일,50,25,49,51,77,110,141,144,126,141,137,139,108,80,52,44,30,18,10,2,16
2023-03,평일,90,49,93,105,135,178,200,190,178,193,212,203,162,125,73,56,48,33,11,4,46
2023-03,휴일,53,38,52,57,86,127,144,147,137,131,140,152,119,88,55,47,31,18,11,2,16
2023-04,평일,98,52,97,110,139,175,194,185,173,184,211,200,167,125,75,57,50,32,12,5,40
2023-04,휴일,58,39,52,60,90,112,135,136,127,132,139,142,119,87,60,48,33,20,11,2,20
2023-05,평일,100,30,90,110,142,181,193,181,168,180,203,186,162,125,77,57,48,33,13,5,46
2023-05,휴일,57,16,48,58,87,107,121,123,110,119,120,125,106,76,57,46,33,20,11,2,16
2023-06,평일,103,32,98,110,151,183,189,181,166,181,201,193,159,126,77,61,51,35,14,5,44
2023-06,휴일,70,19,57,71,102,124,132,138,122,130,127,131,119,87,60,53,39,22,12,2,16
2023-07,평일,102,31,99,110,144,170,171,169,152,157,185,182,157,127,79,59,48,32,13,4,42
2023-07,휴일,65,18,55,64,91,114,117,119,104,110,116,120,96,76,53,47,29,21,10,2,20
2023-08,평일,99,33,95,110,148,172,171,163,149,155,178,173,149,118,76,54,42,31,11,3,46
2023-08,휴일,61,16,52,67,96,114,123,126,117,116,110,118,108,83,58,43,33,22,10,2,16
2023-09,평일,100,33,101,116,173,206,212,202,189,203,225,200,170,121,75,55,44,33,13,4,42
2023-09,휴일,66,20,57,72,106,141,147,148,145,150,144,146,119,90,59,45,33,20,11,2,18
2023-10,평일,95,29,91,106,147,177,199,198,187,196,215,199,167,123,79,55,47,32,13,3,44
2023-10,휴일,59,16,50,62,90,120,131,145,140,139,141,147,123,91,63,50,36,20,10,2,18
2023-11,평일,99,30,94,114,160,190,213,209,202,226,239,204,169,122,75,54,51,33,12,4,44
2023-11,휴일,53,14,48,56,93,126,153,153,144,148,152,151,112,81,58,46,31,19,10,2,16
2023-12,평일,90,26,83,102,143,180,226,228,213,225,243,220,187,122,75,59,56,38,15,5,42
2023-12,휴일,49,15,43,50,82,126,171,184,154,146,160,164,118,77,55,46,37,20,11,3,20
