월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,64,19,85,107,82,121,120,88,104,119,127,138,129,110,73,45,32,22,6,,22
2021-07,휴일,38,13,45,39,44,58,67,61,62,58,64,66,62,49,45,31,23,15,5,,9
2021-08,평일,61,18,88,101,84,118,122,94,110,116,127,145,129,107,69,44,27,20,4,,22
2021-08,휴일,35,12,39,36,40,58,66,61,59,61,66,68,71,56,46,31,23,14,3,,9
2021-09,평일,61,15,86,94,86,124,121,99,113,132,139,153,135,105,69,45,32,22,4,,22
2021-09,휴일,35,11,40,40,48,74,73,82,70,76,87,86,78,59,53,33,26,17,5,,8
2021-10,평일,66,17,91,101,99,124,134,105,120,142,154,176,150,119,74,48,35,26,6,,21
2021-10,휴일,39,11,44,38,46,70,74,82,77,80,92,93,96,67,57,38,32,17,6,,10
2021-11,평일,70,18,93,106,101,126,135,111,126,148,157,191,158,127,72,45,37,24,10,,22
2021-11,휴일,40,12,46,39,54,77,72,76,87,81,98,104,102,80,53,35,30,20,8,,8
2021-12,평일,63,16,85,97,93,117,122,117,119,141,163,172,152,112,68,45,34,22,8,,23
2021-12,휴일,38,10,40,32,43,66,59,71,70,73,79,89,86,62,39,29,25,14,4,,8
2022-01,평일,53,15,73,100,84,113,123,122,120,135,161,161,143,116,72,44,40,20,6,0,21
2022-01,휴일,36,10,33,34,44,71,65,75,71,73,88,90,82,61,42,27,31,14,3,0,10
2022-02,평일,53,14,69,92,88,100,110,106,108,123,144,146,138,105,68,43,34,18,7,0,20
2022-02,휴일,38,10,32,36,48,78,63,74,66,76,79,79,74,62,48,28,27,12,4,0,8
2022-03,평일,57,14,74,96,91,104,112,110,110,127,143,147,142,106,70,44,30,22,10,0,23
