월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,157,18,118,126,161,188,179,174,178,190,236,240,220,175,113,69,43,29,9,,22
2021-07,휴일,120,15,90,100,122,116,127,113,115,125,121,116,106,86,67,48,32,21,6,,9
2021-08,평일,140,17,108,118,152,186,177,173,174,200,233,241,221,169,112,64,40,24,8,,22
2021-08,휴일,115,14,97,93,106,118,120,110,114,123,126,125,108,90,71,44,29,19,6,,9
2021-09,평일,148,18,125,130,166,197,200,193,193,221,257,251,230,170,118,65,45,31,10,,22
2021-09,휴일,158,19,128,123,148,157,155,142,128,156,160,148,126,110,81,53,38,25,8,,8
2021-10,평일,164,18,147,159,208,228,230,216,209,245,300,307,258,183,126,76,53,36,13,,21
2021-10,휴일,160,16,141,153,175,191,196,162,170,190,185,181,156,121,90,61,42,28,9,,10
2021-11,평일,142,15,144,143,193,219,225,223,214,260,304,296,270,190,130,80,56,32,17,,22
2021-11,휴일,137,14,131,153,165,189,183,175,185,208,202,196,161,130,94,66,45,25,9,,8
2021-12,평일,119,13,108,109,143,189,198,194,190,227,275,265,235,168,118,71,51,27,11,,23
2021-12,휴일,88,11,73,86,103,126,144,130,146,138,158,154,117,93,67,53,36,18,6,,8
2022-01,평일,109,13,94,104,137,183,190,192,183,223,274,259,235,169,117,67,54,23,9,0,21
2022-01,휴일,85,12,66,77,102,128,129,126,127,148,145,142,113,93,70,46,41,14,4,0,10
2022-02,평일,114,13,95,96,132,169,174,174,179,202,239,244,214,154,114,65,43,26,10,0,20
2022-02,휴일,90,11,68,82,100,131,134,125,130,148,150,134,132,95,72,48,40,19,6,0,8
2022-03,평일,122,13,104,108,144,178,183,180,183,203,245,237,215,161,113,64,43,31,14,0,23
2022-03,휴일,89,9,72,82,106,127,132,112,123,142,135,122,116,93,69,48,31,25,11,0,8
2022-04,평일,158,17,133,144,199,231,217,214,210,246,296,281,251,195,129,83,58,42,16,0,21
2022-04,휴일,140,13,126,149,153,167,180,153,158,168,194,187,154,126,91,71,46,30,15,0,9
2022-05,평일,186,18,157,172,222,247,240,234,234,269,336,313,276,215,146,100,74,50,21,0,22
2022-05,휴일,164,16,163,173,195,205,211,159,176,200,221,220,179,145,107,89,60,37,17,0,9
2022-06,평일,168,17,149,170,208,248,240,236,234,263,323,321,275,214,143,96,76,49,20,4,22
2022-06,휴일,170,16,170,188,204,202,208,173,199,222,233,229,200,145,120,94,71,47,16,0,8
2022-07,평일,161,17,146,149,195,236,230,235,231,258,307,314,276,209,142,97,71,48,20,5,21
2022-07,휴일,136,16,124,151,159,177,170,141,165,185,194,195,167,131,102,77,57,34,15,0,10
2022-08,평일,155,16,133,141,185,217,219,218,219,243,293,295,260,198,136,84,59,45,18,5,23
2022-08,휴일,165,16,150,145,170,172,175,154,161,171,186,190,155,136,103,77,50,36,13,0,8
2022-09,평일,171,17,142,162,208,241,248,233,236,275,327,311,271,214,147,93,69,46,22,4,22
2022-09,휴일,156,18,141,152,162,178,188,166,173,186,205,188,176,135,110,80,49,34,17,0,8
2022-10,평일,195,16,167,190,244,268,261,252,245,299,356,349,296,221,150,98,71,50,19,4,21
2022-10,휴일,206,19,188,208,221,233,234,207,207,255,250,241,200,163,122,97,71,40,18,0,10
2022-11,평일,166,14,149,160,214,249,247,248,249,287,346,344,294,213,150,102,66,46,17,5,22
2022-11,휴일,155,14,147,166,177,219,224,205,214,241,254,235,199,158,119,86,56,34,15,0,8
2022-12,평일,125,12,119,129,178,227,242,236,233,282,342,335,280,192,137,111,87,57,20,5,22
2022-12,휴일,105,11,90,117,147,197,239,206,191,228,259,236,195,145,119,89,63,39,16,1,9
2023-01,평일,122,14,110,113,159,213,218,213,211,258,293,293,248,183,129,87,62,44,15,4,22
2023-01,휴일,89,13,77,92,122,151,157,144,156,175,190,171,142,107,81,57,41,21,11,0,9
2023-02,평일,140,21,129,140,182,241,258,247,254,295,358,344,293,224,153,103,74,49,17,4,20
2023-02,휴일,123,18,99,125,155,221,234,205,212,233,244,245,205,151,126,82,55,31,13,0,8
2023-03,평일,155,31,136,160,197,248,252,253,251,307,359,357,312,219,162,110,79,53,18,5,23
2023-03,휴일,130,24,117,145,170,207,243,194,199,233,262,252,202,160,134,102,63,30,18,0,8
2023-04,평일,178,32,156,182,229,268,258,258,260,308,357,354,302,220,162,113,85,56,18,5,20
2023-04,휴일,184,29,170,199,201,227,228,199,210,228,251,243,204,165,132,105,64,38,16,0,10
2023-05,평일,185,17,158,181,219,264,253,253,243,293,350,343,293,220,159,110,81,57,20,4,23
2023-05,휴일,179,15,161,178,185,197,197,172,191,217,240,218,197,154,125,96,69,42,13,0,8
2023-06,평일,182,16,152,162,204,247,248,252,245,289,337,335,299,217,161,110,86,58,20,4,22
2023-06,휴일,181,19,160,176,194,246,221,198,201,220,246,238,203,155,136,104,77,42,19,0,8
2023-07,평일,168,16,137,149,180,227,236,240,230,269,312,312,288,213,150,104,74,56,16,3,21
2023-07,휴일,144,15,118,129,139,185,191,157,169,180,203,199,162,131,111,90,58,35,12,0,10
2023-08,평일,151,15,128,150,179,209,212,217,216,247,288,303,259,209,144,97,69,51,16,3,23
2023-08,휴일,136,15,120,137,145,180,176,158,164,185,205,194,166,133,115,87,59,36,15,0,8
2023-09,평일,173,16,139,160,195,227,244,231,241,274,326,325,277,209,155,105,75,55,19,4,21
2023-09,휴일,196,19,136,159,169,206,199,192,196,222,240,218,187,150,132,89,60,40,15,1,9
2023-10,평일,201,16,165,185,229,265,258,250,255,301,352,345,293,224,158,107,78,48,20,4,22
2023-10,휴일,189,16,191,198,208,230,237,205,213,242,256,245,218,170,139,99,68,38,15,0,9
2023-11,평일,165,14,147,164,206,247,246,237,248,309,350,353,293,212,147,105,79,55,15,3,22
2023-11,휴일,154,14,150,169,182,242,224,199,226,254,274,266,218,153,118,95,58,37,11,1,8
2023-12,평일,133,14,110,137,177,237,259,245,246,306,363,347,289,204,152,120,94,62,19,4,21
2023-12,휴일,107,13,91,125,156,219,241,194,207,241,267,258,200,145,123,99,66,42,14,2,10
