월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,146,35,144,163,195,237,262,240,256,242,224,175,138,92,54,32,18,10,8,,44
2021-07,휴일,97,22,77,85,104,137,151,158,161,168,139,120,100,71,46,28,16,7,6,,18
2021-08,평일,137,33,133,159,183,226,258,237,257,245,222,175,136,90,53,30,17,7,7,,44
2021-08,휴일,88,20,69,76,96,128,146,151,151,164,144,124,94,74,44,23,14,7,5,,18
2021-09,평일,142,32,140,160,194,247,281,254,255,253,236,184,142,93,56,32,20,10,7,,44
2021-09,휴일,118,22,97,103,128,162,173,175,186,185,162,143,114,80,50,29,17,9,5,,16
2021-10,평일,156,33,158,187,228,288,334,293,296,299,276,215,167,104,62,37,22,12,8,,42
2021-10,휴일,118,20,104,111,147,181,212,201,210,217,195,170,133,84,52,32,20,10,6,,20
2021-11,평일,158,34,159,184,235,286,346,298,306,314,298,225,172,105,60,40,24,12,9,,44
2021-11,휴일,127,22,106,121,146,186,214,218,223,232,208,184,135,92,56,36,20,10,8,,16
2021-12,평일,133,29,135,164,199,264,295,267,290,287,271,203,155,93,54,35,23,9,9,,46
2021-12,휴일,83,17,69,80,108,146,162,172,185,200,167,141,116,71,44,28,17,7,6,,16
2022-01,평일,129,26,127,162,198,251,297,275,283,287,265,201,154,93,55,34,25,9,8,0,42
2022-01,휴일,80,15,65,83,99,146,166,181,183,194,171,147,107,71,43,26,19,6,6,0,20
2022-02,평일,128,28,122,150,184,226,251,241,263,254,234,180,137,92,49,31,21,8,6,0,40
2022-02,휴일,88,15,68,78,106,139,168,168,181,191,168,137,105,73,45,29,17,8,5,0,16
2022-03,평일,135,28,133,155,194,241,266,247,264,254,238,183,138,88,55,32,21,10,9,0,46
2022-03,휴일,86,16,72,81,107,139,159,169,179,184,165,146,105,72,47,27,17,8,7,0,16
2022-04,평일,162,32,168,191,239,304,338,303,317,310,300,232,172,116,69,41,29,13,10,0,42
2022-04,휴일,130,20,117,120,150,199,213,216,234,235,215,182,148,110,63,40,25,10,7,0,18
2022-05,평일,174,35,183,207,265,341,399,347,347,354,337,262,200,132,82,52,36,15,11,0,44
2022-05,휴일,136,22,122,136,171,226,262,245,251,266,246,220,166,121,76,49,27,14,9,0,18
2022-06,평일,166,35,174,200,253,343,415,359,348,351,329,262,199,128,77,54,33,17,10,1,44
2022-06,휴일,139,23,133,150,185,249,287,270,274,287,258,227,178,117,77,52,30,15,9,1,16
2022-07,평일,166,35,167,195,253,342,419,358,361,349,332,254,197,131,73,50,32,17,10,1,42
2022-07,휴일,126,22,106,121,156,227,268,265,268,264,234,201,158,111,69,46,27,13,8,0,20
2022-08,평일,155,32,163,184,236,298,371,329,327,324,299,234,184,121,68,43,28,14,9,1,46
2022-08,휴일,134,21,107,123,159,217,250,252,255,258,227,191,161,116,72,40,24,11,9,0,16
2022-09,평일,161,34,173,203,254,330,401,342,338,342,326,254,204,132,75,49,31,15,8,1,44
2022-09,휴일,121,23,103,125,150,198,239,230,233,234,219,197,152,105,71,38,23,12,7,1,16
2022-10,평일,167,36,183,221,266,355,428,368,359,371,356,274,217,138,79,50,32,15,9,1,42
2022-10,휴일,159,25,154,169,200,269,301,283,288,289,279,239,179,126,74,47,27,13,8,0,20
2022-11,평일,169,35,177,207,271,347,423,354,362,370,356,270,210,127,75,49,33,15,9,1,44
2022-11,휴일,148,25,131,146,180,239,290,266,285,293,260,231,178,121,74,50,29,12,9,0,16
2022-12,평일,153,31,151,188,246,346,450,379,378,392,366,281,207,127,75,55,37,17,10,1,44
2022-12,휴일,110,20,98,125,165,234,280,279,299,295,280,234,171,108,68,49,29,14,8,1,18
2023-01,평일,144,31,134,177,226,306,385,333,340,341,319,244,191,124,68,47,27,13,9,1,44
2023-01,휴일,91,18,78,98,132,180,218,210,235,244,208,182,134,87,57,37,19,10,6,0,18
2023-02,평일,160,39,162,203,262,360,476,397,384,391,380,283,221,138,79,55,35,14,9,1,40
2023-02,휴일,115,29,107,132,161,246,297,286,311,298,283,241,181,113,75,49,24,10,7,0,16
2023-03,평일,172,50,177,214,279,385,482,396,399,402,380,290,229,146,88,57,36,16,8,2,46
2023-03,휴일,127,40,121,143,181,269,307,298,302,318,300,255,190,126,86,50,27,12,9,0,16
2023-04,평일,191,56,198,232,295,390,480,402,399,402,382,292,231,147,92,59,38,18,9,2,40
2023-04,휴일,182,50,171,179,209,271,319,291,310,310,291,249,192,133,88,56,27,15,9,0,20
2023-05,평일,186,34,190,222,284,383,467,399,398,404,377,298,234,155,92,57,37,18,11,1,46
2023-05,휴일,154,26,144,162,188,259,313,292,295,326,280,246,194,125,88,54,27,14,11,1,16
2023-06,평일,183,35,180,222,278,388,486,397,390,396,380,290,233,150,93,61,40,18,10,1,44
2023-06,휴일,149,26,135,159,192,285,335,295,303,313,288,265,202,142,98,66,33,14,9,0,16
2023-07,평일,176,31,172,213,270,377,478,398,390,393,365,278,223,143,85,53,35,16,8,1,42
2023-07,휴일,126,23,114,137,169,261,319,298,299,298,274,232,178,124,80,48,27,12,6,0,20
2023-08,평일,165,33,164,210,255,361,440,385,366,371,342,257,213,139,81,51,30,13,7,1,46
2023-08,휴일,128,23,110,137,171,266,310,293,302,296,262,224,184,122,81,52,28,11,8,0,16
2023-09,평일,171,32,180,221,270,380,451,380,368,369,356,269,224,142,87,57,36,15,8,1,42
2023-09,휴일,149,25,139,153,182,259,312,288,295,296,273,242,181,126,83,50,26,12,8,1,18
2023-10,평일,173,35,189,238,286,386,476,417,393,405,386,291,228,150,88,58,36,17,9,1,44
2023-10,휴일,154,26,156,175,202,278,329,300,323,320,300,252,196,134,85,53,30,15,8,0,18
2023-11,평일,170,35,186,231,284,388,479,415,396,401,398,298,235,142,85,57,38,18,9,2,44
2023-11,휴일,148,24,142,168,196,272,338,302,320,320,294,273,208,131,82,53,29,14,7,0,16
2023-12,평일,156,33,167,211,264,395,522,441,408,420,418,323,242,148,88,68,49,21,10,1,42
2023-12,휴일,116,23,110,144,184,275,340,328,345,343,310,275,196,127,81,57,32,14,8,0,20
