월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,196,69,148,173,244,246,258,235,245,219,187,149,128,81,47,31,24,14,5,,44
2021-07,휴일,90,26,58,50,55,63,81,91,96,73,56,57,47,37,28,21,17,8,3,,18
2021-08,평일,184,69,145,163,238,247,253,246,243,216,190,146,115,76,48,29,21,11,4,,44
2021-08,휴일,83,25,51,42,50,58,76,84,94,75,60,57,51,39,31,19,16,7,2,,18
2021-09,평일,177,63,134,160,234,240,274,274,251,232,200,164,146,85,49,33,25,13,6,,44
2021-09,휴일,92,26,64,55,63,72,100,114,107,96,79,70,67,47,34,25,18,9,3,,16
2021-10,평일,192,67,144,174,259,280,320,317,280,267,233,192,177,104,53,35,27,15,6,,42
2021-10,휴일,95,26,65,52,70,78,107,130,120,108,93,91,86,56,39,28,21,11,3,,20
2021-11,평일,201,71,150,181,275,285,376,371,295,284,252,208,218,117,55,39,28,15,8,,44
2021-11,휴일,108,27,66,57,69,87,132,147,128,117,104,109,106,63,41,30,21,10,4,,16
2021-12,평일,196,69,138,167,248,264,308,292,265,265,222,185,167,91,47,32,24,14,7,,46
2021-12,휴일,89,24,51,46,62,67,91,105,109,96,76,78,72,45,30,23,16,7,3,,16
2022-01,평일,185,67,133,155,240,256,287,291,276,255,217,179,151,86,48,32,26,10,4,0,42
2022-01,휴일,76,27,44,42,58,69,91,103,109,97,77,75,68,42,33,22,18,7,2,0,20
2022-02,평일,175,66,134,158,227,241,252,257,248,235,199,161,131,81,46,31,23,10,5,0,40
2022-02,휴일,82,28,47,48,63,72,95,110,110,99,78,77,71,44,32,24,17,7,2,0,16
2022-03,평일,184,67,136,159,237,251,253,252,250,227,195,164,138,85,50,30,23,14,6,0,46
2022-03,휴일,89,28,48,44,65,70,89,101,94,90,76,73,66,44,32,23,17,10,3,0,16
2022-04,평일,205,71,153,179,298,301,322,313,301,281,232,199,191,118,59,42,29,18,8,0,42
2022-04,휴일,104,26,62,55,85,89,118,129,129,112,93,98,94,63,44,34,21,12,5,0,18
2022-05,평일,213,72,154,182,313,310,400,371,319,299,249,218,238,145,68,49,36,21,9,0,44
2022-05,휴일,107,28,67,55,92,99,140,157,130,120,102,110,109,65,48,36,28,16,6,0,18
2022-06,평일,204,71,150,184,296,314,430,396,306,280,241,214,256,150,62,48,37,22,9,1,44
2022-06,휴일,117,28,75,60,92,103,170,170,146,127,105,117,113,75,48,39,25,17,5,0,16
2022-07,평일,212,75,156,188,308,320,397,361,309,275,235,206,226,142,61,44,34,21,9,1,42
2022-07,휴일,106,28,77,57,82,95,144,143,127,111,83,90,97,62,45,36,26,14,5,0,20
2022-08,평일,198,70,145,173,282,293,328,314,276,251,216,184,187,109,57,38,29,19,7,2,46
2022-08,휴일,108,27,69,62,79,91,127,136,131,106,80,90,81,59,44,31,21,13,5,0,16
2022-09,평일,206,69,151,180,296,293,386,378,295,274,237,203,230,132,65,46,33,20,7,2,44
2022-09,휴일,106,24,75,54,83,81,132,129,124,111,87,97,95,61,44,34,24,14,6,0,16
2022-10,평일,211,72,157,189,315,312,418,394,314,286,265,227,244,139,64,47,33,21,8,2,42
2022-10,휴일,143,27,103,71,96,106,162,158,148,129,112,118,112,77,47,41,31,15,7,0,20
2022-11,평일,225,74,153,200,331,326,438,415,326,304,275,237,276,143,63,45,35,20,7,1,44
2022-11,휴일,134,27,95,65,99,100,166,172,150,138,119,133,128,70,46,36,23,13,6,0,16
2022-12,평일,212,73,150,183,314,316,479,445,323,308,275,248,335,152,62,52,39,24,9,2,44
2022-12,휴일,100,29,70,55,91,97,183,188,145,129,117,145,138,72,46,36,25,14,6,0,18
2023-01,평일,190,70,130,169,285,283,385,364,295,269,226,206,211,120,59,41,28,18,7,1,44
2023-01,휴일,80,24,50,46,74,81,124,131,122,100,86,92,89,53,34,28,18,10,4,0,18
2023-02,평일,211,82,153,195,327,325,488,458,345,321,278,238,288,153,69,50,37,22,9,2,40
2023-02,휴일,99,33,65,54,96,112,180,180,163,134,115,131,117,73,46,38,22,16,5,0,16
2023-03,평일,216,88,158,199,322,334,480,455,338,322,285,255,295,160,70,53,40,22,8,2,46
2023-03,휴일,117,40,77,59,105,116,205,208,152,135,118,132,131,81,53,43,26,13,6,0,16
2023-04,평일,223,90,164,213,326,340,457,432,350,319,282,244,276,152,72,52,42,21,10,2,40
2023-04,휴일,137,38,104,71,88,107,177,166,159,129,120,122,122,80,52,45,28,16,7,0,20
2023-05,평일,213,72,161,195,331,320,425,397,322,302,249,230,251,146,68,51,39,22,8,2,46
2023-05,휴일,124,26,84,72,86,101,164,151,145,123,102,114,112,75,48,42,29,18,7,0,16
2023-06,평일,212,76,158,202,311,323,462,424,318,297,256,230,277,160,65,51,40,23,10,2,44
2023-06,휴일,129,31,98,68,94,112,181,176,147,130,102,124,132,78,50,46,32,18,8,0,16
2023-07,평일,208,76,162,201,321,326,424,387,309,280,235,211,239,138,63,46,36,22,8,2,42
2023-07,휴일,110,27,66,62,83,104,147,147,132,116,88,98,94,63,45,36,28,15,5,0,20
2023-08,평일,199,72,159,196,297,292,359,333,279,254,216,193,211,125,61,41,32,18,8,2,46
