월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,138,57,201,268,305,315,292,254,292,284,351,350,318,252,168,111,79,51,24,,22
2021-07,휴일,96,34,95,91,138,170,171,157,164,158,166,166,157,126,95,70,57,40,14,,9
2021-08,평일,133,54,189,257,303,321,299,253,291,282,343,343,301,237,166,106,72,46,17,,22
2021-08,휴일,85,32,90,96,114,149,157,149,155,152,154,157,161,134,94,63,54,37,9,,9
2021-09,평일,126,48,183,237,290,312,287,250,303,298,357,344,312,239,168,108,71,56,20,,22
2021-09,휴일,86,32,98,110,156,188,184,182,188,184,189,198,175,145,112,84,70,43,12,,8
2021-10,평일,132,51,194,268,311,342,324,294,342,333,398,402,365,274,186,107,81,62,28,,21
2021-10,휴일,86,34,97,116,149,193,200,199,217,209,222,239,219,171,125,87,72,51,13,,10
2021-11,평일,148,51,184,269,326,337,316,298,371,373,434,429,357,273,175,115,80,58,32,,22
2021-11,휴일,92,32,92,128,149,203,209,225,284,287,274,279,230,202,127,91,70,46,24,,8
2021-12,평일,138,53,177,247,300,311,303,281,354,365,409,390,333,240,162,101,80,51,26,,23
2021-12,휴일,86,29,78,97,120,184,158,180,219,240,221,212,182,158,92,66,58,37,14,,8
2022-01,평일,133,49,169,251,302,322,293,279,364,359,395,390,319,232,156,100,83,45,21,0,21
2022-01,휴일,88,27,80,93,138,173,181,209,248,252,228,218,179,156,95,56,60,32,10,0,10
2022-02,평일,132,46,166,252,306,300,280,266,329,336,369,374,304,226,155,95,75,49,22,0,20
2022-02,휴일,95,31,91,107,153,180,184,208,284,270,224,228,190,160,93,75,59,35,13,0,8
2022-03,평일,132,47,177,252,298,298,276,254,340,316,376,378,312,247,162,102,70,53,30,0,23
2022-03,휴일,80,31,90,100,128,157,159,186,258,243,209,204,170,176,104,73,55,40,18,0,8
2022-04,평일,149,50,194,277,332,319,293,281,375,351,424,438,367,295,189,125,84,62,38,0,21
2022-04,휴일,94,33,99,112,151,197,200,211,297,296,260,270,253,223,145,108,74,51,25,0,9
2022-05,평일,150,53,205,278,338,329,304,302,381,380,447,457,389,312,201,142,102,70,39,0,22
2022-05,휴일,99,34,94,116,164,210,212,237,317,323,293,293,268,249,171,116,88,56,29,0,9
2022-06,평일,153,52,193,269,317,313,302,307,382,382,438,444,374,310,194,132,101,76,33,7,22
2022-06,휴일,111,33,97,112,164,214,247,261,357,359,308,312,286,263,172,130,99,65,33,0,8
2022-07,평일,151,55,211,289,328,321,301,312,383,373,434,431,399,315,198,130,107,73,33,8,21
2022-07,휴일,110,35,105,123,163,200,206,266,335,324,271,278,258,233,150,110,99,65,27,0,10
2022-08,평일,148,50,203,260,303,307,291,298,368,367,421,428,370,288,185,121,99,66,36,7,23
2022-08,휴일,106,36,100,111,157,198,210,240,324,320,263,266,255,239,158,112,95,62,28,0,8
2022-09,평일,141,53,200,266,314,357,336,326,414,414,460,474,406,326,213,132,95,65,37,7,22
2022-09,휴일,96,31,96,107,158,198,206,248,332,347,295,299,288,250,159,107,83,50,31,1,8
2022-10,평일,148,51,199,277,331,378,362,366,477,469,524,541,447,353,224,144,104,69,39,8,21
2022-10,휴일,106,34,96,128,179,240,249,288,410,419,380,377,336,287,201,134,112,67,32,1,10
2022-11,평일,148,52,205,276,333,378,354,366,447,447,523,535,436,352,218,140,107,69,34,11,22
2022-11,휴일,101,32,97,112,164,224,251,294,370,403,379,340,325,283,166,130,100,62,32,1,8
2022-12,평일,138,49,190,264,304,371,351,364,470,463,513,524,420,318,207,141,116,75,36,10,22
2022-12,휴일,92,31,87,105,146,235,277,311,403,385,376,365,327,272,156,120,94,64,31,2,9
