월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,41,12,56,60,67,83,92,80,91,97,125,130,137,112,72,48,35,23,6,,22
2021-07,휴일,31,9,37,37,48,52,56,56,65,59,64,73,74,69,51,36,29,17,3,,9
2021-08,평일,38,10,51,54,68,84,88,83,97,94,126,128,137,108,72,45,30,17,5,,22
2021-08,휴일,32,9,34,33,50,61,55,56,63,65,74,74,76,69,50,36,24,11,4,,9
2021-09,평일,37,10,48,50,67,82,94,88,101,106,142,130,131,107,77,49,33,20,6,,22
2021-09,휴일,32,11,36,38,62,74,68,65,68,78,86,98,88,80,60,41,28,17,4,,8
2021-10,평일,39,11,52,53,69,81,99,92,112,122,159,150,153,119,74,49,38,23,8,,21
2021-10,휴일,31,9,36,44,56,72,72,70,74,86,98,102,101,85,56,40,32,19,6,,10
2021-11,평일,43,10,53,52,70,86,91,94,115,123,160,148,154,116,78,52,36,23,8,,22
2021-11,휴일,29,9,33,42,58,81,65,67,83,93,96,104,112,78,63,44,31,17,6,,8
2021-12,평일,42,10,51,46,67,78,92,92,110,122,152,142,147,106,69,48,38,18,7,,23
2021-12,휴일,27,8,26,32,48,72,53,60,65,78,79,91,79,61,50,34,23,14,4,,8
2022-01,평일,40,10,48,47,69,73,97,93,107,117,158,150,144,107,70,51,41,17,5,0,21
2022-01,휴일,28,9,24,34,52,70,58,67,74,76,83,97,84,66,49,36,30,11,2,0,10
2022-02,평일,39,11,47,48,64,73,84,90,102,105,143,137,131,99,63,48,36,19,4,0,20
2022-02,휴일,28,10,30,34,42,76,57,69,80,82,85,88,90,70,54,34,28,14,2,0,8
2022-03,평일,42,9,45,46,65,78,91,88,107,116,144,136,137,102,65,47,34,21,9,0,23
2022-03,휴일,28,9,26,36,46,64,51,62,77,78,81,86,86,69,52,35,26,13,5,0,8
2022-04,평일,45,11,54,58,70,84,98,99,121,126,162,156,158,120,77,56,43,29,9,0,21
2022-04,휴일,36,10,30,42,56,80,71,70,83,93,97,109,104,90,65,51,35,21,9,0,9
2022-05,평일,47,13,55,59,71,87,99,105,128,133,167,162,165,126,83,64,51,33,10,0,22
2022-05,휴일,37,11,30,48,60,85,70,77,93,87,109,115,106,87,64,59,42,20,7,0,9
2022-06,평일,46,12,50,59,70,89,96,102,123,131,161,153,162,120,77,65,51,35,11,0,22
2022-06,휴일,37,11,34,51,62,93,66,78,94,92,95,110,108,94,69,58,45,26,10,0,8
2022-07,평일,46,12,53,62,73,91,96,100,118,119,157,150,159,113,81,60,49,35,11,0,21
2022-07,휴일,33,11,36,50,63,90,73,70,77,82,87,94,101,86,61,54,39,28,7,0,10
2022-08,평일,41,11,52,62,67,83,92,99,112,115,150,149,149,113,75,56,43,29,10,1,23
2022-08,휴일,34,11,36,50,64,84,66,70,86,76,84,99,95,86,63,50,38,24,8,0,8
2022-09,평일,41,12,51,60,70,91,99,107,118,130,157,162,153,118,80,63,48,35,10,2,22
2022-09,휴일,34,12,29,46,58,82,59,68,79,81,94,107,113,86,69,47,35,23,5,0,8
2022-10,평일,43,12,55,58,70,84,104,109,122,134,169,180,170,124,78,67,48,33,9,1,21
2022-10,휴일,38,13,35,47,61,85,76,74,97,97,115,118,117,97,72,57,37,29,7,0,10
2022-11,평일,43,10,53,58,68,90,95,111,122,133,170,177,171,114,80,63,46,30,9,3,22
2022-11,휴일,36,9,33,44,58,97,70,76,92,87,104,111,118,87,71,51,36,24,5,0,8
2022-12,평일,41,8,54,57,65,83,94,103,122,136,170,173,152,107,81,65,50,36,12,2,22
2022-12,휴일,31,9,31,40,51,80,70,77,81,93,104,114,114,79,66,54,39,27,9,1,9
2023-01,평일,41,8,49,51,60,77,93,98,115,123,155,160,146,105,72,56,40,32,9,2,22
2023-01,휴일,30,8,30,40,50,74,64,65,78,77,86,88,88,65,54,40,27,21,6,0,9
2023-02,평일,41,13,50,63,78,80,102,102,127,140,180,184,175,120,84,68,50,36,10,2,20
2023-02,휴일,33,13,37,47,58,89,76,78,101,98,112,120,116,95,75,49,40,25,6,0,8
2023-03,평일,43,28,52,62,81,86,100,111,137,147,179,192,171,125,88,70,49,34,9,3,23
2023-03,휴일,34,22,36,43,58,94,74,78,97,104,113,131,125,100,77,62,42,22,8,0,8
2023-04,평일,43,26,56,65,77,93,106,110,139,145,172,188,173,124,93,68,54,35,10,2,20
2023-04,휴일,33,22,36,50,66,89,76,78,99,101,118,124,127,90,88,61,48,24,8,0,10
2023-05,평일,46,11,60,62,77,83,100,110,131,141,168,178,167,119,92,68,57,35,10,2,23
2023-05,휴일,33,12,38,47,60,84,71,70,94,96,103,113,110,89,72,60,47,29,8,0,8
2023-06,평일,46,13,60,77,88,88,100,126,154,134,167,174,161,119,89,72,57,37,9,2,22
2023-06,휴일,36,14,42,58,79,93,76,81,101,96,111,110,121,94,84,66,52,29,9,0,8
2023-07,평일,46,11,66,71,78,88,98,114,127,122,152,167,160,110,86,68,54,36,11,2,21
2023-07,휴일,34,12,40,54,70,85,69,71,84,77,91,102,104,74,71,62,38,28,7,0,10
2023-08,평일,43,11,61,72,78,81,88,101,109,118,139,149,155,110,88,67,49,30,10,2,23
2023-08,휴일,34,12,37,52,68,84,70,74,82,86,89,104,104,88,78,61,45,26,8,0,8
2023-09,평일,46,12,57,72,76,84,97,107,119,127,154,165,158,112,86,68,51,32,10,3,21
2023-09,휴일,33,12,37,49,61,89,82,74,92,89,101,114,113,95,78,62,46,25,9,0,9
2023-10,평일,44,10,62,69,76,83,99,104,129,136,178,184,174,128,93,64,51,35,11,2,22
2023-10,휴일,33,9,37,53,67,97,76,78,97,100,117,118,126,103,83,65,44,25,8,0,9
2023-11,평일,46,7,63,68,73,80,95,114,131,142,172,182,171,122,89,65,52,33,11,2,22
2023-11,휴일,33,8,36,43,57,90,65,81,97,97,106,117,128,96,82,53,41,23,9,0,8
2023-12,평일,44,6,55,76,77,76,90,112,155,141,171,173,158,114,86,70,60,38,13,2,21
2023-12,휴일,26,10,35,50,59,78,72,79,101,102,107,115,120,89,78,55,44,29,9,1,10
