월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,54,18,57,101,137,153,149,129,142,133,161,172,139,114,75,46,22,19,8,,22
2021-07,휴일,33,11,37,48,59,83,93,96,79,79,74,84,83,66,54,32,21,14,8,,9
2021-08,평일,54,16,54,95,139,147,154,133,141,156,150,173,149,110,68,36,25,12,8,,22
2021-08,휴일,31,11,33,45,54,77,94,98,85,81,79,89,86,70,51,31,21,14,6,,9
2021-09,평일,51,16,51,90,132,144,147,139,152,170,163,183,151,112,68,40,27,16,9,,22
2021-09,휴일,31,14,35,48,63,92,107,111,110,110,108,112,110,80,54,34,26,17,6,,8
2021-10,평일,54,17,64,95,144,157,162,150,167,184,187,201,170,128,70,45,29,18,7,,21
2021-10,휴일,31,13,38,45,53,86,101,114,100,108,113,127,108,88,58,33,30,19,5,,10
2021-11,평일,61,15,63,99,138,160,167,150,177,204,190,214,175,123,65,43,31,18,9,,22
2021-11,휴일,35,12,41,40,52,94,94,117,102,116,116,129,120,88,55,41,27,19,8,,8
2021-12,평일,59,13,65,101,136,145,163,151,180,200,187,216,157,109,59,38,30,15,7,,23
2021-12,휴일,33,9,32,40,47,74,78,96,95,103,98,102,87,66,43,32,22,15,6,,8
2022-01,평일,62,11,57,94,121,135,156,145,183,198,194,211,156,107,66,39,34,18,6,0,21
2022-01,휴일,35,7,30,41,49,73,93,115,105,113,111,111,98,70,45,30,27,15,5,0,10
2022-02,평일,53,12,55,94,117,129,144,134,156,176,163,194,147,106,63,37,29,18,5,0,20
2022-02,휴일,33,8,35,41,50,79,88,113,98,97,109,102,97,72,53,32,27,17,6,0,8
2022-03,평일,51,15,59,109,142,133,158,154,165,177,171,216,145,116,71,39,27,19,8,0,23
2022-03,휴일,32,9,37,35,70,81,85,112,88,100,99,106,104,71,54,26,25,18,8,0,8
2022-04,평일,53,17,65,118,159,155,161,169,166,182,191,236,179,133,83,52,32,22,12,0,21
2022-04,휴일,36,10,40,40,90,83,101,120,93,118,115,135,127,96,69,38,36,22,11,0,9
2022-05,평일,56,16,66,124,172,167,176,174,183,204,204,246,187,148,97,55,40,26,13,0,22
2022-05,휴일,36,10,40,42,82,101,106,114,97,118,112,140,140,91,70,49,40,25,11,0,9
2022-06,평일,48,15,62,127,170,161,170,183,166,190,209,222,183,143,90,56,41,29,12,3,22
2022-06,휴일,32,10,44,48,96,98,117,126,96,117,119,150,140,96,75,50,43,29,12,2,8
2022-07,평일,48,15,70,142,196,166,170,183,166,190,208,228,191,149,87,56,40,26,12,2,21
2022-07,휴일,34,9,46,48,104,104,106,110,88,105,102,127,119,98,72,46,39,28,10,2,10
2022-08,평일,52,13,59,122,172,155,160,170,165,175,201,206,182,137,84,51,37,24,10,2,23
2022-08,휴일,36,9,43,46,91,100,114,118,85,101,103,126,119,96,72,47,40,26,9,2,8
2022-09,평일,57,15,58,114,163,161,174,173,172,196,215,234,187,167,84,51,38,26,11,2,22
2022-09,휴일,34,8,38,39,78,94,100,114,90,108,105,121,120,92,73,44,31,23,8,2,8
2022-10,평일,55,14,64,116,159,154,175,171,173,210,222,245,198,160,90,52,39,29,10,2,21
2022-10,휴일,40,9,44,46,85,102,122,121,105,122,127,148,134,117,78,45,37,27,11,2,10
2022-11,평일,56,14,67,122,157,159,182,180,178,208,234,256,190,151,81,47,39,24,13,2,22
2022-11,휴일,39,8,41,42,72,96,116,128,103,135,127,141,127,105,70,37,38,26,10,2,8
2022-12,평일,51,13,67,112,144,149,177,178,178,215,239,249,189,137,78,51,42,31,13,3,22
2022-12,휴일,35,7,40,39,68,102,119,134,107,127,125,150,139,97,66,42,38,29,11,2,9
2023-01,평일,51,11,60,109,128,141,158,164,176,203,213,234,174,124,73,48,34,23,11,2,22
2023-01,휴일,32,8,36,35,60,95,87,117,92,109,107,121,105,75,55,37,28,21,8,2,9
2023-02,평일,56,14,69,135,151,159,182,182,186,228,242,272,205,150,87,54,42,28,12,3,20
2023-02,휴일,38,10,45,43,73,114,115,141,110,137,130,159,144,96,81,43,38,28,11,2,8
2023-03,평일,58,18,70,139,166,161,181,189,193,224,243,269,206,160,93,58,43,28,13,3,23
2023-03,휴일,39,14,44,47,80,120,119,130,111,132,140,169,146,109,92,52,41,28,12,3,8
2023-04,평일,61,20,92,145,172,164,182,186,184,217,247,254,203,159,101,62,38,29,15,3,20
