월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,77,28,104,124,117,161,175,173,169,184,251,263,256,230,147,92,59,41,13,,22
2021-07,휴일,61,21,50,69,93,111,114,131,105,116,134,142,136,121,100,61,43,32,10,,9
2021-08,평일,81,27,103,114,120,150,183,184,169,193,254,270,243,226,143,92,53,34,10,,22
2021-08,휴일,57,20,48,68,96,107,110,125,116,132,137,150,167,128,102,63,44,25,9,,9
2021-09,평일,76,25,100,112,124,152,182,176,185,205,273,280,263,227,155,94,62,42,13,,22
2021-09,휴일,60,19,51,70,105,122,134,144,145,150,165,179,186,158,121,73,52,36,7,,8
2021-10,평일,78,25,109,120,138,157,194,191,200,234,306,331,292,252,159,101,69,46,17,,21
2021-10,휴일,57,20,54,69,104,137,137,149,158,160,192,204,212,169,113,77,52,39,12,,10
2021-11,평일,83,24,105,126,140,162,206,215,227,261,335,331,300,245,155,96,64,47,20,,22
2021-11,휴일,61,19,55,66,111,160,156,178,200,196,219,215,222,165,118,76,52,35,16,,8
2021-12,평일,77,22,95,120,123,159,186,201,218,242,309,317,279,223,143,84,66,39,16,,23
2021-12,휴일,54,15,42,53,92,130,127,142,168,166,159,174,165,122,89,53,44,27,9,,8
2022-01,평일,69,19,86,116,120,151,180,203,216,236,295,299,280,211,145,85,69,32,13,0,21
2022-01,휴일,52,13,39,54,97,134,128,163,176,182,190,174,172,128,93,56,51,23,9,0,10
2022-02,평일,69,20,85,115,115,148,180,189,190,213,271,274,254,203,148,82,63,37,13,0,20
2022-02,휴일,50,17,45,69,95,139,141,155,170,168,173,186,170,134,96,60,47,29,8,0,8
2022-03,평일,75,25,89,117,115,154,182,193,212,216,274,292,266,218,161,85,58,43,21,0,23
2022-03,휴일,48,19,46,66,97,133,137,149,168,166,173,180,171,136,109,63,40,37,14,0,8
2022-04,평일,76,33,102,128,127,172,210,221,238,252,322,339,312,268,180,111,77,54,26,0,21
2022-04,휴일,57,22,57,83,112,157,163,183,212,215,211,231,230,191,140,94,67,45,21,0,9
2022-05,평일,84,38,103,136,135,190,225,240,269,279,335,353,328,285,200,129,91,67,28,0,22
2022-05,휴일,61,24,58,91,128,190,182,201,246,241,240,239,227,184,150,115,78,51,22,0,9
2022-06,평일,83,34,102,132,131,183,225,240,268,274,317,332,303,261,190,130,96,64,25,0,22
2022-06,휴일,61,23,66,88,130,187,180,212,254,247,232,240,230,193,160,120,83,56,22,0,8
2022-07,평일,84,37,108,135,145,193,224,246,275,260,316,330,309,261,192,131,98,64,22,0,21
2022-07,휴일,69,24,61,82,121,164,170,198,255,217,200,212,213,170,141,106,77,48,20,0,10
2022-08,평일,76,29,99,131,140,179,211,233,258,251,301,310,287,250,174,117,90,58,19,3,23
2022-08,휴일,58,22,62,87,117,160,169,205,254,224,190,211,208,176,139,101,69,54,19,0,8
2022-09,평일,76,30,104,131,139,192,234,248,277,279,328,345,312,279,190,124,103,61,21,4,22
2022-09,휴일,54,22,57,86,107,172,168,198,236,221,211,219,225,173,145,111,72,49,19,1,8
2022-10,평일,83,30,109,131,144,196,239,264,293,298,357,382,351,282,195,130,101,68,22,4,21
2022-10,휴일,63,26,64,94,128,177,180,210,279,248,245,259,274,217,163,122,96,58,20,0,10
2022-11,평일,82,29,110,135,144,194,234,263,302,295,374,384,346,278,184,120,101,60,20,4,22
2022-11,휴일,59,21,54,90,125,183,177,231,273,252,253,258,255,187,144,111,82,48,20,0,8
2022-12,평일,74,27,98,129,124,177,230,259,290,287,350,368,328,254,170,126,98,66,22,4,22
2022-12,휴일,55,20,47,70,103,161,185,223,271,247,243,259,238,173,133,103,78,53,24,2,9
2023-01,평일,68,25,94,130,109,162,211,240,271,276,325,336,302,238,163,115,77,51,19,4,22
2023-01,휴일,49,17,50,68,99,148,154,194,251,222,204,197,188,140,101,81,53,37,15,0,9
2023-02,평일,83,28,102,148,140,185,236,287,308,306,373,396,349,280,199,137,97,61,24,4,20
2023-02,휴일,54,19,58,75,122,186,194,239,321,286,253,269,264,201,147,111,77,46,15,0,8
2023-03,평일,82,33,104,150,149,199,249,275,317,315,394,418,352,299,213,143,108,65,26,6,23
2023-03,휴일,56,24,57,82,124,193,190,242,318,283,279,288,277,210,164,129,80,49,18,0,8
2023-04,평일,85,35,111,148,156,200,248,272,291,299,396,402,352,313,211,150,116,75,26,6,20
2023-04,휴일,59,26,64,86,128,189,186,221,291,272,268,257,270,226,180,132,93,56,20,0,10
2023-05,평일,82,33,102,142,159,205,250,272,296,307,382,402,351,304,210,156,109,68,26,7,23
2023-05,휴일,67,24,61,87,136,195,188,224,266,254,258,254,244,197,162,136,95,54,22,0,8
2023-06,평일,81,34,108,146,158,204,234,277,284,291,376,386,340,309,208,157,117,68,29,6,22
2023-06,휴일,66,25,62,99,128,199,202,232,271,264,270,258,248,209,172,142,101,62,24,0,8
2023-07,평일,79,32,116,151,160,202,232,264,256,285,349,362,329,291,209,145,107,63,23,5,21
2023-07,휴일,61,23,56,79,130,187,178,222,242,225,214,227,230,179,147,113,85,51,22,0,10
2023-08,평일,78,31,113,151,149,200,234,249,245,245,318,340,311,266,192,142,92,56,23,5,23
2023-08,휴일,61,25,63,88,129,182,191,218,276,227,223,233,222,181,154,121,82,52,18,0,8
2023-09,평일,81,34,110,148,164,202,235,262,269,279,352,360,330,278,202,144,101,64,21,5,21
2023-09,휴일,61,24,60,83,126,186,187,239,275,252,250,254,254,195,166,127,88,48,19,0,9
2023-10,평일,85,32,111,142,157,202,248,279,312,302,394,408,364,296,209,146,106,65,23,4,22
2023-10,휴일,70,24,66,90,133,193,191,224,288,278,279,277,284,217,185,134,100,52,20,0,9
2023-11,평일,82,32,118,156,161,200,230,283,292,311,390,409,356,288,200,138,106,60,23,5,22
2023-11,휴일,65,23,59,90,121,194,190,221,283,269,264,283,265,200,160,120,82,56,16,0,8
2023-12,평일,81,27,108,137,148,200,249,275,285,308,388,408,352,275,183,141,116,68,27,6,21
2023-12,휴일,58,20,51,82,109,181,192,246,274,262,268,285,262,185,155,116,96,58,22,2,10
