월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-12,평일,13,7,25,17,18,27,27,29,32,36,46,55,41,33,20,14,15,7,3,,11
2021-12,휴일,5,5,6,8,10,18,20,30,26,33,42,33,26,16,12,7,9,3,1,,4
2022-01,평일,18,8,28,19,23,25,30,29,32,36,50,58,52,39,26,16,16,6,2,0,21
2022-01,휴일,9,4,12,11,10,18,19,26,29,30,35,34,30,24,14,12,9,3,2,0,10
2022-02,평일,21,7,30,21,24,26,30,29,32,36,48,58,50,41,27,16,13,7,2,0,20
2022-02,휴일,10,3,16,13,16,16,17,24,25,28,34,32,31,24,16,12,10,4,2,0,8
2022-03,평일,26,6,38,29,27,33,30,33,34,38,49,58,55,45,28,18,15,7,4,0,23
2022-03,휴일,10,3,21,12,14,20,21,22,28,32,38,40,32,27,16,10,12,4,2,0,8
2022-04,평일,34,8,45,35,30,39,38,38,40,47,63,77,73,51,33,23,19,12,5,0,21
2022-04,휴일,17,5,25,18,19,23,26,31,33,38,44,50,43,40,27,21,15,7,5,0,9
2022-05,평일,36,9,50,37,38,42,42,43,47,52,70,86,75,63,42,28,27,15,6,0,22
2022-05,휴일,15,7,24,22,23,28,30,32,35,40,46,51,50,44,32,23,16,10,5,0,9
2022-06,평일,34,10,48,36,33,39,41,43,50,54,67,79,76,63,42,26,25,14,6,1,22
2022-06,휴일,19,7,22,21,22,28,34,36,39,43,46,51,48,49,34,27,20,12,4,0,8
2022-07,평일,37,10,46,38,35,41,41,39,47,46,58,74,67,60,39,25,26,12,5,1,21
2022-07,휴일,20,8,22,19,20,28,25,27,34,31,38,45,39,39,31,19,14,10,4,0,10
2022-08,평일,39,9,46,36,35,35,38,37,44,44,58,71,69,58,35,23,21,11,4,1,23
2022-08,휴일,20,6,25,20,18,26,25,31,32,30,40,41,43,38,28,21,17,10,5,0,8
2022-09,평일,40,12,49,34,37,41,41,49,54,50,67,78,80,65,42,30,26,13,6,1,22
2022-09,휴일,17,8,23,18,18,27,28,28,39,34,44,49,52,45,34,24,18,8,4,0,8
2022-10,평일,42,12,52,39,40,44,45,57,63,58,78,98,96,71,43,33,27,15,5,1,21
2022-10,휴일,21,7,23,21,24,36,37,45,48,48,52,66,62,52,34,32,20,12,6,0,10
2022-11,평일,42,11,58,44,40,46,51,56,61,62,85,103,96,72,41,35,30,17,5,2,22
2022-11,휴일,22,6,26,19,22,34,31,41,49,48,56,60,56,50,30,26,22,11,6,0,8
2022-12,평일,40,11,49,41,37,41,45,48,55,57,78,91,84,59,40,33,34,19,6,2,22
2022-12,휴일,22,7,23,19,19,24,28,33,42,49,55,56,56,45,29,29,19,11,5,0,9
2023-01,평일,36,9,48,39,34,37,44,43,52,58,71,88,77,62,37,29,25,15,6,2,22
2023-01,휴일,18,6,20,15,18,27,23,29,39,39,47,42,45,35,21,20,16,8,2,0,9
2023-02,평일,39,20,59,50,43,48,50,52,64,68,96,108,94,77,46,32,31,17,7,1,20
2023-02,휴일,20,17,24,21,24,35,39,42,54,53,60,64,62,52,33,28,20,14,4,0,8
2023-03,평일,42,32,64,50,43,50,55,61,68,75,99,113,102,81,53,39,34,19,7,1,23
2023-03,휴일,19,31,23,22,26,41,33,40,50,61,76,74,64,55,40,34,20,10,5,0,8
2023-04,평일,46,36,71,50,45,54,55,62,61,69,99,112,96,81,52,39,34,18,6,1,20
2023-04,휴일,18,32,27,27,27,40,41,45,56,57,64,74,65,60,37,32,23,11,5,0,9
2023-05,평일,45,15,62,49,44,50,58,53,66,65,89,103,102,80,54,39,33,18,8,2,23
2023-05,휴일,20,9,22,24,28,37,43,38,50,50,60,58,53,44,36,31,23,15,7,0,8
2023-06,평일,48,17,64,51,44,53,51,52,61,66,85,100,93,78,54,41,34,19,9,1,22
2023-06,휴일,23,9,27,25,32,44,33,37,48,56,61,57,65,55,43,36,23,16,6,0,8
2023-07,평일,45,16,61,52,42,47,44,44,52,58,73,84,80,71,48,34,32,19,8,2,21
2023-07,휴일,20,8,24,22,26,30,28,34,37,40,44,48,48,42,34,27,21,12,5,0,10
2023-08,평일,44,16,58,49,40,42,41,38,50,53,64,79,72,63,44,33,28,17,6,2,23
2023-08,휴일,23,8,27,26,27,33,29,34,37,38,42,48,49,46,35,28,20,12,5,0,8
2023-09,평일,47,17,59,50,44,47,44,48,53,60,81,93,88,71,52,37,32,19,8,2,21
2023-09,휴일,23,9,27,26,25,38,40,41,46,56,59,56,56,50,38,35,26,12,5,0,9
2023-10,평일,44,15,63,52,45,52,53,56,61,73,94,106,102,80,57,41,33,18,9,2,22
2023-10,휴일,19,8,25,25,28,47,41,46,56,61,70,77,68,61,45,39,28,13,6,0,9
2023-11,평일,44,16,68,61,45,51,49,54,66,70,90,101,96,80,51,37,33,16,9,2,22
2023-11,휴일,18,8,23,26,26,39,42,40,52,59,64,71,60,50,37,33,21,12,5,0,8
2023-12,평일,40,18,61,58,43,52,49,53,63,70,99,100,97,74,51,43,43,23,9,2,21
2023-12,휴일,19,10,22,26,22,35,38,45,47,56,62,68,61,44,38,38,23,12,4,1,10
