월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,53,19,60,70,90,113,125,115,100,125,187,201,159,136,105,59,40,35,11,,22
2021-07,휴일,43,14,46,50,69,85,94,98,75,82,89,76,82,76,65,38,30,28,9,,9
2021-08,평일,53,18,55,71,87,110,124,117,104,130,190,198,152,129,100,54,40,29,8,,22
2021-08,휴일,46,14,41,51,63,87,82,94,72,86,84,97,84,81,56,43,30,25,6,,9
2021-09,평일,51,16,51,67,86,116,129,126,120,144,206,204,165,130,100,52,44,28,10,,22
2021-09,휴일,47,15,37,53,76,110,115,116,96,105,112,102,96,93,62,43,34,24,8,,8
2021-10,평일,53,16,56,72,95,129,138,139,128,160,227,239,184,150,104,54,47,34,12,,21
2021-10,휴일,45,13,38,50,74,117,119,121,98,112,122,132,104,102,68,45,34,28,8,,10
2021-11,평일,51,16,55,73,97,126,132,140,132,158,235,249,188,143,106,57,43,35,14,,22
2021-11,휴일,38,11,38,52,78,114,116,118,102,114,121,135,118,114,66,46,33,26,10,,8
2021-12,평일,51,15,58,65,80,116,125,132,123,168,218,235,176,141,99,52,45,29,8,,23
2021-12,휴일,37,10,40,34,52,72,86,96,87,102,108,113,101,83,53,34,33,20,5,,8
2022-01,평일,48,18,52,62,79,111,126,119,122,166,216,225,179,148,101,56,46,25,8,0,21
2022-01,휴일,37,14,33,36,55,84,95,110,90,102,115,116,103,88,62,39,36,20,5,0,10
2022-02,평일,46,18,53,64,77,103,118,116,115,148,201,214,167,137,99,52,39,24,9,0,20
2022-02,휴일,37,15,35,43,68,89,105,109,90,106,120,114,100,89,67,33,30,18,6,0,8
2022-03,평일,49,20,52,76,99,118,129,124,123,158,200,221,179,144,101,53,39,29,13,0,23
2022-03,휴일,36,13,35,46,66,79,89,94,94,94,109,112,95,80,72,40,34,18,8,0,8
2022-04,평일,52,18,60,76,111,128,140,135,133,169,229,247,200,158,127,67,49,37,13,0,21
2022-04,휴일,40,15,40,63,92,112,120,126,115,114,136,139,124,109,88,53,44,24,10,0,9
2022-05,평일,55,21,63,80,110,138,147,143,146,183,231,258,211,171,131,76,54,42,16,0,22
2022-05,휴일,46,16,41,66,102,122,123,127,118,127,143,140,137,111,91,69,51,32,13,0,9
2022-06,평일,54,21,60,77,104,128,135,150,144,158,216,250,204,168,125,76,59,39,14,3,22
2022-06,휴일,43,17,39,63,96,121,123,130,112,122,143,144,140,113,99,69,58,33,15,0,8
2022-07,평일,54,25,66,82,101,127,135,139,128,142,211,244,204,170,123,78,55,42,14,4,21
2022-07,휴일,40,18,48,60,87,105,110,113,100,103,115,112,124,109,92,61,54,34,10,1,10
2022-08,평일,51,21,57,73,94,118,122,131,120,141,210,228,190,151,118,67,54,35,14,4,23
2022-08,휴일,39,14,45,58,86,99,109,114,98,98,101,118,112,102,82,63,50,32,11,1,8
2022-09,평일,52,19,60,84,103,127,134,142,134,146,221,243,201,164,116,69,55,37,14,4,22
2022-09,휴일,41,12,43,62,78,94,107,104,98,105,112,121,124,109,86,55,44,27,10,2,8
2022-10,평일,50,20,61,90,109,127,142,155,145,156,234,263,215,161,121,66,55,38,14,4,21
2022-10,휴일,44,12,45,61,100,118,121,122,114,116,132,145,136,125,91,66,56,32,14,1,10
2022-11,평일,51,19,61,90,105,127,140,152,150,169,237,276,205,161,116,68,52,38,14,5,22
2022-11,휴일,41,12,42,54,84,111,117,126,102,115,132,140,128,112,84,54,51,27,14,1,8
2022-12,평일,48,17,55,75,93,103,129,140,137,158,238,258,202,152,112,72,59,38,19,4,22
2022-12,휴일,36,11,37,48,68,86,99,112,103,110,131,140,124,104,85,61,50,35,16,1,9
2023-01,평일,47,13,54,76,97,113,128,139,134,158,219,245,190,148,110,63,51,37,16,4,22
2023-01,휴일,39,11,32,35,62,76,85,99,96,102,117,112,104,85,66,45,40,25,11,1,9
2023-02,평일,49,28,62,91,106,126,142,160,156,173,258,287,216,179,128,73,62,42,17,6,20
2023-02,휴일,39,28,39,51,82,115,113,127,126,133,143,167,145,122,96,63,60,34,12,1,8
2023-03,평일,56,51,66,95,112,134,151,160,163,174,254,292,219,184,132,83,65,44,15,7,23
2023-03,휴일,43,48,44,64,93,120,117,137,139,133,158,177,153,138,105,71,58,36,16,1,8
2023-04,평일,58,50,70,102,108,140,153,163,164,168,257,288,226,183,135,81,66,46,17,6,20
2023-04,휴일,48,45,42,60,96,116,114,127,119,127,151,158,145,140,108,82,63,40,17,1,10
2023-05,평일,62,22,66,93,107,134,149,153,164,164,240,275,220,177,129,85,63,48,17,6,23
2023-05,휴일,49,13,43,60,90,115,109,110,113,120,128,145,128,126,102,73,63,34,14,1,8
2023-06,평일,60,23,72,109,108,128,134,151,154,154,229,261,210,186,136,85,60,46,18,6,22
2023-06,휴일,52,16,47,70,104,125,135,128,107,107,138,152,137,133,115,73,66,40,16,1,8
2023-07,평일,60,23,66,96,106,124,126,143,136,146,227,248,200,167,128,85,60,46,15,5,21
2023-07,휴일,48,15,43,57,77,97,102,94,86,98,121,122,123,114,104,68,60,34,15,1,10
2023-08,평일,58,25,69,91,97,119,129,128,124,137,214,230,192,165,123,76,56,41,16,5,23
2023-08,휴일,50,17,44,64,85,111,107,102,94,98,112,127,127,122,102,71,57,34,12,2,8
2023-09,평일,58,24,68,90,92,119,137,150,136,151,221,239,198,172,122,72,59,40,13,6,21
2023-09,휴일,45,19,47,62,79,119,109,115,103,116,142,147,128,132,96,64,58,32,16,1,9
