월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,137,32,115,134,142,142,109,95,110,105,112,109,113,85,57,33,21,14,5,,22
2021-07,휴일,72,17,46,48,49,62,55,51,56,49,55,56,58,54,41,27,18,15,4,,9
2021-08,평일,132,30,117,126,133,135,108,98,113,103,108,103,104,91,54,33,18,12,4,,22
2021-08,휴일,67,16,38,41,46,59,52,50,50,48,57,58,67,50,37,28,16,13,5,,9
2021-09,평일,130,30,111,122,139,136,118,105,124,122,126,110,112,88,58,35,22,15,6,,22
2021-09,휴일,72,18,49,47,58,69,66,64,63,69,70,80,75,60,48,28,23,14,5,,8
2021-10,평일,139,30,115,129,155,145,124,117,125,136,138,136,129,90,58,39,25,15,7,,21
2021-10,휴일,73,16,45,47,55,73,63,67,64,72,83,86,86,66,53,37,21,13,5,,10
2021-11,평일,149,33,112,144,165,156,136,130,143,140,149,139,133,94,58,40,28,15,8,,22
2021-11,휴일,73,16,43,46,61,88,64,62,67,69,87,96,89,64,51,37,23,12,8,,8
2021-12,평일,145,34,112,137,163,152,135,123,141,137,143,132,119,87,58,37,26,14,5,,23
2021-12,휴일,67,15,39,42,48,69,52,56,61,63,74,79,69,53,37,27,20,11,4,,8
2022-01,평일,134,32,110,136,152,151,135,120,138,145,143,133,116,93,56,37,26,12,4,0,21
2022-01,휴일,65,14,38,40,46,78,55,62,67,68,76,76,70,54,43,25,22,10,3,0,10
2022-02,평일,128,29,100,125,142,133,121,116,130,128,129,121,109,84,54,32,24,10,6,0,20
2022-02,휴일,66,15,43,44,46,70,56,64,64,63,68,77,72,55,42,27,18,10,4,0,8
2022-03,평일,132,30,105,130,134,136,124,119,123,130,122,121,111,89,55,34,21,12,6,0,23
