월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,66,19,60,71,83,107,107,109,99,113,179,168,138,117,75,41,34,21,9,,22
2021-07,휴일,45,14,41,39,49,70,75,79,63,72,77,77,71,68,53,34,28,19,6,,9
2021-08,평일,60,19,61,64,81,108,111,114,100,120,177,160,136,106,65,41,32,17,8,,22
2021-08,휴일,46,13,40,39,56,65,71,73,65,75,78,90,80,66,52,28,26,16,4,,9
2021-09,평일,60,19,60,61,82,113,119,119,111,132,189,173,135,110,70,38,29,21,7,,22
2021-09,휴일,46,14,40,38,59,74,86,89,90,90,89,100,91,80,54,32,27,19,6,,8
2021-10,평일,63,21,61,65,84,112,117,130,121,150,212,193,154,117,76,45,30,26,9,,21
2021-10,휴일,45,14,40,35,50,73,80,87,86,100,102,116,103,90,56,36,28,22,7,,10
2021-11,평일,62,20,60,69,88,106,121,129,119,154,220,200,153,117,77,45,33,23,12,,22
2021-11,휴일,50,12,36,36,52,71,90,90,87,99,107,114,109,90,61,42,28,18,11,,8
2021-12,평일,62,19,59,66,70,96,118,126,126,167,216,200,152,113,72,45,34,23,11,,23
2021-12,휴일,46,11,35,32,40,68,66,85,80,90,99,93,89,70,52,32,30,15,8,,8
2022-01,평일,59,17,60,65,72,98,127,121,117,167,220,198,150,117,76,45,35,21,10,0,21
2022-01,휴일,46,12,38,33,40,68,85,88,83,97,106,101,83,71,57,30,31,16,7,0,10
2022-02,평일,62,17,60,62,68,92,110,112,104,152,192,191,140,117,75,42,33,21,10,0,20
2022-02,휴일,53,11,36,35,46,69,82,96,77,96,104,94,88,76,64,33,32,19,6,0,8
2022-03,평일,61,19,63,71,72,95,120,118,114,156,202,193,147,120,74,41,31,25,12,0,23
2022-03,휴일,51,10,37,39,48,68,78,80,82,88,96,88,82,74,63,33,31,19,10,0,8
2022-04,평일,71,21,66,70,90,102,129,127,119,171,221,217,171,147,87,48,39,33,15,0,21
2022-04,휴일,59,12,38,43,57,80,89,102,98,108,113,128,119,107,81,49,43,23,13,0,9
2022-05,평일,76,22,62,78,97,117,140,138,132,182,237,228,175,152,95,55,46,34,16,0,22
2022-05,휴일,60,12,33,42,58,83,92,95,108,118,127,130,121,107,81,56,44,31,14,0,9
2022-06,평일,75,20,64,78,86,120,133,134,126,155,216,223,167,141,92,52,44,35,16,3,22
2022-06,휴일,62,12,37,46,56,92,106,111,103,108,122,122,130,108,81,60,50,30,16,1,8
2022-07,평일,72,19,65,79,98,125,133,140,132,147,212,228,169,142,91,52,45,35,15,4,21
2022-07,휴일,54,11,37,48,59,84,98,98,96,99,102,113,110,97,81,56,47,26,14,1,10
2022-08,평일,66,17,63,73,86,119,128,121,128,141,199,224,155,130,92,47,43,29,13,4,23
2022-08,휴일,56,10,39,47,57,82,94,96,92,100,98,112,107,93,78,59,43,25,14,0,8
2022-09,평일,62,14,70,81,90,122,132,140,139,150,202,236,164,137,92,50,43,33,12,3,22
2022-09,휴일,49,9,40,45,52,76,93,100,93,99,111,114,107,92,76,52,36,27,11,1,8
2022-10,평일,68,16,69,84,92,119,135,141,154,162,224,247,180,143,89,51,46,35,14,4,21
2022-10,휴일,58,11,39,51,56,89,101,106,103,115,125,139,128,114,82,53,51,32,12,1,10
2022-11,평일,65,17,68,84,90,123,134,143,147,165,232,253,169,138,84,51,41,36,13,4,22
2022-11,휴일,53,10,43,47,51,78,94,101,100,110,121,124,121,101,75,49,48,29,14,1,8
