월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,90,36,83,101,119,108,101,92,93,99,109,111,105,80,58,37,29,16,7,,22
2021-07,휴일,50,17,35,38,53,62,63,61,59,69,72,61,60,51,38,21,17,13,4,,9
2021-08,평일,82,37,73,100,120,107,103,92,84,104,115,113,107,81,53,29,26,13,5,,22
2021-08,휴일,46,21,31,35,49,58,62,68,60,69,74,63,65,58,37,21,19,10,2,,9
2021-09,평일,83,33,79,102,127,111,113,103,104,120,132,126,117,85,59,39,29,18,7,,22
2021-09,휴일,53,23,37,39,64,75,75,82,76,85,84,81,81,63,46,28,23,13,7,,8
2021-10,평일,86,33,83,118,124,127,124,123,115,128,146,153,137,96,63,43,32,22,8,,21
2021-10,휴일,52,21,39,40,62,83,96,104,87,96,99,103,90,69,50,34,27,17,7,,10
2021-11,평일,89,38,92,117,118,116,121,115,112,125,152,161,141,100,62,44,34,20,12,,22
2021-11,휴일,56,21,43,41,61,84,98,105,102,106,115,118,102,69,50,35,28,18,9,,8
2021-12,평일,85,36,81,107,116,113,108,104,110,127,146,137,119,88,57,38,34,15,10,,23
2021-12,휴일,45,17,31,25,38,71,66,76,76,80,88,92,68,46,38,25,19,10,7,,8
2022-01,평일,77,33,66,109,112,105,109,104,111,123,133,132,119,83,52,37,33,10,8,0,21
2022-01,휴일,41,17,32,30,42,67,73,72,82,86,90,80,68,50,38,28,23,10,5,0,10
2022-02,평일,75,30,68,105,107,100,101,92,104,107,125,125,107,76,50,34,29,11,8,0,20
2022-02,휴일,44,16,30,34,49,66,76,81,86,82,86,84,72,51,42,24,23,13,5,0,8
2022-03,평일,79,32,74,109,109,96,110,100,114,118,129,130,116,83,55,34,28,17,11,0,23
2022-03,휴일,42,13,34,37,42,61,74,80,83,79,86,79,73,51,37,23,20,13,8,0,8
2022-04,평일,96,30,84,126,118,118,132,125,131,138,154,154,143,97,70,44,38,24,13,0,21
2022-04,휴일,55,19,39,45,59,104,113,109,111,112,117,113,98,78,61,41,28,20,11,0,9
