월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,62,22,84,103,133,140,135,123,124,135,176,167,142,117,83,47,37,27,9,,44
2021-07,휴일,42,15,46,60,80,95,91,93,82,81,87,84,90,71,54,38,32,22,9,,18
2021-08,평일,65,20,80,105,131,142,138,124,133,147,174,165,134,108,75,46,40,23,8,,44
2021-08,휴일,41,14,43,55,80,94,94,87,82,91,87,89,83,71,50,39,28,19,8,,18
2021-09,평일,59,20,75,105,125,147,148,135,143,158,187,170,137,114,76,48,41,24,10,,44
2021-09,휴일,42,15,47,62,90,119,119,108,106,109,105,116,99,81,62,37,36,23,8,,16
2021-10,평일,61,23,79,110,138,163,165,146,159,173,204,196,161,120,83,51,45,28,11,,42
2021-10,휴일,41,16,42,60,86,118,116,117,115,111,125,126,112,87,65,41,35,26,9,,20
2021-11,평일,62,23,77,112,143,162,164,150,160,179,213,200,163,121,80,51,42,29,15,,44
2021-11,휴일,46,16,44,59,80,122,122,125,116,120,123,130,116,96,60,43,36,24,14,,16
2021-12,평일,61,22,76,103,127,151,155,141,152,177,203,188,153,111,76,47,46,26,10,,46
2021-12,휴일,38,14,34,45,66,104,98,95,100,98,103,96,90,73,45,33,34,21,9,,16
2022-01,평일,60,18,69,102,125,153,150,143,151,175,204,190,147,112,72,46,50,22,9,0,42
2022-01,휴일,38,12,42,47,64,112,110,117,109,109,113,109,94,73,52,34,39,19,6,0,20
2022-02,평일,56,18,68,97,117,137,140,126,146,158,191,179,140,107,72,44,45,24,9,0,40
2022-02,휴일,41,14,46,48,71,108,107,108,110,109,103,110,99,73,54,34,38,22,8,0,16
2022-03,평일,58,18,73,105,123,144,142,134,146,158,189,182,143,112,76,47,40,27,12,0,46
2022-03,휴일,38,13,44,50,72,100,101,101,102,99,98,99,96,74,55,35,28,23,9,0,16
2022-04,평일,62,21,80,120,138,163,164,150,168,173,221,213,172,130,93,58,47,31,15,0,42
2022-04,휴일,45,15,49,56,84,127,122,126,123,123,132,137,127,108,73,52,44,30,13,0,18
2022-05,평일,62,22,87,129,151,173,178,165,175,185,226,224,181,143,101,65,55,37,18,0,44
2022-05,휴일,49,15,52,69,106,154,141,138,135,137,144,144,134,108,83,60,51,36,14,0,18
2022-06,평일,64,22,85,132,149,165,172,173,175,183,219,212,167,137,93,64,58,38,14,4,44
2022-06,휴일,52,18,55,74,104,157,154,138,135,140,138,155,137,112,85,64,57,39,15,1,16
2022-07,평일,68,24,93,131,158,164,168,170,171,172,210,204,175,145,94,64,58,37,13,4,42
2022-07,휴일,51,17,56,71,106,144,138,129,123,115,123,129,131,109,80,56,53,33,13,1,20
2022-08,평일,61,22,89,119,148,160,168,161,161,163,204,197,161,131,87,57,52,33,13,4,46
2022-08,휴일,49,17,56,73,105,138,143,131,126,117,121,135,128,103,78,58,54,30,12,0,16
2022-09,평일,65,22,86,127,155,175,189,177,171,184,218,214,179,143,93,61,52,36,15,4,44
2022-09,휴일,48,14,53,68,91,132,138,136,123,126,123,139,125,105,78,50,44,30,13,1,16
2022-10,평일,64,22,87,128,161,180,190,186,188,197,238,238,189,143,94,66,54,37,15,4,42
2022-10,휴일,54,17,57,72,105,150,157,145,154,142,147,161,157,121,86,62,58,33,15,1,20
2022-11,평일,62,23,90,128,166,177,189,187,197,204,240,236,186,139,89,63,53,37,16,4,44
2022-11,휴일,50,16,54,67,102,152,152,161,148,144,152,157,148,107,77,58,51,32,15,1,16
2022-12,평일,60,22,84,122,154,172,182,182,197,197,233,223,181,130,87,63,56,40,17,4,44
2022-12,휴일,44,16,52,59,90,146,177,152,146,138,145,152,136,101,73,59,49,33,15,2,18
2023-01,평일,58,22,76,116,146,167,180,183,183,194,224,216,168,123,82,55,50,35,15,3,44
2023-01,휴일,41,16,44,48,80,132,148,136,129,120,126,124,110,81,63,42,36,22,11,1,18
2023-02,평일,61,29,89,137,168,187,203,202,206,222,256,253,198,142,96,65,57,38,16,4,40
2023-02,휴일,44,24,56,68,98,160,187,170,154,146,162,166,158,120,82,59,48,28,13,0,16
2023-03,평일,64,36,96,140,178,197,208,209,215,220,260,254,203,151,99,66,61,38,18,4,46
2023-03,휴일,50,28,59,75,113,188,201,178,162,153,175,190,165,126,89,63,50,29,14,0,16
2023-04,평일,67,37,98,149,187,194,199,210,221,221,261,258,209,155,103,72,65,42,18,4,40
2023-04,휴일,60,28,61,78,113,168,177,171,164,148,174,177,161,126,98,71,59,33,16,1,20
2023-05,평일,65,24,95,138,180,182,187,196,195,195,240,231,193,143,98,67,57,36,16,4,46
2023-05,휴일,51,16,54,71,101,148,157,148,142,134,143,152,137,107,83,62,52,32,13,0,16
2023-06,평일,68,24,98,143,184,183,190,192,192,194,237,227,188,143,100,66,62,38,16,4,44
2023-06,휴일,55,17,54,82,118,172,177,156,147,132,148,163,146,117,96,75,54,35,13,1,16
2023-07,평일,67,24,97,143,180,187,178,179,182,186,218,212,180,143,97,64,57,34,15,3,42
2023-07,휴일,53,17,50,78,105,162,155,143,140,123,133,140,130,101,82,54,49,31,12,1,20
2023-08,평일,63,23,89,135,160,165,160,157,159,164,201,196,165,131,91,60,52,32,13,3,46
2023-08,휴일,49,19,53,77,104,165,151,136,127,114,121,136,126,106,86,62,47,30,10,1,16
2023-09,평일,64,25,89,144,171,182,178,171,176,183,223,210,168,132,94,61,51,33,15,4,42
2023-09,휴일,51,19,52,76,113,161,168,148,138,134,135,149,134,119,80,60,46,29,14,0,18
2023-10,평일,62,26,90,131,170,193,196,191,202,199,251,244,199,146,100,66,61,39,17,4,44
2023-10,휴일,52,20,51,78,118,189,185,161,164,156,166,181,154,124,92,68,56,33,16,1,18
2023-11,평일,64,26,94,145,179,193,199,190,207,212,252,240,200,140,100,64,56,39,17,4,44
2023-11,휴일,50,17,54,71,111,179,180,158,164,156,152,172,151,111,82,63,52,34,14,1,16
2023-12,평일,60,22,90,148,171,195,201,193,207,204,245,228,193,132,90,68,65,46,17,4,42
2023-12,휴일,43,16,50,67,103,193,212,177,164,154,159,167,150,111,79,63,54,36,17,3,20
