월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,65,23,71,94,85,96,90,95,79,88,117,105,107,93,68,47,36,21,9,,22
2021-07,휴일,40,10,27,30,40,37,47,46,49,51,57,54,51,51,39,30,27,16,6,,9
2021-08,평일,64,18,63,90,74,86,88,93,83,88,119,111,106,92,60,45,33,16,7,,22
2021-08,휴일,41,7,25,33,33,38,45,47,44,53,56,58,51,53,42,26,23,15,4,,9
2021-09,평일,61,17,67,83,74,92,91,96,90,98,126,121,113,98,65,50,32,18,9,,22
2021-09,휴일,39,8,27,35,39,53,61,63,56,71,77,73,62,64,48,40,26,16,7,,8
2021-10,평일,64,17,67,92,81,94,101,101,96,100,148,139,133,109,74,53,39,25,9,,21
2021-10,휴일,40,7,26,31,39,50,57,61,64,72,82,82,78,70,48,33,30,15,7,,10
2021-11,평일,70,19,65,96,86,95,112,110,99,115,159,148,143,106,71,57,40,24,13,,22
2021-11,휴일,41,6,25,34,40,45,55,65,64,76,94,91,88,70,52,42,31,19,8,,8
2021-12,평일,66,20,62,85,76,89,93,99,100,107,148,136,123,98,66,51,40,23,9,,23
2021-12,휴일,40,6,24,30,35,45,48,47,56,68,73,76,63,61,40,28,27,14,6,,8
2022-01,평일,61,22,58,82,73,89,97,98,98,107,144,131,126,101,67,52,42,15,5,0,21
2022-01,휴일,38,9,20,29,34,42,51,55,62,75,77,70,64,60,36,33,30,13,3,0,10
2022-02,평일,61,19,51,76,68,83,89,94,92,101,131,123,113,92,64,49,35,16,5,0,20
2022-02,휴일,41,10,24,32,37,45,50,56,58,67,73,72,67,58,37,31,27,15,4,0,8
2022-03,평일,64,19,58,75,71,84,91,94,91,100,132,115,114,95,68,47,32,23,8,0,23
2022-03,휴일,37,9,24,30,36,40,40,54,58,66,70,65,64,61,40,29,21,16,5,0,8
2022-04,평일,78,20,64,83,82,97,102,104,105,113,157,138,131,109,80,55,42,29,12,0,21
2022-04,휴일,45,9,31,37,38,54,62,64,67,85,93,82,79,79,56,46,35,21,10,0,9
2022-05,평일,78,24,67,90,93,107,110,112,107,126,176,149,148,113,87,63,55,33,14,0,22
2022-05,휴일,43,9,31,36,44,56,59,68,78,86,95,90,85,76,63,48,44,24,8,0,9
2022-06,평일,76,21,71,91,92,111,107,116,109,123,168,136,139,114,81,68,53,33,14,0,22
2022-06,휴일,41,10,38,37,48,57,61,72,73,98,95,87,89,71,56,50,48,19,12,0,8
2022-07,평일,70,23,74,94,97,116,105,119,109,119,159,142,132,115,85,70,50,32,13,0,21
2022-07,휴일,42,9,31,38,44,52,61,66,70,80,83,80,75,73,56,51,42,20,10,0,10
2022-08,평일,72,13,73,95,101,113,111,109,110,121,151,128,130,103,80,58,48,28,11,2,23
2022-08,휴일,41,10,33,38,44,55,60,64,65,75,86,74,69,69,54,49,39,19,9,0,8
2022-09,평일,77,14,74,91,96,107,105,113,110,126,157,145,140,108,91,64,48,30,12,2,22
2022-09,휴일,36,11,31,36,44,48,52,63,67,77,83,85,80,71,61,49,35,18,9,1,8
2022-10,평일,74,14,72,93,94,104,116,120,114,133,168,158,150,116,98,72,50,35,13,3,21
2022-10,휴일,41,11,38,40,48,57,67,66,78,89,102,102,102,96,71,50,41,21,11,0,10
2022-11,평일,82,14,81,88,88,102,109,117,112,138,168,157,153,126,95,66,45,34,12,2,22
2022-11,휴일,42,10,42,39,49,56,63,70,81,95,97,97,87,77,64,50,38,23,10,1,8
2022-12,평일,78,14,74,91,85,94,109,113,106,142,170,157,148,117,88,65,53,36,16,3,22
2022-12,휴일,39,11,36,39,44,50,60,62,77,82,101,96,92,78,54,51,38,21,12,1,9
2023-01,평일,64,16,66,86,83,93,98,103,111,130,157,142,134,109,85,59,40,30,12,2,22
2023-01,휴일,36,11,26,32,37,46,58,59,68,85,87,80,77,63,45,35,25,17,8,0,9
2023-02,평일,76,30,76,100,95,106,123,127,124,149,186,158,161,124,107,70,50,35,16,3,20
2023-02,휴일,42,22,40,36,44,56,62,70,77,93,102,108,102,89,59,51,33,22,11,0,8
2023-03,평일,75,56,71,103,96,111,119,117,133,146,184,159,157,127,104,75,54,36,16,3,23
2023-03,휴일,40,34,36,34,49,62,68,63,78,106,110,113,99,90,67,52,41,22,12,0,8
2023-04,평일,79,52,78,104,96,108,122,127,124,145,185,165,154,126,103,75,55,38,16,3,20
2023-04,휴일,39,38,39,39,47,66,65,67,81,103,114,106,106,88,76,59,44,26,12,0,10
2023-05,평일,79,15,82,93,95,99,114,120,124,140,177,158,152,128,101,72,53,37,18,3,23
2023-05,휴일,45,13,33,41,44,57,64,67,74,102,98,95,87,81,64,59,49,26,12,1,8
2023-06,평일,84,16,80,97,103,108,122,124,130,139,181,154,155,132,100,77,53,38,19,5,22
2023-06,휴일,48,12,40,43,50,69,68,71,73,103,103,104,92,86,75,72,50,28,12,0,8
2023-07,평일,83,13,88,105,133,126,125,128,127,141,180,149,148,134,93,72,52,36,18,3,21
2023-07,휴일,44,12,37,40,50,61,68,66,68,92,88,88,90,78,62,57,41,25,14,0,10
2023-08,평일,78,15,87,93,116,111,110,114,112,127,164,143,139,124,94,71,49,33,13,3,23
2023-08,휴일,46,13,38,47,48,61,61,61,82,83,90,95,85,82,64,57,47,23,13,0,8
2023-09,평일,78,16,80,98,98,102,123,116,117,132,165,154,147,123,94,72,50,34,16,3,21
2023-09,휴일,46,12,36,37,46,65,71,67,76,98,101,105,93,86,72,56,44,24,12,0,9
2023-10,평일,81,17,78,102,114,120,125,122,129,155,190,163,166,132,97,70,50,38,16,2,22
2023-10,휴일,47,11,34,41,52,75,80,78,84,104,115,114,111,108,79,60,47,24,12,1,9
2023-11,평일,80,17,82,101,94,102,119,110,122,145,191,166,168,131,97,70,54,38,16,3,22
2023-11,휴일,45,12,37,37,47,63,73,69,82,97,113,110,92,86,60,56,38,21,10,0,8
2023-12,평일,77,16,74,93,93,114,122,119,122,155,195,168,168,126,90,75,61,42,14,4,21
2023-12,휴일,43,12,33,37,48,68,74,74,78,98,118,107,93,86,66,62,45,23,10,1,10
