월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,38,15,76,66,68,86,86,104,81,73,92,85,73,57,35,21,19,12,5,,22
2021-07,휴일,18,7,29,26,31,42,47,59,46,50,39,46,47,42,27,21,15,11,5,,9
2021-08,평일,33,13,74,69,62,80,85,102,84,73,94,79,68,60,35,21,18,10,4,,22
2021-08,휴일,17,6,24,27,30,42,41,53,40,49,45,52,43,45,30,18,16,8,4,,9
2021-09,평일,33,12,98,73,61,75,81,122,99,78,105,86,72,55,37,25,18,10,4,,22
2021-09,휴일,17,6,34,32,34,45,55,78,52,60,61,61,57,51,34,23,16,11,3,,8
2021-10,평일,32,13,100,82,68,80,89,120,112,86,116,97,79,65,36,28,20,13,4,,21
2021-10,휴일,14,5,32,29,32,43,52,79,56,66,55,66,59,51,31,23,16,10,5,,10
2021-11,평일,32,12,100,82,72,77,92,119,109,91,111,95,82,63,33,23,19,14,7,,22
2021-11,휴일,17,5,32,28,36,48,56,74,60,62,62,68,62,53,28,22,14,12,7,,8
2021-12,평일,28,12,88,72,69,71,82,103,94,86,110,92,79,54,28,23,20,12,6,,23
2021-12,휴일,14,6,20,24,27,41,39,56,46,59,50,56,50,37,23,20,14,8,4,,8
2022-01,평일,27,10,71,69,64,79,87,92,92,88,107,87,71,53,32,24,20,12,3,0,21
2022-01,휴일,14,6,19,24,28,41,52,60,50,58,54,61,48,40,28,21,14,8,2,0,10
2022-02,평일,28,10,72,71,71,75,83,95,94,77,96,82,67,52,33,22,18,11,4,0,20
2022-02,휴일,14,6,20,29,35,49,44,58,48,55,55,58,46,41,26,20,15,9,3,0,8
2022-03,평일,32,11,85,75,75,76,82,103,94,80,98,88,73,52,37,25,18,13,5,0,23
2022-03,휴일,15,5,24,37,35,45,45,57,47,52,49,55,52,39,34,18,11,11,4,0,8
2022-04,평일,36,13,117,89,82,86,93,124,117,87,112,101,84,65,44,28,21,15,6,0,21
2022-04,휴일,20,6,35,40,41,49,54,75,62,64,58,72,68,57,40,30,20,14,7,0,9
2022-05,평일,41,13,142,93,94,108,106,141,161,110,128,108,90,69,49,35,25,15,9,0,22
2022-05,휴일,21,5,38,40,44,62,59,76,79,76,68,72,71,55,45,34,20,13,12,0,9
2022-06,평일,41,12,141,91,87,96,94,142,161,102,114,99,88,68,47,33,25,16,8,1,22
2022-06,휴일,23,7,43,42,52,71,63,86,86,78,69,68,70,59,42,31,21,18,10,1,8
2022-07,평일,45,14,149,91,98,108,103,152,162,106,111,96,87,66,48,35,26,18,7,2,21
2022-07,휴일,22,7,28,35,53,82,64,75,76,72,60,64,61,55,41,35,23,17,10,0,10
2022-08,평일,43,12,115,85,87,100,103,129,135,95,105,98,79,66,45,31,22,14,6,1,23
2022-08,휴일,20,8,31,36,47,78,66,80,78,71,56,62,62,59,41,26,19,14,8,0,8
2022-09,평일,46,15,134,98,83,103,98,137,133,96,112,102,87,74,50,35,24,18,7,2,22
2022-09,휴일,22,7,33,35,38,64,52,76,62,58,58,66,59,58,42,29,17,14,8,1,8
2022-10,평일,44,15,134,109,88,106,95,134,143,100,120,118,92,78,50,38,23,18,6,2,21
2022-10,휴일,22,8,42,45,47,73,70,78,74,73,78,85,76,62,51,37,29,18,10,1,10
2022-11,평일,49,16,132,112,94,111,98,142,162,115,124,110,92,71,44,36,24,18,7,2,22
2022-11,휴일,20,8,36,35,53,76,68,84,76,76,78,79,66,63,44,25,19,18,8,0,8
2022-12,평일,42,15,124,108,88,95,99,143,144,104,116,101,86,66,42,36,26,19,7,2,22
2022-12,휴일,19,7,34,40,48,64,57,82,80,69,67,70,66,53,36,25,20,15,8,1,9
2023-01,평일,37,15,76,82,75,102,97,109,113,97,109,97,81,67,41,30,22,17,6,1,22
2023-01,휴일,19,7,18,23,43,62,49,52,62,57,58,60,54,45,33,22,15,11,7,1,9
2023-02,평일,40,24,112,112,91,126,115,124,136,97,119,110,90,74,48,40,27,21,8,1,20
2023-02,휴일,20,14,33,42,51,71,78,66,65,78,74,78,67,62,42,30,22,18,9,0,8
2023-03,평일,41,41,139,137,103,133,107,144,151,106,122,107,98,78,48,37,27,22,8,2,23
2023-03,휴일,20,28,36,55,54,79,74,72,59,70,85,78,78,67,50,30,23,17,11,0,8
2023-04,평일,43,42,163,120,97,120,108,151,142,100,116,115,88,79,52,35,27,20,8,2,20
2023-04,휴일,22,32,41,46,55,74,66,77,64,75,73,74,71,73,49,34,26,20,11,0,10
2023-05,평일,43,13,143,109,99,122,109,148,143,104,122,113,95,82,52,37,25,22,9,2,23
2023-05,휴일,22,8,34,39,52,55,60,74,62,66,62,68,63,60,43,38,23,21,8,1,8
2023-06,평일,46,15,149,118,95,116,105,146,143,91,110,106,98,77,54,41,27,19,8,1,22
2023-06,휴일,24,9,45,46,58,82,82,74,65,76,93,79,71,72,52,33,26,18,10,0,8
2023-07,평일,44,13,148,122,98,126,105,147,146,92,106,102,90,74,52,36,27,19,7,2,21
2023-07,휴일,25,9,41,50,58,71,69,77,58,55,60,76,60,59,45,28,20,18,7,0,10
