월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,8,5,21,26,11,12,11,11,8,14,12,15,14,12,8,6,3,3,1,,22
2021-07,휴일,5,5,6,8,6,10,8,8,6,12,8,10,9,7,8,6,3,3,1,,9
2021-08,평일,8,6,17,23,7,11,11,9,11,11,12,16,15,11,8,5,4,3,0,,22
2021-08,휴일,6,5,4,6,4,5,7,5,7,10,10,9,10,7,5,5,4,2,1,,9
2021-09,평일,8,7,18,20,8,10,12,10,9,11,14,15,15,10,9,6,4,4,0,,22
2021-09,휴일,5,5,4,7,6,8,9,8,9,10,13,12,10,8,8,6,3,2,1,,8
2021-10,평일,7,6,15,21,12,13,13,15,15,13,15,16,16,11,9,8,4,3,1,,21
2021-10,휴일,5,6,5,6,10,9,9,10,12,11,11,14,13,7,6,4,4,2,1,,10
2021-11,평일,10,7,20,22,13,14,13,18,12,13,14,16,18,10,8,7,6,3,1,,22
2021-11,휴일,7,5,3,9,11,9,9,13,13,11,12,11,13,8,7,5,3,2,2,,8
2021-12,평일,10,7,20,16,18,13,11,18,12,12,14,17,15,9,7,6,5,3,1,,23
2021-12,휴일,6,5,2,6,8,8,7,10,8,8,10,11,11,7,5,5,3,2,0,,8
2022-01,평일,9,6,20,20,16,12,11,19,12,16,16,17,16,11,7,6,5,3,1,0,21
2022-01,휴일,5,4,2,6,10,10,7,10,9,12,10,13,12,8,6,4,5,3,0,0,10
2022-02,평일,9,6,18,20,14,13,11,16,11,12,15,15,14,10,6,7,5,3,0,0,20
2022-02,휴일,5,4,2,8,10,10,7,9,10,13,12,12,8,6,5,6,5,2,0,0,8
2022-03,평일,9,6,17,20,15,12,11,18,12,16,17,15,14,9,7,7,5,3,1,0,23
2022-03,휴일,7,5,4,7,9,7,6,10,11,11,13,11,11,7,5,4,4,1,1,0,8
2022-04,평일,10,6,20,24,19,15,16,23,17,19,20,18,16,11,9,8,5,4,2,0,21
2022-04,휴일,7,4,4,10,13,16,12,16,17,18,15,17,13,10,8,6,4,2,1,0,9
2022-05,평일,10,8,19,26,20,17,18,22,18,22,19,20,17,14,12,9,7,4,2,0,22
2022-05,휴일,7,5,4,9,12,11,11,12,15,18,14,13,14,10,7,6,5,1,1,0,9
2022-06,평일,10,8,18,28,19,16,17,22,21,14,16,20,17,13,11,7,5,4,1,0,22
2022-06,휴일,6,6,5,10,12,8,12,18,13,13,13,15,14,10,8,7,6,3,1,0,8
2022-07,평일,11,10,20,25,19,20,16,25,21,13,18,20,19,12,12,7,5,3,1,0,21
2022-07,휴일,6,6,4,9,10,9,10,11,9,9,13,12,14,9,10,8,6,3,1,0,10
2022-08,평일,11,9,20,25,16,16,17,23,17,12,19,18,18,12,12,8,6,3,1,0,23
2022-08,휴일,7,7,4,8,9,10,12,12,12,11,11,12,14,10,9,7,6,2,1,0,8
2022-09,평일,12,8,18,29,17,17,14,23,19,14,19,20,18,12,12,7,5,3,1,0,22
2022-09,휴일,7,5,5,9,11,8,10,15,11,12,16,15,16,12,9,8,4,2,1,0,8
2022-10,평일,11,8,20,29,17,17,13,25,21,17,19,25,19,13,12,8,6,3,1,0,21
2022-10,휴일,8,5,5,11,13,12,12,16,14,16,15,15,16,9,11,8,5,2,1,0,10
2022-11,평일,12,8,24,34,22,17,15,26,22,17,20,25,16,14,12,8,5,2,1,0,22
2022-11,휴일,7,4,4,11,14,10,12,16,14,17,13,15,12,10,10,6,4,2,2,0,8
2022-12,평일,11,9,21,30,20,14,14,22,19,13,19,22,16,12,10,7,6,3,1,0,22
2022-12,휴일,7,4,4,10,9,8,10,13,10,14,12,16,16,8,9,8,4,2,2,0,9
2023-01,평일,11,8,19,28,14,14,13,20,19,14,19,21,18,13,10,6,4,4,1,0,22
2023-01,휴일,7,4,4,6,7,7,8,6,9,12,10,14,12,8,7,4,3,2,1,0,9
2023-02,평일,12,20,26,29,14,17,13,24,19,18,22,26,20,16,12,7,5,4,2,0,20
2023-02,휴일,6,13,7,7,6,11,10,11,13,14,17,17,16,12,9,8,6,2,1,0,8
2023-03,평일,13,39,21,31,16,21,14,23,22,20,24,25,18,16,12,8,5,3,2,0,23
2023-03,휴일,8,25,6,8,8,12,10,11,14,14,15,18,15,10,10,9,4,1,2,0,8
2023-04,평일,11,36,23,33,16,25,14,24,22,17,22,22,20,18,11,9,5,4,2,0,20
2023-04,휴일,7,25,8,16,12,17,15,14,16,18,19,18,17,11,12,8,6,2,1,0,10
2023-05,평일,9,7,20,32,17,22,16,23,20,20,22,23,21,18,10,8,6,4,2,0,23
2023-05,휴일,9,4,12,10,6,10,10,11,12,16,11,13,12,12,10,8,6,1,3,0,8
2023-06,평일,9,7,21,28,16,20,17,23,20,16,18,23,23,18,11,8,6,4,2,0,22
2023-06,휴일,7,5,11,12,9,14,11,10,12,13,16,14,16,10,9,10,6,3,2,0,8
2023-07,평일,11,6,26,27,18,19,14,21,22,14,19,21,22,19,10,7,5,4,2,0,21
2023-07,휴일,6,5,9,7,9,11,11,10,11,12,14,13,12,8,9,8,6,3,2,0,10
2023-08,평일,11,7,26,24,15,18,15,23,18,12,20,20,21,19,10,9,6,4,1,0,23
2023-08,휴일,6,5,15,9,8,14,12,10,12,12,20,11,16,10,12,10,6,2,2,0,8
2023-09,평일,10,6,21,27,18,19,15,22,23,16,18,23,24,20,9,7,5,4,2,1,21
2023-09,휴일,5,5,6,10,9,14,13,14,15,15,18,16,16,11,10,8,5,3,2,0,9
2023-10,평일,9,5,21,29,16,18,21,20,21,22,22,26,25,17,10,9,6,3,2,0,22
2023-10,휴일,5,4,6,17,9,12,16,11,15,24,18,19,16,12,11,8,5,4,2,0,9
2023-11,평일,9,5,21,31,17,16,22,19,20,23,22,25,24,15,10,8,5,4,2,0,22
2023-11,휴일,5,4,6,10,8,11,14,11,11,24,16,19,14,11,8,7,5,2,2,0,8
2023-12,평일,11,4,21,25,15,14,17,16,17,21,19,27,22,15,8,10,6,3,2,0,21
2023-12,휴일,5,3,5,10,7,7,14,8,13,18,12,16,17,10,8,7,5,3,2,0,10
