월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,50,12,54,79,130,175,153,123,108,103,121,110,109,88,72,39,32,19,7,,22
2021-07,휴일,49,14,55,109,233,263,186,137,116,104,93,79,63,46,41,23,19,13,6,,9
2021-08,평일,53,12,58,62,108,152,142,117,101,100,114,117,104,89,67,39,27,17,6,,22
2021-08,휴일,54,12,61,109,238,276,185,145,117,114,105,83,68,46,34,23,18,13,6,,9
2021-09,평일,46,11,50,64,110,170,157,134,121,111,122,116,105,86,67,39,32,19,8,,22
2021-09,휴일,51,12,67,118,281,363,247,173,150,141,112,98,71,50,47,30,24,12,6,,8
2021-10,평일,47,9,55,71,137,205,178,159,146,137,132,135,115,95,76,45,37,22,8,,21
2021-10,휴일,43,8,60,104,298,420,320,219,183,154,127,105,81,60,51,34,27,17,6,,10
2021-11,평일,48,9,50,62,121,176,163,144,142,124,124,125,114,94,75,47,36,23,11,,22
2021-11,휴일,41,7,48,97,285,396,291,228,191,164,123,102,77,64,56,38,28,18,6,,8
2021-12,평일,46,8,44,48,102,152,138,135,132,112,115,112,101,89,71,41,34,21,9,,23
2021-12,휴일,33,6,32,56,165,238,188,162,139,126,92,78,62,50,37,26,23,11,6,,8
2022-01,평일,44,9,42,43,98,144,132,134,123,113,115,103,98,91,68,42,33,18,7,0,21
2022-01,휴일,36,8,32,60,180,285,208,178,143,122,95,80,58,49,35,26,22,9,4,0,10
2022-02,평일,41,8,44,46,98,139,138,136,128,113,108,109,99,86,70,39,29,17,9,0,20
2022-02,휴일,32,7,38,62,187,308,223,188,150,133,94,78,65,53,39,27,19,12,5,0,8
2022-03,평일,46,9,50,55,108,165,156,155,139,117,122,111,105,88,72,40,30,18,11,0,23
2022-03,휴일,32,7,34,54,171,262,193,192,155,133,104,78,63,44,47,22,21,12,5,0,8
2022-04,평일,50,11,57,61,126,184,178,180,152,138,135,137,122,107,84,49,41,23,15,0,21
2022-04,휴일,43,9,54,92,272,401,309,214,183,168,142,105,92,66,52,40,32,18,9,0,9
2022-05,평일,57,14,68,76,144,213,194,174,156,136,143,145,133,117,91,58,47,25,16,0,22
2022-05,휴일,51,11,65,112,306,417,302,211,185,162,136,117,103,76,68,46,38,22,10,0,9
2022-06,평일,54,13,58,68,130,174,164,147,139,123,132,139,130,111,89,54,47,27,15,4,22
2022-06,휴일,54,13,68,125,311,370,273,202,166,141,138,125,95,80,65,52,36,26,10,2,8
2022-07,평일,63,16,61,80,125,166,151,134,130,113,135,141,130,108,90,56,47,28,14,4,21
2022-07,휴일,61,16,71,132,287,335,229,163,140,123,116,105,94,67,59,37,36,19,7,1,10
2022-08,평일,53,12,56,67,104,140,135,133,126,110,124,127,117,98,86,50,38,28,11,3,23
2022-08,휴일,58,11,64,127,260,317,222,157,139,125,117,105,88,71,57,39,33,20,9,1,8
2022-09,평일,55,10,63,79,137,188,166,149,146,132,147,142,132,112,88,52,44,25,12,4,22
2022-09,휴일,48,9,62,107,242,297,231,175,156,128,130,105,98,65,57,42,34,20,10,2,8
2022-10,평일,53,10,57,76,147,194,191,163,163,139,153,146,137,115,87,57,44,28,13,3,21
2022-10,휴일,50,12,63,115,310,416,305,236,182,174,142,120,102,78,60,46,39,25,10,1,10
2022-11,평일,53,11,59,68,132,179,174,159,151,133,147,143,136,110,90,56,42,29,12,4,22
2022-11,휴일,41,10,48,89,265,358,293,205,176,167,137,119,91,76,59,44,35,21,11,2,8
2022-12,평일,48,8,44,52,93,129,136,134,133,114,131,135,123,103,83,56,42,31,13,4,22
2022-12,휴일,37,7,35,60,172,242,214,176,154,133,116,106,86,63,54,45,39,20,12,5,9
2023-01,평일,43,8,43,49,88,138,141,140,138,116,130,126,114,100,82,49,38,24,12,4,22
2023-01,휴일,33,8,38,59,134,195,153,139,133,124,103,84,67,49,45,31,24,13,9,2,9
2023-02,평일,54,24,46,61,106,178,169,159,157,139,146,153,141,118,95,57,46,29,14,4,20
2023-02,휴일,38,22,42,80,242,349,256,221,184,172,130,122,92,69,58,48,32,22,8,1,8
2023-03,평일,52,56,55,86,138,212,199,177,174,149,157,157,139,117,95,64,46,31,12,4,23
2023-03,휴일,43,40,48,106,298,398,319,230,194,193,154,132,107,73,68,50,42,20,13,1,8
2023-04,평일,57,54,64,91,127,183,171,164,155,146,149,158,138,122,100,64,50,32,14,5,20
2023-04,휴일,50,39,53,112,277,385,284,216,182,179,148,123,106,81,68,56,45,27,11,1,10
2023-05,평일,64,13,68,106,155,227,207,181,169,156,157,160,145,121,96,66,51,33,13,6,23
2023-05,휴일,52,11,61,122,251,339,249,181,163,162,140,123,105,78,69,61,42,23,12,3,8
2023-06,평일,71,13,78,101,146,199,182,156,157,134,149,159,141,123,104,66,52,31,13,5,22
2023-06,휴일,60,12,76,144,354,423,320,229,217,236,160,140,111,84,74,60,42,24,12,2,8
2023-07,평일,58,12,68,87,116,161,149,136,138,122,144,137,139,118,102,62,49,30,14,6,21
2023-07,휴일,58,13,68,111,264,271,203,163,148,136,129,116,95,72,60,46,37,22,8,2,10
2023-08,평일,64,12,71,81,120,148,139,122,130,120,135,144,136,113,97,61,46,28,12,5,23
2023-08,휴일,68,11,76,131,308,313,221,166,154,146,127,110,97,77,71,51,40,20,9,1,8
2023-09,평일,62,13,76,92,126,155,157,150,137,132,141,148,134,119,100,61,47,31,14,5,21
2023-09,휴일,54,12,68,117,302,331,239,190,162,150,140,131,107,85,77,50,43,22,11,2,9
2023-10,평일,59,15,75,105,159,215,213,189,179,165,168,161,143,126,100,63,52,28,14,5,22
2023-10,휴일,48,11,62,129,337,412,329,240,216,199,168,142,118,93,81,54,49,26,11,2,9
2023-11,평일,53,13,69,91,108,162,163,158,153,137,153,157,145,124,95,65,48,26,15,5,22
2023-11,휴일,43,10,44,94,251,298,247,203,171,162,137,123,103,76,66,50,42,24,10,2,8
2023-12,평일,44,12,53,69,96,142,139,143,149,131,152,155,144,109,93,64,53,33,16,6,21
2023-12,휴일,34,11,38,64,177,252,212,176,172,146,136,119,99,74,62,55,43,24,11,4,10
