월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,57,17,71,94,135,146,124,113,112,111,128,118,125,95,68,39,30,17,8,,22
2021-07,휴일,35,13,42,48,84,109,83,78,74,73,64,71,70,55,47,30,19,10,8,,9
2021-08,평일,55,17,62,100,131,147,130,118,117,116,127,119,123,87,67,37,27,13,6,,22
2021-08,휴일,34,12,39,49,94,113,77,86,75,77,77,80,73,59,46,28,19,12,4,,9
2021-09,평일,52,17,63,100,147,170,150,143,135,139,143,136,127,92,63,36,28,17,8,,22
2021-09,휴일,40,13,40,58,145,170,116,115,102,103,101,101,87,65,52,31,24,13,6,,8
2021-10,평일,58,15,66,105,162,185,171,158,162,162,168,155,143,98,68,41,28,20,11,,21
2021-10,휴일,34,11,38,58,146,210,129,111,106,104,101,112,99,68,45,34,25,17,8,,10
2021-11,평일,60,14,65,102,168,185,163,153,153,153,174,148,138,97,64,39,29,17,10,,22
2021-11,휴일,37,12,42,56,177,212,122,128,122,106,102,116,94,73,52,30,27,14,11,,8
2021-12,평일,53,14,62,85,137,159,145,130,140,146,157,134,123,85,59,35,28,14,9,,23
2021-12,휴일,28,10,30,42,95,116,86,81,83,82,93,89,79,50,33,24,19,12,6,,8
2022-01,평일,43,14,52,80,119,146,138,130,134,139,153,134,120,88,58,33,31,12,7,0,21
2022-01,휴일,31,11,31,36,117,165,90,96,91,96,93,94,76,61,43,28,22,9,4,0,10
2022-02,평일,45,14,47,90,129,143,124,129,128,126,136,125,109,89,55,33,28,14,7,0,20
2022-02,휴일,34,11,31,42,128,160,95,98,102,96,94,84,81,59,46,33,21,11,5,0,8
2022-03,평일,51,14,53,86,126,160,147,139,138,137,148,131,122,91,61,33,25,16,13,0,23
2022-03,휴일,32,10,29,40,121,144,98,92,92,91,97,92,74,55,48,28,18,15,8,0,8
2022-04,평일,58,16,64,96,157,195,171,156,157,152,157,148,143,99,71,42,32,20,15,0,21
2022-04,휴일,36,14,33,61,206,222,140,120,127,116,110,113,101,76,59,45,28,18,12,0,9
2022-05,평일,62,17,69,103,200,249,194,172,166,162,166,164,156,102,78,48,39,22,18,0,22
2022-05,휴일,44,14,39,68,265,271,137,124,112,110,117,122,107,81,61,45,35,18,12,0,9
2022-06,평일,65,17,70,102,177,187,169,159,146,150,157,158,146,97,71,49,41,22,11,7,22
2022-06,휴일,45,14,42,69,231,226,127,128,101,109,115,119,108,76,62,50,30,23,13,6,8
2022-07,평일,62,17,72,102,168,159,155,148,138,139,156,147,151,105,70,47,37,21,9,6,21
2022-07,휴일,41,15,41,59,166,156,94,96,87,88,94,88,86,73,62,42,32,20,9,2,10
2022-08,평일,57,17,68,95,144,154,137,140,131,128,146,139,137,97,65,45,32,18,9,4,23
2022-08,휴일,38,14,36,59,150,154,100,94,92,91,91,105,87,77,63,43,30,18,9,4,8
2022-09,평일,60,18,73,103,183,202,168,153,148,152,162,158,145,108,77,46,36,21,10,4,22
2022-09,휴일,36,12,34,56,186,205,109,101,106,97,100,101,89,72,58,44,30,17,7,3,8
2022-10,평일,61,21,72,108,175,210,176,178,164,167,181,174,157,107,70,47,35,22,9,5,21
2022-10,휴일,40,13,39,63,233,234,128,119,118,118,111,122,114,88,65,44,32,20,9,6,10
2022-11,평일,62,21,72,111,178,219,169,176,159,155,171,177,145,104,69,45,34,22,8,4,22
2022-11,휴일,45,12,36,53,194,230,119,120,106,117,122,119,104,78,64,42,29,18,9,4,8
2022-12,평일,54,17,68,97,140,176,158,151,141,151,170,167,138,94,62,48,36,21,10,5,22
2022-12,휴일,36,11,31,40,160,181,97,115,101,97,107,112,89,74,53,41,30,23,10,5,9
2023-01,평일,53,14,63,83,138,169,145,146,139,137,161,155,130,99,60,44,31,17,10,5,22
2023-01,휴일,35,10,32,38,132,165,82,90,85,88,85,92,82,63,47,33,21,13,7,3,9
2023-02,평일,59,18,74,110,180,221,177,168,164,164,190,169,149,107,74,47,36,20,9,6,20
2023-02,휴일,38,14,39,56,183,256,121,113,124,111,127,117,107,86,60,43,33,17,8,3,8
2023-03,평일,64,20,85,116,204,269,197,189,190,176,194,184,147,114,78,52,37,24,10,5,23
2023-03,휴일,39,15,48,64,260,288,149,137,126,132,131,133,108,91,74,43,29,19,9,3,8
2023-04,평일,68,21,87,118,205,225,180,186,169,170,185,180,151,114,76,52,41,24,10,5,20
2023-04,휴일,43,17,47,67,232,286,138,127,124,123,131,125,106,89,69,49,35,22,9,4,10
2023-05,평일,65,19,84,111,201,268,198,180,168,171,178,185,155,115,77,56,36,23,9,4,23
2023-05,휴일,45,13,44,75,283,304,145,114,118,116,118,122,110,81,71,49,37,22,9,5,8
2023-06,평일,73,22,82,122,208,235,178,176,162,158,169,167,153,112,75,55,38,22,10,6,22
2023-06,휴일,46,16,49,87,255,282,139,123,122,112,112,125,109,80,69,49,37,20,10,5,8
2023-07,평일,71,20,78,120,166,172,146,161,141,146,152,157,142,104,77,54,40,24,10,6,21
