월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,33,11,53,77,83,94,96,91,83,92,120,126,117,105,72,42,28,22,7,,22
2021-07,휴일,34,8,35,57,68,83,62,75,56,60,57,61,64,62,41,32,22,18,8,,9
2021-08,평일,33,10,52,69,73,92,102,102,91,96,117,126,107,96,62,41,29,20,7,,22
2021-08,휴일,32,7,33,55,63,74,67,71,56,60,57,71,64,64,43,28,21,15,8,,9
2021-09,평일,32,10,51,76,72,89,94,102,95,104,124,129,114,94,66,46,32,25,8,,22
2021-09,휴일,29,7,28,40,44,62,66,81,68,77,71,87,79,70,45,31,25,16,6,,8
2021-10,평일,36,12,52,84,76,91,108,110,102,111,139,148,123,102,68,43,33,28,9,,21
2021-10,휴일,26,7,31,40,37,59,63,86,68,85,80,98,90,70,48,32,26,19,8,,10
2021-11,평일,42,13,54,97,84,108,110,116,106,113,156,152,137,115,76,44,33,30,11,,22
2021-11,휴일,38,7,28,53,81,138,79,99,66,82,83,98,94,84,52,31,22,23,11,,8
2021-12,평일,34,10,49,81,71,91,100,111,100,113,150,151,126,108,72,41,30,25,9,,23
2021-12,휴일,29,7,31,42,67,108,60,78,66,69,76,80,64,58,37,25,20,18,9,,8
2022-01,평일,32,9,45,71,72,90,96,106,105,103,143,154,130,115,73,40,34,20,7,0,21
2022-01,휴일,34,7,30,46,84,114,64,83,70,76,66,82,66,63,39,24,25,16,7,0,10
2022-02,평일,29,9,45,79,69,94,93,94,97,105,134,139,111,98,71,36,32,23,8,0,20
2022-02,휴일,32,7,34,52,93,116,59,88,71,72,68,83,71,62,41,22,24,17,8,0,8
2022-03,평일,30,8,51,83,74,93,103,101,100,108,138,142,115,94,65,38,30,22,8,0,23
2022-03,휴일,28,7,38,48,92,114,66,75,65,58,73,80,76,63,46,19,19,16,10,0,8
2022-04,평일,32,10,52,89,79,101,108,114,105,120,155,156,135,122,80,50,33,29,18,0,21
2022-04,휴일,32,7,38,53,94,126,84,85,77,71,86,95,104,80,64,39,30,22,15,0,9
2022-05,평일,35,13,56,94,84,105,127,124,105,119,157,163,136,122,77,53,36,29,13,0,22
2022-05,휴일,33,8,45,62,126,191,103,93,85,84,96,104,103,83,60,43,33,23,12,0,9
2022-06,평일,36,12,52,88,88,97,118,113,114,112,151,152,126,121,78,48,34,29,12,3,22
2022-06,휴일,37,8,44,55,133,186,108,94,82,76,90,115,100,90,57,43,35,24,13,1,8
2022-07,평일,35,13,58,102,100,99,120,124,104,112,157,156,134,127,84,45,37,29,19,3,21
2022-07,휴일,36,9,42,61,127,185,96,89,72,73,89,99,95,80,59,38,34,21,10,1,10
2022-08,평일,33,11,52,83,93,107,128,127,109,106,142,150,125,110,76,44,32,27,8,3,23
2022-08,휴일,36,6,45,59,129,185,96,103,75,71,90,114,95,82,55,37,29,19,10,0,8
2022-09,평일,36,10,54,94,95,113,147,144,117,116,156,157,139,118,79,47,34,27,7,2,22
2022-09,휴일,43,6,37,53,124,201,92,84,70,77,87,93,96,70,52,37,27,17,8,0,8
2022-10,평일,39,10,53,103,95,100,133,146,131,127,168,174,154,117,80,47,34,28,10,2,21
2022-10,휴일,42,6,38,63,131,213,104,102,88,86,96,120,107,96,61,46,32,23,11,1,10
2022-11,평일,40,11,57,96,110,121,158,140,115,128,160,178,143,115,75,45,35,27,11,2,22
2022-11,휴일,41,8,39,56,123,218,94,92,82,85,103,108,114,80,55,33,32,21,12,0,8
2022-12,평일,39,10,56,100,134,114,147,140,124,131,169,177,138,106,72,48,34,30,11,2,22
2022-12,휴일,38,6,38,55,117,205,108,102,86,84,95,117,109,77,54,42,33,25,13,1,9
2023-01,평일,36,9,47,104,151,106,111,111,112,121,160,166,126,102,71,42,30,24,10,2,22
2023-01,휴일,39,6,38,54,129,201,97,87,67,70,83,95,79,57,43,28,23,16,7,1,9
