월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,108,43,200,277,320,354,354,303,290,291,245,195,135,79,75,70,34,16,9,,44
2021-07,휴일,59,22,89,135,177,228,259,233,206,176,145,102,79,54,42,38,23,13,5,,18
2021-08,평일,86,35,168,236,281,328,338,296,281,273,236,178,122,74,58,54,30,14,8,,44
2021-08,휴일,48,18,71,112,153,217,254,253,222,197,160,110,82,51,39,32,20,11,4,,18
2021-09,평일,92,37,173,245,276,316,348,313,299,296,260,192,131,79,65,60,32,16,8,,44
2021-09,휴일,59,20,89,139,190,265,327,307,278,242,190,128,93,55,39,33,22,12,6,,16
2021-10,평일,103,43,193,285,310,366,414,377,359,353,294,215,140,82,70,68,37,18,10,,42
2021-10,휴일,57,20,84,140,181,278,360,353,316,268,202,142,94,56,42,38,25,12,7,,20
2021-11,평일,103,44,186,271,322,345,396,368,347,347,294,221,148,84,74,69,36,18,9,,44
2021-11,휴일,59,20,79,132,186,272,353,360,315,291,220,155,101,60,45,38,25,12,6,,16
2021-12,평일,93,42,165,236,301,331,367,341,327,336,277,206,126,76,66,59,32,15,9,,46
2021-12,휴일,47,18,64,99,142,209,258,274,250,217,174,121,78,50,34,33,20,9,5,,16
2022-01,평일,85,41,149,225,290,318,346,330,327,316,259,197,127,75,68,55,32,13,7,0,42
2022-01,휴일,42,18,56,93,139,214,287,288,263,235,173,121,81,50,35,26,20,6,5,0,20
2022-02,평일,79,39,142,207,268,286,315,288,283,283,245,180,115,76,64,51,28,11,8,0,40
2022-02,휴일,47,20,66,103,143,219,277,277,258,226,164,125,81,55,44,30,20,8,5,0,16
2022-03,평일,92,43,172,246,303,331,362,337,326,323,261,194,130,81,71,57,31,16,8,0,46
2022-03,휴일,48,20,68,105,155,222,274,277,255,244,179,130,83,62,50,32,19,11,5,0,16
2022-04,평일,111,46,205,280,343,392,437,386,374,368,312,228,155,91,83,67,38,18,10,0,42
