월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,48,14,61,103,103,97,89,80,76,70,57,45,29,23,20,20,11,5,3,,66
2021-07,휴일,24,8,25,31,45,62,61,51,50,48,35,27,20,15,11,10,6,3,1,,27
2021-08,평일,41,12,57,94,95,92,90,80,77,71,56,42,30,20,17,16,9,4,2,,66
2021-08,휴일,21,7,23,29,40,57,62,60,56,54,38,28,18,12,10,9,5,3,1,,27
2021-09,평일,41,12,54,90,95,90,90,84,78,75,57,43,31,22,18,18,10,5,2,,66
2021-09,휴일,23,7,25,33,51,70,78,76,66,61,44,31,19,14,12,11,6,4,1,,24
2021-10,평일,47,14,57,102,112,105,105,102,95,87,67,48,33,24,20,21,11,6,3,,63
2021-10,휴일,24,8,22,31,51,73,90,89,77,71,50,31,23,16,13,11,8,5,2,,30
2021-11,평일,51,15,61,104,118,109,106,100,93,86,71,52,37,28,23,19,11,6,4,,66
2021-11,휴일,29,9,27,35,52,73,92,92,84,78,49,35,25,17,14,11,8,5,2,,24
2021-12,평일,48,16,59,100,115,102,101,91,90,83,65,49,35,25,19,18,11,5,3,,69
2021-12,휴일,21,8,20,25,38,59,73,73,70,62,45,32,22,16,10,11,5,4,1,,24
2022-01,평일,46,15,55,94,112,97,100,90,90,86,65,46,32,24,19,20,11,4,2,0,63
2022-01,휴일,19,8,20,26,39,61,74,73,70,63,43,31,21,14,10,9,6,3,1,0,30
2022-02,평일,43,14,53,88,110,89,87,82,87,76,59,44,30,22,18,16,9,4,2,0,60
2022-02,휴일,21,9,23,28,44,64,79,70,70,63,42,31,22,16,10,11,7,3,1,0,24
2022-03,평일,45,16,58,95,114,97,99,87,87,78,61,45,33,25,20,18,10,6,3,0,69
2022-03,휴일,21,8,24,28,46,71,76,68,68,59,40,29,20,15,12,11,6,3,2,0,24
2022-04,평일,51,16,66,105,120,111,116,103,98,88,68,53,37,29,23,21,13,7,4,0,63
2022-04,휴일,27,8,26,32,55,85,104,89,89,76,57,40,25,24,15,15,8,5,3,0,27
2022-05,평일,54,16,66,106,128,125,125,116,107,95,77,56,43,32,25,23,15,7,5,0,66
2022-05,휴일,30,8,27,33,62,91,112,92,86,79,57,41,29,21,20,17,12,5,3,0,27
2022-06,평일,57,15,63,106,126,124,125,109,103,89,71,54,41,31,24,22,14,7,4,1,66
2022-06,휴일,32,7,26,34,62,90,108,98,84,73,59,42,35,25,20,18,12,5,3,0,24
2022-07,평일,58,15,67,107,130,123,120,108,100,91,74,56,43,32,24,23,15,6,4,1,63
2022-07,휴일,29,8,27,32,61,90,94,83,76,68,52,39,30,22,18,16,10,5,3,0,30
2022-08,평일,47,14,59,94,114,109,110,100,92,84,66,51,39,27,22,18,12,6,2,1,69
2022-08,휴일,26,7,26,31,57,87,93,77,74,66,48,36,29,19,16,13,9,5,2,0,24
2022-09,평일,52,15,62,98,121,121,118,105,96,91,74,54,41,30,24,20,12,6,3,1,66
2022-09,휴일,27,7,46,30,53,84,100,78,79,65,50,39,29,20,17,13,9,4,2,0,24
2022-10,평일,58,16,66,108,131,130,130,119,111,101,80,58,48,32,27,22,13,7,3,1,63
2022-10,휴일,31,8,31,35,65,104,124,106,98,88,62,46,38,25,21,17,11,5,3,0,30
2022-11,평일,57,16,68,104,133,124,126,117,108,97,75,57,45,33,26,20,13,7,3,2,66
2022-11,휴일,29,8,29,34,59,96,117,100,97,87,57,42,33,22,18,15,9,4,4,1,24
2022-12,평일,55,16,65,96,127,122,128,113,110,102,82,60,49,31,26,19,12,7,3,2,66
2022-12,휴일,23,7,25,28,54,88,116,99,94,89,65,49,36,24,20,14,10,6,3,0,27
2023-01,평일,49,14,58,93,112,114,112,101,100,95,71,54,41,29,22,18,11,5,3,1,66
2023-01,휴일,18,7,21,21,46,74,85,73,73,67,50,36,24,18,15,9,7,4,2,0,27
2023-02,평일,55,23,68,110,136,132,134,120,114,104,83,57,47,33,28,19,11,6,3,2,60
2023-02,휴일,24,15,25,33,58,102,126,107,101,87,65,48,34,24,20,14,9,5,3,0,24
2023-03,평일,57,37,71,113,136,140,146,125,120,106,83,61,50,36,29,23,12,7,4,2,69
2023-03,휴일,25,24,29,33,66,112,137,112,110,92,71,50,36,26,20,16,10,6,5,0,24
2023-04,평일,60,36,78,122,138,144,141,120,114,107,85,62,50,35,28,22,14,8,4,2,60
2023-04,휴일,31,24,33,35,69,118,128,110,101,86,67,49,36,25,21,18,11,6,4,0,30
2023-05,평일,86,19,94,132,169,192,197,162,161,134,105,75,63,46,41,25,16,8,6,3,23
2023-05,휴일,48,10,44,44,89,153,163,133,122,108,82,67,48,38,26,22,13,5,5,1,8
2023-06,평일,91,21,97,136,183,198,183,158,153,126,104,74,61,46,37,24,13,9,6,3,22
2023-06,휴일,50,11,41,47,104,159,173,134,130,109,79,60,51,36,31,22,12,8,4,1,8
2023-07,평일,92,21,96,142,180,190,182,151,140,120,96,72,59,45,38,23,13,8,5,2,21
2023-07,휴일,44,10,38,44,99,149,151,122,104,93,72,58,48,32,24,18,10,7,4,0,10
2023-08,평일,83,19,91,125,164,178,173,135,131,122,96,74,58,41,34,19,11,6,5,2,23
2023-08,휴일,46,12,41,46,104,144,154,118,114,93,79,53,43,32,22,17,9,6,3,0,8
2023-09,평일,82,21,87,123,160,178,168,135,132,123,91,71,64,46,41,23,11,9,5,2,21
2023-09,휴일,46,12,59,44,94,145,159,136,121,110,80,63,49,34,40,20,10,8,3,0,9
2023-10,평일,61,16,73,109,131,146,142,123,119,107,83,63,50,35,29,22,14,8,4,2,66
2023-10,휴일,36,7,33,40,75,112,135,115,109,92,69,47,37,25,21,18,11,7,4,0,27
2023-11,평일,62,18,73,115,136,142,136,116,112,106,81,62,50,37,31,21,13,8,4,2,66
2023-11,휴일,29,8,34,40,73,107,121,103,102,90,64,47,35,24,22,16,11,6,4,1,24
2023-12,평일,59,17,67,107,132,139,141,121,114,106,88,66,58,36,30,20,13,8,4,3,63
2023-12,휴일,24,8,28,31,57,102,123,108,106,97,72,56,39,26,21,18,10,7,4,1,30
