월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,57,17,53,57,64,81,64,63,53,50,47,43,36,31,19,10,7,4,1,,22
2021-07,휴일,40,9,27,39,75,74,52,50,47,40,44,32,27,23,15,9,5,4,1,,9
2021-08,평일,63,18,51,57,61,77,74,65,50,52,47,44,34,27,17,9,6,4,1,,22
2021-08,휴일,42,7,27,36,68,82,63,56,50,50,49,32,32,20,12,8,5,3,1,,9
2021-09,평일,64,16,43,51,65,105,87,77,61,67,58,49,41,29,15,9,7,4,1,,22
2021-09,휴일,42,9,29,44,108,125,94,61,74,70,57,42,35,20,15,6,7,4,0,,8
2021-10,평일,71,17,48,53,74,142,114,94,74,73,65,53,45,36,16,11,8,5,1,,21
2021-10,휴일,46,7,26,45,139,167,134,90,100,82,60,49,38,21,13,9,7,3,1,,10
2021-11,평일,70,16,52,59,83,161,130,99,81,77,62,59,49,38,16,12,7,5,2,,22
2021-11,휴일,42,6,29,53,183,226,161,121,121,100,77,57,40,19,13,7,6,4,2,,8
2021-12,평일,53,13,48,57,63,107,85,76,67,67,52,49,40,34,14,9,9,4,2,,23
2021-12,휴일,31,6,20,38,98,115,83,59,72,67,48,43,37,16,9,5,6,3,1,,8
2022-01,평일,46,11,48,53,58,100,83,78,63,63,50,50,36,29,16,10,11,2,1,0,21
2022-01,휴일,30,6,19,32,98,124,90,74,76,68,55,40,32,17,10,8,10,2,1,0,10
2022-02,평일,47,11,50,55,61,101,82,76,60,65,49,46,32,28,16,10,9,3,1,0,20
2022-02,휴일,32,6,20,34,95,116,98,67,74,72,48,43,38,15,12,9,7,3,0,0,8
2022-03,평일,56,14,54,52,68,111,87,75,63,65,50,47,37,31,12,11,7,3,3,0,23
2022-03,휴일,36,6,24,33,89,109,87,66,71,70,48,41,34,20,9,9,5,2,2,0,8
2022-04,평일,68,15,60,68,91,184,139,104,81,81,64,61,52,40,23,12,10,3,3,0,21
2022-04,휴일,44,6,31,52,171,225,167,119,116,118,106,85,66,32,20,9,8,4,2,0,9
2022-05,평일,71,19,62,76,102,164,125,97,77,76,65,73,68,44,24,15,12,4,2,0,22
2022-05,휴일,43,9,36,58,176,183,169,107,97,91,67,64,58,25,19,10,10,3,2,0,9
2022-06,평일,66,18,66,83,120,143,122,94,76,75,61,65,62,42,20,16,9,4,2,1,22
2022-06,휴일,43,12,42,88,248,179,168,100,88,96,64,70,72,30,20,14,8,4,2,0,8
2022-07,평일,66,18,73,79,86,115,113,107,82,79,68,74,68,71,41,17,12,6,3,1,21
