월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,45,8,36,31,42,46,38,35,32,38,44,46,39,36,23,12,9,3,1,,22
2021-07,휴일,28,4,17,21,31,33,26,22,26,33,33,30,24,22,18,10,6,2,1,,9
2021-08,평일,43,10,31,23,39,44,36,28,30,34,42,42,33,29,19,11,7,3,1,,22
2021-08,휴일,29,9,19,18,30,33,27,19,22,34,37,34,23,22,15,10,4,2,1,,9
2021-09,평일,40,7,31,26,40,50,38,37,38,47,49,46,34,26,15,9,6,2,2,,22
2021-09,휴일,31,7,25,24,46,44,34,25,37,54,45,34,27,20,15,12,4,1,0,,8
2021-10,평일,42,6,34,33,45,59,46,40,47,53,53,44,35,23,13,8,5,3,1,,21
2021-10,휴일,21,5,19,22,38,48,36,32,39,55,42,37,29,14,9,6,4,1,0,,10
2021-11,평일,43,4,28,32,41,57,39,36,45,54,46,40,29,20,9,5,6,2,1,,22
2021-11,휴일,19,4,14,21,41,44,35,30,41,49,44,32,23,12,8,5,4,3,1,,8
2021-12,평일,30,2,24,27,35,42,29,30,37,43,35,29,21,13,5,4,3,1,1,,23
2021-12,휴일,14,2,11,14,21,29,18,20,27,36,32,17,11,5,4,3,3,1,0,,8
2022-01,평일,20,2,18,24,33,40,31,27,37,42,34,28,18,12,5,3,2,1,0,0,21
2022-01,휴일,11,2,8,12,21,43,28,19,38,40,30,19,14,7,4,2,1,1,0,0,10
2022-02,평일,18,2,17,25,31,41,31,32,42,42,35,26,20,12,4,4,2,0,0,0,20
2022-02,휴일,11,2,6,15,26,41,30,28,37,43,32,22,16,9,5,4,1,0,0,0,8
2022-03,평일,19,2,16,26,37,45,37,31,46,50,40,32,23,17,8,4,2,1,1,0,23
2022-03,휴일,11,1,6,13,20,28,27,25,35,51,38,24,15,11,7,3,1,0,1,0,8
2022-04,평일,24,3,24,29,46,66,49,41,51,61,47,37,25,21,9,6,4,2,1,0,21
2022-04,휴일,17,3,12,21,41,71,56,41,58,69,54,34,21,15,10,7,4,1,1,0,9
2022-05,평일,26,4,27,33,49,60,45,34,51,50,40,34,28,25,12,8,4,2,2,0,22
2022-05,휴일,18,3,15,19,45,56,46,36,40,47,39,29,23,17,9,8,4,1,1,0,9
2022-06,평일,25,5,30,38,66,68,46,34,39,42,37,29,24,23,11,8,4,2,1,0,22
2022-06,휴일,20,4,14,23,66,66,42,34,40,41,35,30,22,13,11,9,4,2,2,0,8
2022-07,평일,29,5,26,29,39,35,25,23,28,28,26,22,20,22,11,8,4,2,1,0,21
2022-07,휴일,21,4,15,20,35,32,21,18,21,25,21,19,13,15,11,8,4,2,1,0,10
2022-08,평일,25,5,27,26,35,35,27,21,29,27,26,22,20,18,9,6,4,3,1,0,23
2022-08,휴일,18,3,18,19,30,35,25,16,24,28,25,16,20,15,12,8,4,2,1,0,8
2022-09,평일,24,4,27,32,44,42,32,27,37,33,31,27,25,22,7,7,4,3,1,0,22
2022-09,휴일,16,2,14,24,48,39,38,27,32,38,34,28,21,19,10,8,4,1,0,1,8
2022-10,평일,28,2,27,33,45,45,37,28,40,43,33,32,26,21,8,6,4,3,1,0,21
2022-10,휴일,20,1,15,21,43,44,28,24,35,38,35,31,26,32,28,10,4,2,1,0,10
2022-11,평일,23,1,30,28,48,47,38,31,42,41,33,29,22,18,7,6,4,2,0,0,22
2022-11,휴일,17,0,11,18,36,47,29,29,34,46,31,26,16,10,6,5,2,0,1,0,8
2022-12,평일,19,2,21,26,29,40,26,23,33,32,29,20,15,11,4,5,3,2,0,0,22
2022-12,휴일,9,1,10,12,28,41,20,17,25,31,27,19,9,6,6,5,2,1,1,0,9
2023-01,평일,15,2,21,23,29,39,25,25,35,36,29,20,17,12,5,4,3,1,1,0,22
2023-01,휴일,7,1,12,10,25,36,18,16,25,28,27,15,11,7,5,4,2,1,1,0,9
2023-02,평일,21,6,27,27,35,54,35,29,44,41,38,31,22,17,6,5,4,1,1,0,20
2023-02,휴일,11,4,12,13,31,42,30,26,36,46,33,28,16,13,6,6,4,2,0,1,8
2023-03,평일,24,14,29,31,44,61,40,37,49,51,41,33,25,19,9,5,4,2,1,0,23
2023-03,휴일,14,10,14,14,37,54,36,28,44,47,34,26,17,14,8,7,3,0,1,0,8
2023-04,평일,33,16,32,30,45,61,40,34,46,40,38,33,24,20,8,6,4,2,1,0,20
2023-04,휴일,15,10,18,23,49,60,53,36,53,51,41,35,21,14,10,8,3,2,1,1,10
2023-05,평일,32,6,30,38,50,58,41,37,50,41,38,32,27,22,13,9,4,2,1,0,23
2023-05,휴일,17,2,13,18,41,41,36,25,34,36,32,26,22,15,9,8,3,1,1,1,8
2023-06,평일,35,7,34,46,78,73,40,37,46,39,35,31,27,26,14,8,5,2,0,0,22
2023-06,휴일,25,5,20,31,79,86,44,28,43,44,35,29,24,27,17,13,5,2,1,0,8
2023-07,평일,30,6,31,29,39,37,25,21,30,27,25,21,20,21,12,7,5,2,1,0,21
2023-07,휴일,18,4,16,18,35,28,23,17,28,28,28,23,14,14,11,6,3,2,1,1,10
2023-08,평일,28,7,27,26,37,31,22,22,25,24,23,21,20,21,10,5,5,2,1,0,23
2023-08,휴일,19,5,15,19,36,31,19,18,21,22,23,18,20,14,9,6,6,2,1,0,8
2023-09,평일,29,7,33,31,43,44,29,30,36,33,29,27,23,23,10,6,4,2,1,1,21
2023-09,휴일,19,5,18,25,49,45,36,27,30,33,31,25,25,17,12,7,4,1,1,0,9
2023-10,평일,26,6,34,32,52,50,38,37,45,48,38,33,28,22,10,7,5,1,1,0,22
2023-10,휴일,14,4,14,19,40,39,31,30,38,43,47,33,32,33,28,10,5,2,1,1,9
2023-11,평일,29,5,33,26,41,38,32,30,37,37,32,28,20,15,6,6,4,1,1,0,22
2023-11,휴일,14,2,12,14,37,34,22,24,29,32,27,23,15,9,5,4,3,1,0,1,8
2023-12,평일,24,5,26,22,31,37,25,27,32,31,26,25,17,13,6,5,3,2,1,0,21
2023-12,휴일,13,2,8,10,33,36,19,19,26,26,27,19,15,7,5,6,3,1,0,1,10
