월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,124,40,111,112,86,96,98,87,87,85,92,100,95,78,46,26,19,9,4,,22
2021-07,휴일,61,18,40,39,42,58,56,57,54,50,55,51,55,44,27,23,14,9,4,,9
2021-08,평일,118,38,104,102,86,100,98,81,83,85,94,100,92,74,44,24,17,7,3,,22
2021-08,휴일,62,16,36,35,37,52,54,57,48,53,58,58,57,49,28,19,12,7,3,,9
2021-09,평일,117,36,101,104,96,103,104,97,89,92,108,107,94,81,50,24,18,10,5,,22
2021-09,휴일,64,17,39,38,46,71,70,69,63,62,69,68,61,56,38,22,15,8,4,,8
2021-10,평일,125,37,105,118,109,117,114,105,95,102,121,126,107,90,50,25,19,9,6,,21
2021-10,휴일,60,14,37,45,45,77,72,81,70,71,87,79,74,56,37,22,16,7,6,,10
2021-11,평일,127,38,111,122,103,122,122,110,103,111,125,125,115,91,48,26,20,10,6,,22
2021-11,휴일,62,14,39,42,58,86,75,88,82,85,93,94,80,63,34,25,19,9,6,,8
2021-12,평일,132,38,108,115,90,108,102,101,105,109,123,115,105,83,45,23,21,9,5,,23
2021-12,휴일,61,13,36,52,50,91,56,62,72,64,79,73,65,48,30,17,11,8,5,,8
2022-01,평일,126,35,109,103,87,101,111,88,97,101,117,116,102,80,41,25,21,8,3,0,21
2022-01,휴일,56,11,30,39,41,61,58,66,61,60,70,66,62,38,26,17,14,7,5,0,10
2022-02,평일,118,32,103,110,88,97,94,83,89,100,110,105,96,71,40,23,21,8,4,0,20
2022-02,휴일,59,13,36,40,45,62,56,64,60,60,69,66,64,43,30,16,14,8,3,0,8
2022-03,평일,125,31,114,111,94,97,95,84,93,100,108,102,100,74,45,20,19,9,6,0,23
2022-03,휴일,61,14,36,40,45,60,61,55,59,61,74,67,67,46,31,20,13,7,5,0,8
2022-04,평일,137,35,126,124,107,123,124,108,99,108,125,119,123,91,55,28,25,13,8,0,21
2022-04,휴일,70,14,45,47,63,91,79,78,80,79,85,84,78,65,47,28,21,13,7,0,9
2022-05,평일,150,38,126,117,111,126,127,119,109,109,132,123,126,99,56,33,27,13,9,0,22
2022-05,휴일,71,15,46,46,61,100,96,77,77,80,91,96,89,63,45,33,24,12,6,0,9
2022-06,평일,145,38,125,118,110,129,124,117,104,109,119,121,109,91,54,30,28,15,9,2,22
2022-06,휴일,76,15,46,61,76,126,102,92,87,84,93,91,100,60,48,35,24,13,8,0,8
2022-07,평일,155,40,127,123,114,129,109,109,105,103,110,114,116,88,52,31,26,14,11,3,21
2022-07,휴일,70,16,45,45,65,86,71,68,65,66,66,71,76,53,40,33,25,15,6,0,10
2022-08,평일,149,38,124,113,109,113,103,102,100,102,105,108,107,83,49,29,28,13,8,3,23
2022-08,휴일,83,15,48,41,59,86,74,66,67,65,73,72,72,56,44,29,24,13,7,0,8
2022-09,평일,158,36,116,116,111,123,117,113,107,109,120,119,113,88,56,35,25,15,9,3,22
2022-09,휴일,70,11,40,46,55,79,73,73,73,67,80,74,76,54,44,30,20,13,6,0,8
2022-10,평일,158,36,120,133,117,127,121,119,109,117,129,127,122,92,58,33,25,15,10,3,21
