월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,38,28,77,80,116,140,149,138,129,156,190,189,184,161,117,68,48,37,16,,22
2021-07,휴일,30,26,55,57,61,84,84,93,87,91,104,107,114,92,77,43,34,27,9,,9
2021-08,평일,36,25,73,78,112,142,150,135,139,161,181,188,172,160,121,68,45,34,15,,22
2021-08,휴일,29,24,51,55,64,73,78,85,86,93,113,118,115,99,73,40,32,25,11,,9
2021-09,평일,37,23,70,77,110,132,158,143,152,165,204,202,183,160,120,69,52,37,19,,22
2021-09,휴일,34,21,50,57,77,89,110,99,115,117,138,130,142,121,89,50,33,28,11,,8
2021-10,평일,35,23,78,80,116,131,165,153,164,182,222,232,209,181,129,75,50,41,20,,21
2021-10,휴일,35,20,51,46,72,78,100,114,102,123,146,148,150,128,82,56,38,35,17,,10
2021-11,평일,34,26,79,84,112,128,156,156,164,181,232,237,210,176,120,78,50,41,22,,22
2021-11,휴일,30,22,50,50,66,86,95,105,118,137,162,154,164,130,81,52,38,34,18,,8
2021-12,평일,33,25,72,78,101,132,159,155,160,190,229,223,192,157,114,68,50,36,18,,23
2021-12,휴일,27,23,38,42,48,72,80,91,105,110,127,122,121,90,63,43,30,26,12,,8
2022-01,평일,29,25,64,71,94,128,147,153,155,186,218,217,197,154,112,71,51,32,18,0,21
2022-01,휴일,25,23,41,43,58,74,96,104,106,116,140,136,126,99,63,42,33,25,10,0,10
2022-02,평일,30,24,63,74,90,118,138,139,149,163,206,212,176,153,110,65,43,32,17,0,20
2022-02,휴일,26,21,43,47,58,73,92,105,108,113,137,133,125,93,70,45,34,24,10,0,8
2022-03,평일,31,24,70,80,100,122,143,146,152,170,211,214,187,161,115,66,48,35,19,0,23
2022-03,휴일,25,22,43,47,54,75,89,90,102,108,129,145,124,98,75,45,35,26,15,0,8
2022-04,평일,38,27,73,91,113,140,163,164,174,179,243,241,216,187,136,82,57,41,20,0,21
2022-04,휴일,31,24,48,58,71,84,94,107,118,130,157,166,152,136,94,72,48,36,16,0,9
2022-05,평일,41,27,72,98,121,144,182,172,173,197,249,267,228,193,146,95,69,42,25,0,22
2022-05,휴일,31,23,48,57,66,92,97,119,129,144,160,163,167,140,103,71,59,37,18,0,9
2022-06,평일,41,27,70,95,119,143,174,173,177,194,243,241,228,180,144,93,64,43,22,5,22
2022-06,휴일,36,24,47,59,83,91,104,118,122,143,162,167,164,144,109,74,59,37,20,2,8
2022-07,평일,42,28,79,102,129,157,183,182,177,197,230,250,225,186,146,90,69,44,20,4,21
2022-07,휴일,37,25,53,65,76,97,101,115,114,124,145,147,156,130,98,74,54,37,15,2,10
2022-08,평일,36,25,70,100,119,142,172,168,169,188,222,233,208,176,136,85,58,39,18,4,23
2022-08,휴일,33,22,53,59,80,106,105,115,123,120,148,145,144,129,90,73,48,37,14,1,8
2022-09,평일,39,26,73,100,129,149,185,181,186,202,237,261,226,186,148,89,61,41,21,5,22
2022-09,휴일,31,23,47,56,80,90,94,108,117,129,139,153,146,134,94,74,50,32,14,2,8
2022-10,평일,37,27,75,95,124,151,182,177,186,208,256,285,238,202,147,94,66,41,23,4,21
2022-10,휴일,35,23,52,58,78,97,108,119,128,142,177,177,181,152,112,81,67,37,17,1,10
2022-11,평일,35,28,74,100,120,148,185,179,197,213,248,283,235,189,141,93,63,43,19,4,22
2022-11,휴일,29,23,48,58,72,96,98,113,114,164,172,178,164,141,95,67,57,36,15,1,8
2022-12,평일,33,27,73,87,110,142,159,184,190,218,256,267,216,178,137,92,68,46,24,6,22
2022-12,휴일,27,26,49,52,66,89,95,115,122,143,161,173,160,136,86,73,60,38,17,3,9
2023-01,평일,34,28,64,79,106,130,159,168,178,209,230,253,218,176,128,82,61,37,20,5,22
2023-01,휴일,29,25,43,49,62,84,83,96,112,119,145,141,136,99,70,50,45,28,15,2,9
2023-02,평일,36,44,75,91,116,151,178,187,196,228,264,292,262,198,150,97,75,44,21,7,20
2023-02,휴일,34,40,53,63,72,105,105,120,139,155,187,191,170,151,109,80,53,35,18,1,8
2023-03,평일,40,73,76,96,127,153,183,188,196,238,280,289,259,211,161,104,75,48,26,7,23
2023-03,휴일,36,56,49,60,83,107,112,120,134,158,188,192,194,150,115,80,66,42,22,2,8
2023-04,평일,47,68,75,101,138,158,182,191,204,227,279,285,254,205,162,111,82,51,26,6,20
