월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,77,28,82,115,122,116,111,102,99,99,103,107,99,89,47,31,24,15,8,,22
2021-07,휴일,47,13,35,38,47,49,55,66,61,48,51,54,54,50,35,24,19,12,6,,9
2021-08,평일,80,28,84,108,123,109,122,108,103,100,106,106,94,86,48,28,22,14,5,,22
2021-08,휴일,45,14,31,36,51,47,56,64,56,48,51,53,61,43,34,21,17,12,4,,9
2021-09,평일,72,26,78,103,117,115,119,111,112,111,112,120,111,86,48,32,28,18,7,,22
2021-09,휴일,46,14,33,36,54,59,74,80,68,63,74,78,68,56,37,28,20,14,6,,8
2021-10,평일,78,26,86,112,137,124,140,125,123,124,133,144,128,97,54,36,27,20,7,,21
2021-10,휴일,42,13,29,40,51,59,79,87,70,69,69,88,84,61,39,33,22,15,5,,10
2021-11,평일,80,24,90,117,142,126,146,129,132,128,136,144,143,100,54,35,31,18,11,,22
2021-11,휴일,47,13,32,42,56,68,79,92,82,78,84,95,95,64,42,31,20,16,7,,8
2021-12,평일,78,26,78,108,122,119,137,120,117,120,125,139,128,93,51,33,29,18,8,,23
2021-12,휴일,42,13,28,34,42,59,68,72,67,63,65,73,68,47,30,23,21,11,6,,8
2022-01,평일,76,27,74,108,115,112,132,122,123,118,124,134,117,87,53,38,29,13,5,0,21
2022-01,휴일,39,13,26,36,45,61,62,71,74,69,73,80,65,52,33,27,21,10,3,0,10
2022-02,평일,71,28,69,99,114,108,118,111,113,106,112,125,110,89,51,33,25,14,5,0,20
2022-02,휴일,45,14,24,36,48,59,63,81,73,62,73,72,64,52,36,26,18,12,3,0,8
2022-03,평일,68,28,68,100,107,108,118,111,105,106,109,123,109,92,53,32,26,14,8,0,23
2022-03,휴일,43,15,26,36,44,55,58,68,64,59,64,69,62,50,40,26,14,10,6,0,8
2022-04,평일,74,30,75,112,126,120,128,126,121,128,130,138,133,113,60,40,35,20,9,0,21
2022-04,휴일,48,14,28,42,58,67,89,91,80,74,86,86,94,66,49,36,26,17,8,0,9
