월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,50,13,59,102,168,177,173,161,161,157,218,192,174,126,80,46,29,21,7,,22
2021-07,휴일,32,10,32,58,79,123,109,134,94,110,99,121,98,89,57,36,20,16,7,,9
2021-08,평일,50,12,52,94,156,177,181,165,165,162,225,192,171,125,80,44,30,16,7,,22
2021-08,휴일,34,10,29,46,69,114,105,131,106,113,119,133,113,88,51,33,19,16,6,,9
2021-09,평일,51,14,50,91,149,179,193,181,194,194,241,204,179,123,76,43,33,21,8,,22
2021-09,휴일,33,10,35,55,84,161,157,165,140,163,158,168,137,101,64,39,25,18,7,,8
2021-10,평일,53,13,58,93,152,184,215,202,214,214,257,229,191,129,73,45,38,23,11,,21
2021-10,휴일,34,10,31,48,73,135,130,168,137,159,150,177,138,100,57,44,27,18,11,,10
2021-11,평일,52,15,67,93,154,171,213,203,213,222,272,225,193,124,72,41,38,20,14,,22
2021-11,휴일,33,9,32,44,74,137,130,168,135,169,160,177,138,101,58,38,27,19,11,,8
2021-12,평일,50,12,57,83,136,154,198,194,194,203,258,217,167,113,68,41,33,19,8,,23
2021-12,휴일,32,8,27,35,57,112,97,144,117,134,119,140,92,70,43,29,22,16,7,,8
2022-01,평일,45,11,53,83,126,152,190,197,204,207,266,213,172,112,60,42,35,19,6,0,21
2022-01,휴일,28,9,26,36,62,123,123,163,142,164,150,158,106,73,44,34,25,18,3,0,10
2022-02,평일,40,11,49,75,120,139,169,168,179,180,230,185,160,105,58,38,31,20,8,0,20
2022-02,휴일,29,9,26,40,62,113,102,146,124,137,136,136,104,78,51,29,26,17,8,0,8
2022-03,평일,43,13,54,85,131,162,187,185,194,189,244,203,173,119,63,38,27,21,12,0,23
2022-03,휴일,26,10,30,39,66,105,113,128,119,132,131,127,124,86,48,31,20,17,9,0,8
2022-04,평일,46,16,67,89,156,176,203,196,202,202,259,226,195,136,78,45,35,26,16,0,21
2022-04,휴일,26,11,36,47,83,134,135,156,138,147,154,151,148,110,72,44,26,24,12,0,9
2022-05,평일,52,16,67,95,169,187,211,207,208,210,266,236,208,140,89,57,39,26,15,0,22
2022-05,휴일,31,11,36,50,82,139,138,155,148,142,150,153,148,116,75,53,31,27,12,0,9
2022-06,평일,56,16,62,92,160,172,200,201,187,194,249,225,195,137,82,53,43,25,16,1,22
2022-06,휴일,32,12,37,52,84,144,149,163,144,144,152,159,146,112,80,49,37,23,14,0,8
2022-07,평일,59,16,65,97,172,176,209,195,187,179,242,237,203,145,84,52,44,26,16,2,21
2022-07,휴일,34,11,39,53,96,137,131,138,124,109,125,153,136,107,68,46,31,20,16,0,10
2022-08,평일,55,15,63,91,166,174,201,192,183,180,245,223,184,134,79,45,35,24,16,1,23
2022-08,휴일,30,10,36,56,98,143,142,144,124,124,137,151,147,118,76,41,28,22,14,0,8
2022-09,평일,58,16,70,92,163,178,220,218,209,209,276,245,202,149,83,48,35,25,16,2,22
2022-09,휴일,28,10,37,49,85,122,134,145,129,136,147,160,147,106,72,42,26,19,14,0,8
2022-10,평일,57,16,72,95,159,175,222,221,221,227,288,247,208,148,83,52,39,25,17,2,21
2022-10,휴일,35,11,41,56,88,136,149,165,152,163,170,172,159,123,72,54,38,21,14,0,10
2022-11,평일,61,18,65,97,173,182,230,242,232,229,313,253,207,132,72,47,33,25,15,2,22
2022-11,휴일,34,10,34,54,76,137,160,162,156,164,161,163,146,103,65,44,28,18,12,0,8
2022-12,평일,58,16,56,90,139,155,210,222,215,223,301,243,188,126,69,47,38,24,15,2,22
2022-12,휴일,32,10,31,42,67,108,144,169,146,141,165,158,144,98,58,46,29,19,13,1,9
2023-01,평일,54,15,50,78,132,159,199,218,222,227,278,228,190,118,65,42,33,21,15,1,22
2023-01,휴일,32,10,28,41,63,118,117,141,137,152,145,138,120,83,47,33,22,15,12,0,9
2023-02,평일,58,27,53,90,143,166,220,233,232,234,319,258,224,143,83,51,36,24,13,2,20
2023-02,휴일,36,16,32,47,72,132,151,177,172,173,177,176,158,114,66,40,28,19,12,0,8
2023-03,평일,61,51,61,91,163,172,226,240,243,235,312,274,223,148,88,51,42,26,15,2,23
2023-03,휴일,36,32,34,54,83,141,156,164,170,174,191,188,169,126,82,54,33,22,14,0,8
2023-04,평일,67,52,62,98,199,186,218,234,253,229,302,263,228,157,96,56,46,30,15,2,20
2023-04,휴일,39,36,37,60,104,143,152,173,168,152,183,188,172,138,88,52,38,27,13,0,10
2023-05,평일,67,14,68,103,198,191,217,227,228,225,285,255,227,150,97,56,42,29,15,2,23
2023-05,휴일,39,10,39,54,100,140,152,148,156,149,160,174,154,122,72,58,34,23,13,0,8
2023-06,평일,73,15,70,102,207,192,213,223,229,206,295,253,215,154,92,57,47,31,15,2,22
2023-06,휴일,40,11,43,60,123,148,163,162,158,150,163,171,169,124,86,60,41,25,14,0,8
2023-07,평일,68,13,68,110,202,182,203,197,210,195,260,234,212,152,94,56,42,28,14,2,21
2023-07,휴일,42,8,39,64,113,147,136,146,134,129,147,146,149,105,66,49,33,18,12,0,10
2023-08,평일,63,13,67,102,181,175,192,185,196,182,251,225,205,140,93,56,38,26,13,1,23
2023-08,휴일,36,10,37,62,104,149,138,147,128,136,138,153,155,119,79,52,37,23,10,0,8
