월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,35,11,39,72,77,102,116,102,96,114,158,160,141,133,91,54,38,32,12,,22
2021-07,휴일,27,9,29,35,52,62,76,75,72,77,81,85,87,74,62,40,28,25,10,,9
2021-08,평일,32,9,39,68,76,100,115,103,103,112,159,156,134,123,87,50,34,26,7,,22
2021-08,휴일,25,7,24,34,47,71,71,78,75,79,84,90,87,85,56,39,24,25,6,,9
2021-09,평일,31,9,35,62,71,94,108,108,108,126,170,163,144,123,88,51,42,31,9,,22
2021-09,휴일,28,9,26,41,52,81,94,90,91,105,102,106,101,96,68,43,32,28,7,,8
2021-10,평일,36,10,36,66,71,94,117,112,121,137,179,183,165,144,90,53,45,33,9,,21
2021-10,휴일,29,9,25,37,50,73,96,103,107,119,118,128,118,99,61,42,37,30,11,,10
2021-11,평일,32,12,36,65,64,90,111,118,119,129,183,188,167,143,93,54,43,31,14,,22
2021-11,휴일,27,10,28,33,56,90,96,107,103,123,122,124,124,98,65,45,37,27,14,,8
2021-12,평일,28,12,36,62,62,86,110,116,116,129,176,173,160,135,81,49,46,29,11,,23
2021-12,휴일,21,8,27,26,44,68,74,81,89,102,95,102,102,78,60,33,33,21,10,,8
2022-01,평일,30,12,34,58,61,80,111,113,113,125,177,170,153,125,92,51,46,28,8,0,21
2022-01,휴일,22,6,23,29,46,69,88,86,93,97,105,104,99,74,57,31,34,23,8,0,10
2022-02,평일,33,11,30,56,56,78,102,102,106,118,170,155,143,121,82,52,39,27,9,0,20
2022-02,휴일,26,8,24,28,49,72,76,93,101,92,112,105,104,82,55,33,32,27,9,0,8
2022-03,평일,32,11,34,57,63,84,108,106,119,122,169,167,156,115,86,51,37,30,13,0,23
2022-03,휴일,27,8,24,36,48,84,86,87,101,90,94,111,103,83,59,36,28,23,13,0,8
2022-04,평일,35,10,36,63,73,95,121,117,126,126,188,185,184,146,104,65,48,34,16,0,21
2022-04,휴일,27,7,32,39,55,77,80,93,91,102,120,131,128,105,73,53,39,30,16,0,9
2022-05,평일,33,11,39,62,82,110,134,126,131,141,188,193,192,149,108,69,55,37,19,0,22
