월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,64,14,70,152,134,161,167,160,145,155,225,251,219,191,134,76,52,37,16,,22
2021-07,휴일,53,9,49,67,96,110,123,113,101,104,117,132,132,107,80,54,38,32,10,,9
2021-08,평일,62,12,71,154,132,165,176,160,159,178,236,260,211,175,130,69,50,36,12,,22
2021-08,휴일,50,8,53,72,87,106,110,120,104,110,122,134,133,114,81,51,40,34,11,,9
2021-09,평일,61,13,77,147,128,162,171,166,170,184,240,257,216,173,127,70,55,41,14,,22
2021-09,휴일,52,10,57,83,97,134,137,142,128,138,158,157,163,130,88,60,49,33,12,,8
2021-10,평일,70,15,84,153,132,160,183,179,169,200,263,282,242,194,127,75,61,43,18,,21
2021-10,휴일,55,10,54,70,95,120,135,146,132,142,158,178,160,137,84,59,49,40,10,,10
2021-11,평일,72,14,85,163,132,163,183,190,182,203,281,281,249,181,128,73,58,41,17,,22
2021-11,휴일,57,11,58,73,95,122,138,145,127,145,162,174,176,127,88,58,48,40,11,,8
2021-12,평일,72,12,82,137,125,157,180,195,185,206,266,264,240,163,110,66,60,39,16,,23
2021-12,휴일,54,7,46,58,74,108,110,129,128,124,148,142,132,96,66,48,42,37,9,,8
2022-01,평일,65,9,79,137,116,154,175,192,173,195,256,261,215,162,114,66,61,39,13,0,21
2022-01,휴일,50,6,45,58,72,110,122,141,130,127,149,160,133,103,65,45,49,29,10,0,10
2022-02,평일,66,9,75,125,112,140,158,169,168,176,243,246,194,160,110,62,59,35,14,0,20
2022-02,휴일,52,7,48,71,83,107,113,139,117,130,142,146,136,103,72,50,45,32,13,0,8
2022-03,평일,65,11,84,135,128,142,176,179,176,189,245,262,209,169,113,64,58,33,19,0,23
2022-03,휴일,50,7,51,73,76,111,113,132,122,124,141,146,134,114,73,45,48,27,12,0,8
2022-04,평일,77,13,92,157,140,161,190,194,192,200,271,290,250,198,144,76,69,44,17,0,21
2022-04,휴일,59,10,58,84,90,117,141,148,142,145,165,187,182,144,99,71,59,38,15,0,9
2022-05,평일,82,12,95,174,153,166,188,205,203,207,273,297,258,216,154,86,77,50,19,0,22
2022-05,휴일,63,8,56,84,93,131,126,155,140,157,180,193,180,157,110,81,62,45,17,0,9
2022-06,평일,80,11,89,176,157,171,187,194,187,206,260,282,238,198,146,91,72,49,19,2,22
2022-06,휴일,60,8,63,91,103,135,144,160,145,154,170,188,179,151,114,81,74,49,18,1,8
2022-07,평일,83,12,97,185,170,184,192,204,192,206,261,292,251,206,153,87,73,49,19,3,21
2022-07,휴일,64,9,61,84,103,128,139,145,132,132,154,182,177,142,105,71,64,45,15,1,10
