월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,31,13,41,57,84,102,94,81,92,88,73,78,51,36,20,10,8,3,2,,22
2021-07,휴일,35,11,22,34,60,73,72,69,80,67,53,49,36,28,17,9,7,3,2,,9
2021-08,평일,34,12,38,59,82,98,96,80,94,96,73,75,48,30,18,9,6,3,2,,22
2021-08,휴일,35,13,19,32,60,80,83,78,81,73,61,54,40,25,20,9,4,3,2,,9
2021-09,평일,32,14,31,58,84,110,106,94,112,102,83,80,44,30,18,9,7,4,3,,22
2021-09,휴일,33,15,24,39,79,116,112,107,86,87,70,59,41,33,15,8,5,3,2,,8
2021-10,평일,36,11,36,65,87,125,127,112,133,111,94,86,52,32,18,8,7,5,3,,21
2021-10,휴일,33,12,21,35,71,96,106,116,100,98,76,61,40,24,15,10,7,4,3,,10
2021-11,평일,36,11,35,63,83,111,125,126,139,112,95,86,50,30,19,8,7,5,4,,22
2021-11,휴일,38,9,21,29,55,72,91,102,92,93,72,65,43,30,12,8,4,5,4,,8
2021-12,평일,32,10,29,53,63,90,102,113,127,98,91,80,46,31,16,9,6,5,3,,23
2021-12,휴일,29,8,16,23,40,64,87,92,99,84,69,49,32,23,14,7,6,6,3,,8
2022-01,평일,31,8,26,54,71,96,106,132,136,103,99,77,45,32,17,11,9,3,2,0,21
2022-01,휴일,32,8,16,24,46,73,100,103,108,85,69,60,40,23,14,8,9,2,3,0,10
2022-02,평일,30,7,22,52,61,83,92,112,121,96,91,72,45,33,16,11,8,4,2,0,20
2022-02,휴일,33,7,15,25,40,65,83,91,91,73,61,55,40,28,18,8,6,4,2,0,8
2022-03,평일,27,10,28,56,78,110,111,136,135,104,94,79,47,35,19,9,6,4,2,0,23
2022-03,휴일,30,7,16,22,36,55,66,71,81,73,58,47,40,25,13,8,6,3,2,0,8
2022-04,평일,33,10,31,67,97,126,121,145,145,112,109,90,59,44,20,13,8,5,2,0,21
2022-04,휴일,37,11,25,44,71,114,136,128,128,109,88,70,50,31,23,16,8,5,2,0,9
2022-05,평일,37,10,32,71,98,135,120,142,135,103,116,92,60,49,24,14,10,5,2,0,22
2022-05,휴일,42,10,29,47,76,123,134,109,117,98,82,74,55,37,25,13,10,6,3,0,9
2022-06,평일,38,11,28,71,90,120,125,121,114,96,104,91,63,43,22,14,12,6,1,2,22
2022-06,휴일,49,13,34,51,81,120,138,122,115,110,80,74,55,38,30,14,9,6,2,0,8
2022-07,평일,39,12,34,70,96,117,115,110,101,94,103,94,74,42,23,13,11,6,2,2,21
2022-07,휴일,40,10,26,40,67,96,107,98,99,74,70,76,56,35,26,15,10,5,2,0,10
2022-08,평일,37,11,36,69,96,116,121,111,109,96,103,94,64,39,21,12,10,4,2,1,23
