월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,66,14,77,95,147,146,139,124,129,143,178,178,186,152,108,67,48,34,13,,22
2021-07,휴일,43,13,34,42,62,76,76,84,72,70,81,95,94,83,60,44,37,21,11,,9
2021-08,평일,62,13,72,98,140,146,142,136,133,151,178,184,173,150,101,67,47,28,10,,22
2021-08,휴일,44,10,32,41,56,72,83,81,69,70,84,95,101,84,62,44,39,21,10,,9
2021-09,평일,58,11,71,93,133,144,152,145,152,162,190,196,178,159,100,66,50,30,12,,22
2021-09,휴일,44,12,36,42,71,89,93,94,80,90,110,122,119,103,76,50,43,25,12,,8
2021-10,평일,60,12,75,103,147,163,165,160,167,179,221,229,216,176,110,72,55,31,14,,21
2021-10,휴일,40,12,41,47,77,89,96,96,92,96,116,138,143,104,78,52,44,26,12,,10
2021-11,평일,64,13,79,103,150,147,160,151,166,178,226,239,211,176,109,76,58,31,15,,22
2021-11,휴일,45,12,38,55,78,99,94,98,99,112,127,146,145,106,81,58,43,25,14,,8
2021-12,평일,57,13,75,91,147,146,151,143,163,171,216,218,197,154,100,64,48,29,10,,23
2021-12,휴일,37,11,32,42,70,92,74,86,86,86,104,115,104,83,59,42,35,18,10,,8
2022-01,평일,56,12,72,93,135,139,146,138,150,169,209,228,186,159,108,65,51,26,7,0,21
2022-01,휴일,37,12,31,39,70,84,78,94,88,93,110,124,108,84,64,43,36,19,6,0,10
2022-02,평일,55,13,68,92,128,133,136,130,138,152,192,199,168,155,105,61,50,25,8,0,20
2022-02,휴일,35,13,38,57,88,107,84,104,99,89,110,121,114,78,72,38,38,22,7,0,8
2022-03,평일,54,15,73,85,132,135,133,137,144,160,192,208,177,166,105,62,48,29,11,0,23
2022-03,휴일,36,13,30,41,66,80,75,97,79,89,101,114,112,83,69,37,32,24,11,0,8
2022-04,평일,60,18,79,94,136,148,152,149,157,183,225,232,205,194,125,79,60,36,14,0,21
2022-04,휴일,41,15,35,49,66,90,81,104,99,104,130,149,151,121,92,67,50,31,13,0,9
2022-05,평일,65,19,85,98,138,164,152,162,166,198,232,249,223,200,130,89,70,46,19,0,22
2022-05,휴일,42,16,34,53,79,112,93,119,116,109,139,156,150,127,94,75,65,29,15,0,9
2022-06,평일,59,18,82,96,134,157,148,161,174,183,225,240,221,193,131,82,70,45,16,3,22
2022-06,휴일,42,16,37,59,79,109,93,117,112,130,141,154,149,126,107,79,61,43,16,1,8
2022-07,평일,61,19,84,101,147,154,148,150,159,177,215,236,225,187,134,83,74,50,15,3,21
2022-07,휴일,39,16,37,48,82,100,91,106,100,105,112,144,143,114,92,66,56,32,14,1,10
2022-08,평일,58,17,78,94,133,141,141,144,151,168,209,215,211,177,124,72,61,40,13,3,23
2022-08,휴일,41,16,34,46,80,97,92,113,93,104,115,129,141,120,86,68,58,32,12,1,8
2022-09,평일,58,18,79,97,140,140,148,161,169,185,222,235,219,194,133,79,70,45,16,3,22
2022-09,휴일,36,14,36,41,74,90,85,95,91,107,128,137,151,116,106,65,52,30,15,2,8
2022-10,평일,63,17,85,101,142,163,166,170,188,199,255,265,251,209,140,85,71,46,16,3,21
2022-10,휴일,46,16,35,52,86,105,96,112,116,126,148,177,180,148,111,81,67,42,14,2,10
2022-11,평일,59,18,86,106,146,156,156,170,187,202,248,267,251,206,130,83,71,46,19,4,22
2022-11,휴일,44,17,34,49,83,110,84,99,114,136,156,173,162,127,104,67,62,38,17,1,8
2022-12,평일,58,19,80,101,133,146,154,158,183,204,250,253,236,191,127,85,73,49,20,6,22
2022-12,휴일,37,14,31,48,76,92,91,112,103,120,154,171,157,114,102,72,56,37,20,2,9
2023-01,평일,50,18,68,96,120,141,146,151,168,185,224,242,208,186,122,73,57,42,18,5,22
2023-01,휴일,31,14,25,37,65,94,75,93,103,106,120,136,123,92,75,49,43,25,12,1,9
