월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,67,25,57,39,45,51,54,48,40,39,50,44,42,37,20,13,10,6,3,,22
2021-07,휴일,33,9,21,23,27,38,33,32,32,25,24,25,23,23,16,10,8,4,1,,9
2021-08,평일,60,25,59,36,43,49,54,49,39,40,48,46,43,35,18,14,10,5,2,,22
2021-08,휴일,29,11,20,19,26,37,30,35,33,26,28,30,26,24,17,10,6,4,1,,9
2021-09,평일,56,23,61,37,48,62,71,63,55,58,59,53,44,37,18,15,8,4,2,,22
2021-09,휴일,28,11,22,25,39,51,57,44,45,40,36,41,34,30,15,11,9,4,1,,8
2021-10,평일,58,26,66,39,50,81,103,83,67,67,66,63,54,38,21,14,11,4,2,,21
2021-10,휴일,30,11,24,25,43,94,81,72,63,58,48,44,33,30,17,10,10,5,1,,10
2021-11,평일,63,30,69,42,54,82,118,89,72,62,72,68,60,38,20,15,9,6,3,,22
2021-11,휴일,30,13,24,29,40,83,95,70,67,68,53,57,39,30,22,13,8,5,2,,8
2021-12,평일,63,30,62,41,47,63,69,65,59,55,65,66,53,36,19,13,10,6,3,,23
2021-12,휴일,30,13,25,23,30,54,46,42,42,41,38,38,30,22,15,8,7,4,2,,8
2022-01,평일,58,32,61,40,43,57,62,65,55,56,65,64,47,32,18,13,9,5,2,0,21
2022-01,휴일,31,13,21,22,26,44,39,38,45,44,40,37,33,26,16,9,7,4,1,0,10
2022-02,평일,61,31,67,36,46,55,53,59,53,52,60,56,42,32,17,13,9,5,2,0,20
2022-02,휴일,30,15,22,23,30,48,48,41,45,43,43,36,26,24,16,8,7,5,2,0,8
2022-03,평일,74,31,78,39,44,64,60,63,60,57,66,60,47,34,18,13,8,6,2,0,23
2022-03,휴일,34,16,35,23,27,50,40,41,39,42,40,36,34,26,17,9,8,4,1,0,8
2022-04,평일,80,30,97,44,54,81,93,80,71,60,74,73,49,40,25,16,11,7,2,0,21
