월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,56,11,75,78,58,59,67,61,59,52,54,46,47,36,20,14,8,5,2,,22
2021-07,휴일,31,7,32,30,28,31,31,29,36,35,31,32,29,23,17,12,8,2,1,,9
2021-08,평일,56,11,61,72,60,59,63,57,55,52,53,45,46,33,18,12,8,3,1,,22
2021-08,휴일,32,7,25,27,27,24,31,27,31,37,31,30,30,23,18,11,7,3,0,,9
2021-09,평일,53,10,61,67,58,62,73,56,59,55,62,52,49,36,22,12,9,4,1,,22
2021-09,휴일,34,7,32,30,31,34,35,35,39,38,39,35,34,27,20,12,7,4,1,,8
2021-10,평일,55,8,65,69,63,65,82,61,63,63,68,58,54,41,20,14,9,4,1,,21
2021-10,휴일,33,5,26,29,36,35,40,36,41,47,42,38,40,26,17,14,6,4,1,,10
2021-11,평일,57,8,68,79,70,68,84,62,63,71,69,62,55,40,20,14,11,5,2,,22
2021-11,휴일,31,5,27,33,38,35,46,42,44,50,47,38,43,27,17,13,8,3,1,,8
2021-12,평일,52,9,65,72,67,68,74,64,67,63,66,57,51,35,19,12,12,5,1,,23
2021-12,휴일,28,6,22,28,33,33,37,34,38,43,37,32,31,20,11,11,6,2,1,,8
2022-01,평일,47,10,64,78,69,66,75,61,73,69,63,52,49,35,21,12,11,4,1,0,21
2022-01,휴일,29,8,22,28,32,35,38,39,39,42,42,38,30,20,16,10,8,2,1,0,10
2022-02,평일,46,9,60,73,65,54,64,54,63,60,54,48,43,33,19,10,9,4,2,0,20
2022-02,휴일,30,8,29,28,37,31,32,38,36,44,42,30,26,18,13,10,7,3,0,0,8
2022-03,평일,47,10,68,73,60,65,68,58,65,65,55,48,47,36,20,12,9,5,2,0,23
2022-03,휴일,28,8,28,28,36,35,40,32,39,43,38,32,30,25,20,10,6,3,2,0,8
2022-04,평일,58,11,77,82,71,83,84,69,78,69,67,56,56,45,27,16,12,7,3,0,21
2022-04,휴일,32,8,32,32,43,41,45,42,48,53,50,39,42,29,21,14,9,5,2,0,9
2022-05,평일,57,10,82,83,74,82,94,73,81,74,71,62,58,47,29,18,13,8,3,0,22
2022-05,휴일,32,7,35,34,41,46,50,45,50,56,49,44,41,30,24,17,12,6,2,0,9
2022-06,평일,62,11,79,84,78,82,103,82,85,76,72,65,62,47,26,21,14,8,3,1,22
2022-06,휴일,38,8,37,34,45,45,60,49,55,56,52,47,43,30,23,17,13,6,2,0,8
2022-07,평일,66,11,81,88,77,81,106,85,84,78,70,60,59,49,28,18,14,10,3,1,21
2022-07,휴일,36,10,36,32,45,48,54,45,49,53,50,39,39,32,22,17,9,6,1,0,10
2022-08,평일,60,11,71,83,77,71,89,77,76,68,67,56,59,45,26,17,11,9,3,1,23
2022-08,휴일,33,9,32,32,43,46,54,41,44,53,51,39,37,30,19,18,11,6,2,0,8
2022-09,평일,60,11,76,87,80,76,95,77,81,77,76,64,58,47,26,18,14,10,2,1,22
2022-09,휴일,34,8,29,30,40,43,46,42,45,49,48,43,39,29,23,14,9,5,2,0,8
2022-10,평일,67,11,83,89,82,79,108,82,89,80,80,65,65,49,25,20,16,10,3,1,21
2022-10,휴일,38,8,36,36,48,46,60,48,56,58,55,50,48,34,24,13,10,8,2,0,10
2022-11,평일,76,11,86,96,83,89,106,89,87,86,82,70,69,47,24,19,13,9,3,1,22
2022-11,휴일,39,8,37,35,46,46,53,52,53,57,59,49,49,31,24,13,11,8,3,0,8
2022-12,평일,72,13,82,96,82,85,116,89,83,82,81,69,62,46,25,20,16,11,4,1,22
2022-12,휴일,36,9,33,37,44,48,62,52,51,58,55,42,43,30,18,15,11,5,2,0,9
2023-01,평일,64,14,76,89,80,70,96,84,79,75,69,63,56,44,23,18,13,8,2,1,22
2023-01,휴일,31,7,27,32,38,42,47,38,47,51,44,37,35,26,14,14,8,4,1,0,9
2023-02,평일,70,23,93,104,86,87,120,98,86,87,81,71,67,54,27,21,14,11,3,0,20
2023-02,휴일,39,22,36,39,45,49,54,51,55,61,58,50,47,33,20,14,12,7,3,0,8
2023-03,평일,78,39,94,94,86,98,127,97,93,88,81,72,70,57,29,22,15,10,3,1,23
2023-03,휴일,39,36,38,37,44,56,60,53,57,65,62,52,47,36,24,21,13,7,1,0,8
2023-04,평일,78,43,94,96,85,94,119,94,99,92,83,74,68,59,30,24,17,10,4,1,20
2023-04,휴일,46,42,42,34,48,53,60,54,60,65,54,49,46,33,28,19,13,6,2,0,10
2023-05,평일,70,15,84,89,82,91,119,95,95,85,80,75,70,59,28,23,18,11,4,1,23
2023-05,휴일,36,8,31,31,44,54,59,51,56,61,52,46,48,33,24,16,14,8,2,0,8
2023-06,평일,76,16,91,98,83,93,126,95,94,83,75,73,69,56,32,23,16,12,3,1,22
2023-06,휴일,45,11,36,38,50,59,64,58,59,60,53,49,45,40,28,22,14,10,1,0,8
2023-07,평일,73,17,91,102,85,90,125,95,94,81,72,69,65,53,30,21,16,11,4,1,21
2023-07,휴일,40,11,36,37,47,51,58,54,60,61,56,43,43,33,27,20,12,8,2,0,10
2023-08,평일,70,17,83,93,84,88,112,90,84,76,68,61,60,48,27,21,15,10,3,1,23
2023-08,휴일,43,10,36,36,47,54,61,49,64,56,50,42,40,31,26,17,15,4,2,0,8
2023-09,평일,71,18,86,91,82,87,121,93,89,80,76,67,65,48,29,19,15,12,3,1,21
2023-09,휴일,45,11,34,35,49,55,66,54,63,60,58,49,44,34,25,20,14,6,2,0,9
2023-10,평일,73,17,88,87,85,89,118,94,92,87,79,71,64,52,31,21,17,12,4,1,22
2023-10,휴일,42,10,35,34,48,57,61,56,64,60,56,52,49,34,27,17,14,6,2,0,9
2023-11,평일,73,18,93,98,85,95,127,102,98,86,83,73,66,50,25,19,16,11,3,1,22
2023-11,휴일,44,9,35,36,46,56,68,63,62,64,58,55,50,32,22,17,10,7,3,0,8
2023-12,평일,69,17,82,98,75,94,134,95,94,88,79,76,65,50,25,24,19,12,3,1,21
2023-12,휴일,39,10,32,33,44,58,67,58,60,63,57,55,43,32,19,18,12,7,2,0,10
