월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,94,32,110,173,192,178,159,146,143,138,138,122,106,84,60,40,26,16,4,,22
2021-07,휴일,58,16,41,63,70,84,101,98,91,76,73,76,70,55,39,27,18,10,3,,9
2021-08,평일,92,30,102,176,168,187,162,152,157,138,142,119,106,78,55,37,22,14,4,,22
2021-08,휴일,53,14,40,57,60,77,89,95,77,77,79,73,67,54,37,25,18,10,4,,9
2021-09,평일,88,27,102,164,173,192,175,166,170,155,160,137,116,82,55,33,24,17,6,,22
2021-09,휴일,54,14,46,61,73,101,132,125,116,106,99,94,85,58,44,28,20,13,3,,8
2021-10,평일,94,25,113,192,183,204,200,190,196,178,182,151,130,96,56,39,26,18,6,,21
2021-10,휴일,55,12,46,62,78,120,160,161,142,124,126,113,99,64,45,27,21,14,4,,10
2021-11,평일,92,25,110,208,193,208,202,194,201,184,184,165,132,99,56,37,31,17,7,,22
2021-11,휴일,55,12,52,71,72,122,163,184,171,143,134,125,104,65,44,28,22,13,7,,8
2021-12,평일,84,26,102,186,174,210,184,172,188,179,178,149,114,83,49,33,29,17,6,,23
2021-12,휴일,43,11,42,58,67,92,122,126,118,120,108,93,82,43,34,20,21,10,4,,8
2022-01,평일,80,27,101,184,170,190,177,178,180,176,170,140,117,83,53,35,26,13,5,0,21
2022-01,휴일,41,11,40,53,64,89,104,129,115,110,97,92,78,50,32,25,20,11,3,0,10
2022-02,평일,78,26,101,177,188,168,168,151,180,164,162,129,107,80,53,30,26,12,5,0,20
2022-02,휴일,42,16,50,63,78,97,114,135,121,106,102,89,81,48,36,24,19,11,4,0,8
2022-03,평일,82,29,117,180,210,184,180,163,194,172,169,138,119,86,60,33,22,14,8,0,23
2022-03,휴일,42,14,55,62,85,113,125,129,119,117,106,90,78,56,36,24,14,10,8,0,8
2022-04,평일,90,32,134,204,233,214,224,193,208,186,191,153,142,107,72,40,29,16,9,0,21
2022-04,휴일,53,15,61,65,92,135,175,168,143,134,139,121,106,81,58,36,21,14,6,0,9
2022-05,평일,102,33,132,219,244,223,246,200,222,191,208,175,164,125,83,49,32,20,10,0,22
