월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,25,12,27,44,50,43,45,46,46,40,57,59,67,50,39,23,15,13,5,,22
2021-07,휴일,16,6,15,22,23,32,25,33,24,27,30,34,31,35,21,17,11,9,3,,9
2021-08,평일,22,11,23,40,48,45,46,44,40,40,58,59,60,49,35,22,13,9,5,,22
2021-08,휴일,13,6,13,22,27,31,28,29,26,26,32,37,34,35,21,14,9,8,2,,9
2021-09,평일,22,11,29,41,48,47,50,46,51,46,62,61,59,48,35,23,15,11,5,,22
2021-09,휴일,13,6,18,25,27,37,36,32,28,37,36,49,41,39,21,19,13,11,3,,8
2021-10,평일,24,10,31,45,54,49,52,55,53,51,73,72,67,54,36,23,18,14,6,,21
2021-10,휴일,15,5,18,20,28,39,36,34,31,39,38,50,46,41,22,16,12,12,4,,10
2021-11,평일,22,11,33,47,56,49,53,56,55,52,74,70,66,52,37,23,17,13,7,,22
2021-11,휴일,13,5,16,22,33,47,37,39,37,39,43,53,53,39,24,18,11,12,5,,8
2021-12,평일,22,9,31,41,51,50,54,50,54,52,70,65,62,49,33,21,16,12,6,,23
2021-12,휴일,13,5,15,18,22,42,28,30,28,32,33,48,34,29,17,10,11,9,4,,8
2022-01,평일,21,9,25,42,46,47,52,47,49,50,66,62,57,49,32,21,18,9,4,0,21
2022-01,휴일,13,5,15,17,23,37,29,32,30,32,38,42,40,28,20,11,13,8,2,0,10
2022-02,평일,23,7,25,42,50,46,49,47,51,47,59,55,56,46,31,18,15,10,3,0,20
2022-02,휴일,14,4,15,22,28,40,31,35,37,33,37,38,36,38,20,12,12,10,3,0,8
2022-03,평일,21,7,25,42,49,49,49,50,57,48,62,65,56,44,31,21,13,12,5,0,23
2022-03,휴일,12,5,13,17,21,35,31,34,33,34,35,37,36,26,21,13,9,10,6,0,8
2022-04,평일,22,9,32,48,50,49,53,56,58,50,71,73,64,53,36,25,16,15,5,0,21
2022-04,휴일,15,6,20,22,30,40,37,38,41,38,44,55,48,37,28,21,14,13,7,0,9
2022-05,평일,26,9,34,47,53,56,60,60,61,57,73,77,75,60,44,28,19,18,7,0,22
2022-05,휴일,15,5,19,28,45,56,44,41,49,41,49,54,55,41,30,23,15,14,7,0,9
2022-06,평일,28,8,33,50,56,55,62,59,59,54,76,75,70,55,40,23,20,16,6,1,22
2022-06,휴일,18,6,17,23,33,44,40,36,42,36,43,57,50,41,33,25,19,13,7,0,8
2022-07,평일,31,9,31,54,54,58,59,62,57,53,74,74,75,59,41,27,18,16,5,1,21
2022-07,휴일,18,6,16,24,31,44,34,36,35,34,40,53,45,39,26,23,18,12,7,0,10
2022-08,평일,28,11,28,52,58,55,53,57,52,46,67,71,71,53,36,23,14,13,6,1,23
2022-08,휴일,20,6,15,23,36,44,31,42,36,34,38,45,43,33,24,19,14,12,7,0,8
2022-09,평일,29,10,32,48,59,57,60,56,60,52,72,75,74,56,41,24,16,15,6,1,22
2022-09,휴일,18,7,17,23,32,39,39,34,33,34,36,51,45,40,29,21,14,12,6,0,8
2022-10,평일,28,10,32,51,62,56,55,63,63,59,77,80,80,60,41,25,17,12,6,2,21
2022-10,휴일,20,6,15,24,35,48,40,34,41,42,50,62,58,41,30,24,15,13,8,0,10
2022-11,평일,27,12,32,55,69,54,57,62,66,61,81,80,86,56,42,22,16,15,6,1,22
2022-11,휴일,20,5,13,21,35,46,39,38,37,45,51,52,49,37,26,24,11,13,5,0,8
2022-12,평일,24,10,27,50,57,54,55,59,64,62,78,78,73,49,39,23,17,15,6,1,22
2022-12,휴일,15,6,12,19,29,37,45,39,39,43,43,60,46,31,26,21,14,13,7,1,9
2023-01,평일,21,8,25,43,54,49,52,55,64,57,77,73,68,49,35,20,16,13,5,1,22
2023-01,휴일,14,5,14,19,35,43,33,30,35,35,40,48,36,29,16,13,11,10,5,0,9
2023-02,평일,24,23,30,51,70,60,58,69,65,63,86,83,84,60,42,25,19,16,4,2,20
2023-02,휴일,17,20,16,22,38,52,40,41,41,50,50,61,50,36,27,21,15,12,8,0,8
2023-03,평일,25,47,36,54,65,61,60,70,67,68,90,86,80,58,43,27,20,16,5,1,23
2023-03,휴일,18,38,19,23,34,51,44,38,48,48,51,65,48,48,31,20,16,13,6,0,8
2023-04,평일,31,46,40,51,61,61,65,73,72,64,87,82,84,64,49,28,24,17,5,2,20
2023-04,휴일,21,38,18,27,41,53,42,42,46,44,49,60,55,41,34,24,22,13,8,0,10
2023-05,평일,34,9,36,52,63,62,65,65,68,65,83,85,80,58,45,30,20,14,6,2,23
