월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,30,19,41,68,66,72,73,96,92,92,114,99,106,97,63,45,29,18,6,,22
2021-07,휴일,19,17,24,25,33,44,51,62,54,65,64,70,53,51,38,34,21,16,4,,9
2021-08,평일,25,16,37,64,61,70,77,89,85,90,111,100,100,89,62,41,22,15,5,,22
2021-08,휴일,19,15,21,27,30,44,51,57,52,63,57,75,60,52,36,35,19,12,6,,9
2021-09,평일,22,17,36,58,61,70,76,89,96,86,116,102,103,89,62,44,26,19,5,,22
2021-09,휴일,16,15,22,28,37,60,52,74,62,72,66,90,67,64,46,35,24,15,6,,8
2021-10,평일,24,17,40,62,71,77,80,98,104,100,126,119,122,104,69,46,26,22,6,,21
2021-10,휴일,14,16,21,23,36,56,53,69,72,81,82,89,76,73,42,36,22,19,4,,10
2021-11,평일,24,16,42,57,70,68,79,102,99,102,134,122,126,102,71,43,28,21,7,,22
2021-11,휴일,16,16,20,21,37,50,55,70,63,80,84,101,81,67,45,40,21,19,6,,8
2021-12,평일,22,16,37,48,62,66,74,97,94,99,132,118,111,98,64,41,29,17,5,,23
2021-12,휴일,15,15,17,18,26,48,44,54,54,72,66,72,60,50,32,29,20,14,4,,8
2022-01,평일,19,16,34,49,56,66,66,91,86,94,124,115,109,96,68,41,30,15,4,0,21
2022-01,휴일,14,14,16,18,26,41,47,62,58,69,79,85,62,53,38,26,22,12,3,0,10
2022-02,평일,20,16,31,48,60,65,70,82,82,89,114,98,104,86,66,39,27,15,4,0,20
2022-02,휴일,14,14,16,16,28,43,45,61,58,74,73,82,60,53,39,28,20,13,4,0,8
2022-03,평일,22,15,32,47,57,61,72,83,89,89,115,102,107,92,69,38,24,19,8,0,23
2022-03,휴일,16,12,17,16,26,40,47,55,59,62,73,70,65,52,40,27,19,13,6,0,8
2022-04,평일,22,17,42,54,67,75,75,102,105,103,129,121,124,110,83,48,30,23,11,0,21
2022-04,휴일,16,14,20,24,43,54,59,62,68,82,91,91,89,64,54,43,27,16,9,0,9
2022-05,평일,26,18,42,60,83,84,79,106,100,105,137,130,133,109,80,58,38,25,14,0,22
2022-05,휴일,16,16,23,30,43,63,61,65,80,95,106,97,90,71,53,46,30,19,11,0,9
2022-06,평일,25,18,44,60,75,86,86,98,101,101,135,129,124,108,88,53,35,26,12,2,22
2022-06,휴일,18,17,22,31,44,60,67,70,73,85,89,100,84,75,62,50,36,20,12,0,8
2022-07,평일,22,17,46,60,81,84,87,102,101,107,134,133,129,110,90,55,36,26,11,2,21
2022-07,휴일,17,16,25,30,41,56,61,63,71,88,87,91,80,65,58,44,30,21,9,0,10
2022-08,평일,22,16,42,58,74,79,84,94,95,95,128,122,121,101,80,50,29,23,9,2,23
2022-08,휴일,18,15,21,28,40,57,60,69,70,74,77,90,82,68,56,41,29,19,9,0,8
2022-09,평일,18,16,45,60,72,80,87,102,98,100,132,135,126,110,86,55,34,24,11,3,22
2022-09,휴일,16,15,22,29,39,53,61,66,65,82,88,90,86,65,58,39,29,16,8,1,8
2022-10,평일,17,18,46,61,75,83,89,107,104,111,139,149,140,116,85,56,36,28,10,2,21
2022-10,휴일,15,16,24,32,44,58,68,68,75,91,105,113,109,84,65,46,29,22,11,1,10
2022-11,평일,22,17,44,63,79,86,94,108,108,111,147,151,141,109,84,54,33,26,10,2,22
2022-11,휴일,15,13,19,35,34,57,69,62,76,86,97,108,95,72,58,41,31,19,8,1,8
2022-12,평일,18,18,40,59,64,79,89,106,105,111,141,148,129,108,76,58,40,30,11,2,22
2022-12,휴일,11,16,19,22,34,49,63,64,75,83,99,101,90,64,55,43,38,23,8,1,9
2023-01,평일,16,17,35,52,62,72,86,100,96,98,129,143,126,97,73,46,32,22,8,2,22
2023-01,휴일,13,15,18,22,31,51,57,54,69,74,75,84,74,50,45,32,22,13,7,0,9
2023-02,평일,22,21,39,62,81,82,93,112,107,116,153,159,148,114,85,57,37,29,9,3,20
2023-02,휴일,16,19,19,26,44,66,66,73,82,93,111,111,100,73,63,45,28,22,8,1,8
2023-03,평일,24,31,41,67,87,93,95,114,119,120,148,153,152,125,93,61,39,31,12,3,23
2023-03,휴일,16,24,20,32,45,65,78,70,73,106,113,118,106,75,70,47,35,22,11,1,8
