월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,16,3,20,35,29,40,43,42,33,41,42,51,43,51,34,26,17,13,3,,22
2021-07,휴일,12,3,13,12,18,24,32,27,29,25,29,32,28,33,22,14,12,5,3,,9
2021-08,평일,14,3,20,28,27,38,44,32,32,42,43,50,43,43,34,23,17,11,3,,22
2021-08,휴일,10,3,10,12,14,24,28,29,27,25,28,27,30,27,20,12,12,4,3,,9
2021-09,평일,12,3,23,30,25,34,42,38,35,44,43,51,47,39,36,23,19,11,4,,22
2021-09,휴일,11,3,13,12,20,25,32,31,34,32,31,33,35,31,22,15,15,7,4,,8
2021-10,평일,14,2,27,29,26,38,42,45,44,44,51,60,52,52,38,25,20,11,4,,21
2021-10,휴일,10,3,14,12,17,28,34,32,36,32,38,44,44,36,25,13,15,8,5,,10
2021-11,평일,14,3,22,31,40,39,45,47,43,42,53,64,55,49,34,26,20,12,6,,22
2021-11,휴일,10,3,12,12,22,22,33,36,40,34,40,43,44,38,21,16,14,8,4,,8
2021-12,평일,13,3,20,26,34,37,42,39,46,42,51,61,54,48,30,26,20,11,5,,23
2021-12,휴일,8,3,11,8,17,18,26,29,30,27,34,33,31,32,17,11,11,6,3,,8
