월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,36,10,57,90,156,189,207,197,188,184,200,200,177,138,89,62,37,26,8,,44
2021-07,휴일,34,6,39,80,124,148,157,162,144,137,117,116,97,84,62,43,24,18,7,,18
2021-08,평일,34,9,54,90,145,183,208,198,183,180,205,194,171,130,80,58,36,21,5,,44
2021-08,휴일,33,5,38,76,126,140,140,147,133,133,129,126,104,85,60,37,25,15,5,,18
2021-09,평일,31,8,52,85,150,196,215,215,212,211,223,209,178,132,85,59,39,25,9,,44
2021-09,휴일,33,5,41,89,170,203,190,201,181,171,152,146,129,105,71,48,30,20,7,,16
2021-10,평일,35,9,54,93,161,210,229,226,231,232,248,246,200,144,92,62,41,28,10,,42
2021-10,휴일,30,5,38,86,164,209,186,193,183,187,169,163,138,105,69,46,31,23,10,,20
2021-11,평일,39,9,52,89,148,194,221,231,242,241,259,253,205,142,88,62,40,30,15,,44
2021-11,휴일,29,6,37,73,156,193,169,194,197,197,176,173,148,104,73,51,34,23,11,,16
2021-12,평일,36,8,47,78,130,177,207,218,236,232,247,233,186,129,81,57,40,25,10,,46
2021-12,휴일,28,6,26,54,111,148,130,159,168,168,142,141,108,78,57,38,27,16,7,,16
2022-01,평일,35,8,49,76,119,163,198,213,237,226,241,229,182,128,85,61,44,20,8,0,42
2022-01,휴일,27,6,26,50,127,175,153,178,195,176,157,156,116,89,56,40,32,16,7,0,20
2022-02,평일,31,8,47,78,126,160,182,193,216,207,221,209,166,119,85,57,39,23,8,0,40
2022-02,휴일,28,6,28,60,128,176,149,169,198,176,150,142,116,90,62,41,29,18,7,0,16
2022-03,평일,34,9,54,84,133,174,194,206,223,218,230,217,172,128,88,57,36,24,9,0,46
2022-03,휴일,27,6,31,58,125,156,140,166,184,169,151,142,112,92,61,39,29,17,9,0,16
2022-04,평일,38,10,63,94,148,189,218,226,244,235,260,259,206,155,103,67,47,30,14,0,42
2022-04,휴일,34,6,41,81,156,197,175,196,212,197,177,182,151,121,93,63,42,24,13,0,18
2022-05,평일,43,11,62,100,168,203,231,251,266,246,268,264,226,166,114,76,54,35,16,0,44
2022-05,휴일,38,8,47,89,172,208,183,203,226,204,183,182,161,125,99,62,46,28,14,0,18
2022-06,평일,41,11,59,100,168,193,230,245,266,241,255,249,211,163,107,72,55,33,16,1,44
2022-06,휴일,39,7,44,91,172,200,191,219,238,211,181,180,156,120,98,73,45,30,16,1,16
2022-07,평일,41,11,60,106,170,199,235,251,276,242,257,250,223,162,111,74,51,33,16,1,42
2022-07,휴일,36,6,44,92,170,190,184,223,232,198,168,163,147,120,91,63,45,26,13,1,20
2022-08,평일,39,12,53,98,155,193,215,246,261,238,240,238,192,153,102,68,47,27,13,3,46
2022-08,휴일,33,7,44,86,162,184,188,218,224,188,169,165,152,121,88,62,41,22,13,1,16
2022-09,평일,39,11,57,100,169,204,223,244,263,252,253,246,208,168,108,73,49,31,14,3,44
2022-09,휴일,31,7,45,79,160,179,165,194,213,192,166,165,139,116,85,58,37,25,11,2,16
2022-10,평일,41,11,59,98,175,200,229,255,278,264,282,276,222,173,108,73,53,33,14,3,42
2022-10,휴일,36,8,48,95,177,198,183,218,248,221,195,194,173,133,101,61,47,27,14,2,20
2022-11,평일,41,12,56,98,167,200,230,257,271,261,281,275,218,159,107,73,50,32,12,3,44
2022-11,휴일,32,7,43,80,167,194,172,214,237,215,196,189,163,116,89,57,42,25,12,1,16
2022-12,평일,33,11,53,90,140,172,228,250,271,267,287,264,208,152,100,69,51,35,14,4,44
2022-12,휴일,25,7,36,62,136,172,180,237,250,225,194,181,151,111,84,58,43,27,12,2,18
2023-01,평일,29,10,46,84,134,174,212,230,264,256,262,247,190,143,91,61,45,26,12,3,44
2023-01,휴일,20,6,33,53,120,151,147,179,220,190,161,140,116,90,61,43,31,19,9,1,18
2023-02,평일,32,16,52,94,158,195,244,253,283,276,306,284,223,168,110,73,55,31,14,3,40
2023-02,휴일,25,11,39,72,166,206,205,236,261,233,214,191,167,125,93,56,39,24,12,1,16
2023-03,평일,33,30,54,104,172,212,239,268,288,285,299,289,237,184,119,80,56,35,15,4,46
2023-03,휴일,29,21,40,80,201,225,212,234,277,232,215,211,182,137,106,69,46,25,13,1,16
2023-04,평일,37,28,59,104,177,211,242,255,282,271,291,288,242,183,125,78,58,35,14,4,40
2023-04,휴일,32,21,41,83,174,198,198,226,264,226,215,199,179,147,110,75,49,30,11,2,20
2023-05,평일,37,12,59,104,179,215,248,258,279,268,293,282,235,180,122,82,60,35,15,4,46
2023-05,휴일,35,8,46,88,173,188,193,204,243,217,192,183,162,122,101,69,56,29,13,1,16
2023-06,평일,40,12,60,108,179,210,245,255,286,258,285,278,237,183,122,86,61,37,14,4,44
2023-06,휴일,38,8,50,98,183,210,211,221,266,217,197,193,164,134,113,74,57,34,13,2,16
2023-07,평일,40,13,63,107,171,205,243,261,276,243,276,262,231,174,116,78,61,34,13,4,42
2023-07,휴일,34,8,47,85,153,172,200,222,250,205,190,180,160,122,94,61,51,28,11,1,20
2023-08,평일,36,15,64,107,163,198,238,250,259,230,258,251,219,168,111,74,55,32,11,4,46
2023-08,휴일,37,9,50,96,157,191,212,234,249,215,188,185,163,124,102,68,50,27,12,1,16
2023-09,평일,35,15,65,106,168,210,231,250,266,252,268,268,226,176,116,77,56,33,12,4,42
2023-09,휴일,31,10,48,98,171,190,204,224,254,212,198,190,174,131,102,69,48,26,13,2,18
2023-10,평일,36,14,61,102,172,206,247,263,283,270,292,290,238,176,117,76,57,34,12,5,44
2023-10,휴일,35,9,46,95,186,211,206,219,266,236,213,207,184,142,109,68,54,31,12,2,18
2023-11,평일,36,14,58,100,159,196,236,250,278,264,296,284,235,170,107,74,58,33,13,5,44
2023-11,휴일,29,8,37,78,162,180,189,214,257,219,221,206,166,126,90,62,47,30,10,1,16
2023-12,평일,35,13,51,91,136,186,238,259,284,268,296,288,227,162,109,77,60,36,16,5,42
2023-12,휴일,23,9,34,67,145,181,203,226,259,230,224,209,166,125,95,65,50,30,14,3,20
