월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,69,22,69,109,128,159,170,159,144,163,228,237,220,200,131,82,56,40,13,,22
2021-07,휴일,52,19,58,70,93,124,120,124,101,106,114,121,137,126,75,54,36,26,14,,9
2021-08,평일,67,19,65,97,120,154,174,160,149,173,239,228,210,192,124,73,48,30,14,,22
2021-08,휴일,51,18,55,75,87,120,115,121,107,111,118,132,125,121,77,54,37,23,12,,9
2021-09,평일,62,20,67,96,114,161,170,162,166,186,255,245,218,191,131,78,53,31,14,,22
2021-09,휴일,52,18,58,75,108,154,139,142,124,145,153,154,153,138,92,61,44,24,15,,8
2021-10,평일,69,23,70,108,159,165,188,191,196,201,271,279,256,216,140,82,57,33,18,,21
2021-10,휴일,54,21,55,73,115,163,147,156,122,146,161,183,168,155,93,63,47,28,16,,10
2021-11,평일,68,23,73,116,145,165,185,178,182,205,285,276,255,212,136,76,56,31,22,,22
2021-11,휴일,53,18,57,74,118,151,153,144,123,147,175,186,189,154,91,60,44,24,18,,8
2021-12,평일,61,20,62,99,128,162,178,183,184,197,278,271,235,194,125,72,54,30,17,,23
2021-12,휴일,42,15,51,55,91,146,126,125,111,120,142,153,133,116,71,44,37,18,13,,8
2022-01,평일,51,19,61,97,125,154,161,171,164,192,270,264,225,198,120,74,55,25,13,0,21
2022-01,휴일,40,14,51,60,89,156,128,130,140,132,143,148,142,113,71,45,44,18,10,0,10
2022-02,평일,51,19,60,100,120,151,158,160,163,176,248,255,220,184,107,64,53,26,13,0,20
2022-02,휴일,40,14,52,62,98,156,129,131,123,135,146,152,138,123,75,46,43,20,11,0,8
2022-03,평일,55,24,70,100,131,158,165,171,167,182,248,263,231,194,123,75,48,30,17,0,23
2022-03,휴일,39,18,57,61,91,141,125,127,129,123,134,145,138,129,82,49,40,19,16,0,8
2022-04,평일,58,29,78,114,146,173,176,190,176,194,276,298,268,231,152,88,61,35,21,0,21
2022-04,휴일,48,24,58,76,117,165,142,146,145,146,177,187,182,160,112,72,56,31,20,0,9
2022-05,평일,59,29,84,115,152,177,200,200,189,203,282,299,279,246,164,100,68,41,24,0,22
2022-05,휴일,47,22,67,83,126,186,154,161,149,161,184,210,185,172,117,84,68,34,20,0,9
2022-06,평일,66,28,83,112,147,171,204,194,180,195,275,282,258,233,154,99,69,40,24,2,22
2022-06,휴일,52,23,73,86,127,169,167,169,151,148,172,190,195,173,116,85,65,38,21,1,8
2022-07,평일,73,30,85,121,138,168,196,203,189,192,280,286,271,230,153,100,65,43,24,3,21
2022-07,휴일,57,24,68,91,119,155,150,146,133,134,162,175,174,162,108,81,59,36,20,1,10
2022-08,평일,65,27,78,112,129,159,192,183,173,193,269,268,246,219,143,83,60,38,21,3,23
2022-08,휴일,59,23,57,88,111,146,146,147,133,138,158,171,175,159,114,75,62,35,19,1,8
2022-09,평일,65,28,77,117,138,177,198,190,196,206,288,294,260,240,150,93,68,42,23,3,22
2022-09,휴일,51,22,56,79,101,157,144,142,134,136,159,174,183,155,109,76,57,32,18,2,8
2022-10,평일,63,28,81,119,135,172,205,197,200,223,297,321,294,242,157,95,72,45,23,4,21
2022-10,휴일,56,22,62,88,110,160,171,147,143,155,189,217,214,185,126,91,72,36,18,1,10
2022-11,평일,66,25,80,113,153,170,198,199,204,223,311,324,287,233,149,90,66,42,26,4,22
2022-11,휴일,57,19,54,76,117,164,152,154,153,156,191,197,199,166,112,82,64,32,20,2,8
2022-12,평일,58,22,75,103,135,163,215,211,194,224,313,315,257,215,137,89,71,48,24,5,22
2022-12,휴일,45,17,56,66,102,151,188,182,150,169,191,216,194,147,104,77,62,36,19,4,9
2023-01,평일,54,19,67,105,122,156,190,184,187,214,288,296,240,204,134,85,59,36,20,3,22
2023-01,휴일,46,16,46,61,85,133,130,150,136,137,151,172,147,121,81,58,43,21,14,2,9
2023-02,평일,60,35,79,145,156,170,210,209,204,235,327,339,286,239,157,102,73,43,23,3,20
2023-02,휴일,51,41,56,83,125,194,186,184,174,174,206,217,203,176,120,80,61,29,17,1,8
2023-03,평일,63,61,78,135,153,183,214,217,208,236,336,347,299,253,171,107,75,44,24,5,23
2023-03,휴일,53,66,57,83,127,194,181,168,163,182,208,233,226,191,138,93,67,36,17,2,8
2023-04,평일,62,63,84,135,154,176,209,211,216,233,330,345,297,261,168,115,88,51,23,5,20
2023-04,휴일,58,74,60,91,122,178,169,163,161,180,201,221,215,193,145,103,78,35,22,2,10
2023-05,평일,65,26,81,142,162,178,215,224,233,232,326,338,305,255,172,114,87,50,24,5,23
2023-05,휴일,58,20,64,96,134,166,160,167,171,174,191,206,184,181,127,98,76,48,19,2,8
2023-06,평일,73,27,91,145,161,177,225,220,230,231,327,330,297,257,171,113,87,53,24,5,22
2023-06,휴일,65,21,66,97,146,179,182,177,162,170,195,230,208,196,137,114,84,41,21,3,8
2023-07,평일,71,27,99,148,166,179,207,218,212,216,303,317,288,232,163,104,83,49,21,4,21
2023-07,휴일,60,21,62,101,124,152,159,160,152,156,168,187,191,158,116,86,62,40,16,1,10
2023-08,평일,70,25,101,144,164,167,188,195,182,209,286,308,275,231,159,102,75,44,20,3,23
2023-08,휴일,62,19,70,107,137,171,174,150,134,158,176,196,192,175,126,89,65,38,18,2,8
2023-09,평일,69,28,104,139,159,182,204,208,210,232,311,316,281,237,163,108,77,41,22,5,21
2023-09,휴일,55,19,75,94,135,169,159,152,158,173,194,213,211,174,131,85,63,34,16,2,9
2023-10,평일,76,25,89,143,163,179,220,225,208,242,330,351,313,251,163,107,88,44,21,5,22
2023-10,휴일,63,17,67,93,137,181,172,165,155,195,221,240,229,203,145,98,71,40,20,1,9
2023-11,평일,75,23,87,155,160,181,206,237,243,243,327,344,306,234,156,98,82,49,20,4,22
2023-11,휴일,60,16,60,98,119,162,163,160,166,168,206,225,215,176,117,90,70,36,18,2,8
2023-12,평일,66,21,82,139,152,172,222,238,237,248,344,353,295,232,145,101,82,52,22,5,21
2023-12,휴일,47,15,56,88,114,167,196,193,180,180,204,224,212,165,115,80,73,48,18,4,10
