월,평일휴일,06-07시간대,06시간대이전,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시간대이후,집계일수
2021-07,평일,19,8,32,40,32,32,43,46,46,35,46,53,53,50,33,20,14,9,3,,22
2021-07,휴일,15,4,14,16,17,18,25,29,23,26,29,24,28,29,21,14,12,7,3,,9
2021-08,평일,19,4,32,37,23,31,36,43,30,38,42,56,50,54,33,18,14,7,3,,22
2021-08,휴일,13,4,14,15,17,23,21,27,25,26,29,31,31,35,23,11,13,6,2,,9
2021-09,평일,17,4,34,47,22,33,39,49,31,42,47,60,51,51,33,22,14,10,4,,22
2021-09,휴일,14,3,13,19,19,30,30,42,30,30,34,41,38,41,23,17,10,8,4,,8
2021-10,평일,16,5,34,36,26,33,46,47,43,45,60,67,63,53,36,22,19,11,3,,21
2021-10,휴일,10,4,13,19,20,27,36,42,36,37,42,45,43,41,29,17,12,9,4,,10
2021-11,평일,15,6,30,42,28,29,40,48,50,44,58,69,59,53,37,22,20,12,3,,22
2021-11,휴일,10,4,12,17,22,27,32,40,36,40,46,42,46,43,25,20,12,8,5,,8
2021-12,평일,11,6,28,34,27,26,39,44,49,47,59,66,54,46,35,20,18,9,3,,23
2021-12,휴일,8,3,10,12,14,20,24,32,30,31,34,37,35,33,22,13,12,6,3,,8
